,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0,0.50025,"('10', '13', '16')"
1,1,3,0.00015,0.64814,"('8',)"
2,1,4,0.00764,0.0038,"('3', '5', '7', '8', '9', '10', '11', '12', '13', '16', '17', 'T')"
3,1,5,0.00115,0.12989,"('2', '4', '8', '9', '10', '11', '13', '14', '15', '16')"
4,1,6,8e-05,0.35406,"('3', '7', '8', '11', '16', '17', 'T')"
5,1,7,0.00079,0.16828,"('4', '9', '10', '11', '12', '13', '14', '16', 'T')"
6,1,8,0.01467,0.0007,"('4', '5', '10', '11', '12', '13', '14', '16', '17', 'T')"
7,1,9,0.0,0.48405,"('4', '5', '10', '12', '17')"
8,1,10,0.00331,0.0393,"('4', '5', '7', '11', '12', '13', '14', '16', '17', 'T')"
9,1,11,0.00426,0.0228,"('4', '5', '8', '10', '12', '15', '16', 'T')"
10,1,12,2e-05,0.42646,"('3', '4', '5', '7', '8', '9', '10', '11', '13', '16', '17', 'T')"
11,1,13,0.00027,0.26047,"('5', '7', '10', '12', '16', 'T')"
12,1,14,0.00011,0.33407,"('4', '5', '7', '8', '10', '13', '15', '16', '17')"
13,1,15,0.0,0.45355,"('4', '5', '7', '9', '11', '13', '14', 'T')"
14,1,16,0.01578,0.0004,"('4', '5', '10', '11', '15', '17', 'T')"
15,1,17,0.00124,0.11889,"('2', '4', '7', '8', '9', '10', '11', '12', '13', '14', '16', 'T')"
16,1,T,0.00041,0.23788,"('11', '16')"
17,2,3,0.0,0.48115,"('4', '5', '7', '10', '11', '12', '13', '16', '17', 'T')"
18,2,4,0.00131,0.11769,"('3', '7', '8', '9', '10', '11', '12', '15', '17', 'T')"
19,2,5,0.00022,0.29347,"('1', '9', '11', '14', '15', '16')"
20,2,6,0.0,0.48295,"('3', '4', '5', '7', '11', 'T')"
21,2,7,0.0,0.48005,"('5', '8', '10', '11', '12', '13', '15', 'T')"
22,2,8,0.00097,0.13839,"('1', '4', '5', '9', '11', '12', '14', '17', 'T')"
23,2,9,0.0023,0.05529,"('4', '5', '7', '11', '12', '15', '17', 'T')"
24,2,10,0.0,0.47275,"('1', '6', '7', '8', '11', '12', '15', 'T')"
25,2,11,0.00029,0.27277,"('4', '5', '9', '10', '12', '15', '17', 'T')"
26,2,12,0.00032,0.26257,"('4', '9', '11', '17', 'T')"
27,2,13,0.00025,0.27637,"('1', '5', '7', '9', '10', '12', '14', '15', '16', 'T')"
28,2,14,0.00017,0.31137,"('5', '9', '10', '15', '17', 'T')"
29,2,15,0.00093,0.13919,"('3', '4', '5', '9', '11', '14', '16', '17', 'T')"
30,2,16,0.0,0.49065,"('1', '8', '12', '13', '14', '15', '17')"
31,2,17,0.00517,0.013,"('3', '4', '7', '8', '9', '10', '11', '12', '14', '15', '16', 'T')"
32,2,T,0.00023,0.29527,"('3', '4', '9', '11', '12', '15', '16', '17')"
33,3,4,0.0078,0.0044,"('1', '2', '7', '9', '10', '11', '12', '13', '15', '16', 'T')"
34,3,5,0.00017,0.30577,"('1', '2', '4', '9', '10', '11', '13', '15', '16')"
35,3,6,0.00475,0.0226,"('1', '7', '9', '11', '17', 'T')"
36,3,7,0.00084,0.16428,"('4', '9', '10', '12', '13', '16', 'T')"
37,3,8,0.0,0.51225,"('10', '15', 'T')"
38,3,9,0.00317,0.0386,"('2', '4', '7', '10', '12', '15', '16', 'T')"
39,3,10,0.00604,0.0129,"('4', '7', '9', '11', '12', '14', '16', '17', 'T')"
40,3,11,1e-05,0.42676,"('4', '10', '12', '15', '16', 'T')"
41,3,12,0.00485,0.0155,"('4', '7', '9', '10', '11', '15', '16', '17', 'T')"
42,3,13,1e-05,0.40166,"('1', '5', '7', '10', '12', '15', '16', 'T')"
43,3,14,1e-05,0.51985,"('T',)"
44,3,15,0.0022,0.07189,"('2', '4', '5', '9', '10', '11', '13', '16', 'T')"
45,3,16,0.00101,0.14229,"('1', '2', '4', '5', '10', '12', '15', 'T')"
46,3,17,0.00129,0.11639,"('2', '4', '7', '9', '10', '12', '14', '16', 'T')"
47,3,T,0.00724,0.0058,"('4', '7', '9', '10', '11', '12', '15', '16')"
48,4,5,4e-05,0.39996,"('1', '2', '3', '7', '8', '9', '11', '13', '14', '15', '16')"
49,4,6,0.0,0.47305,"('2', '5', '7', '8', '9', '10', '12', '14', 'T')"
50,4,7,0.00402,0.0231,"('1', '2', '3', '9', '10', '11', '12', '13', 'T')"
