,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,3e-05,0.44626,"('4', '5', '6', '7', '11', '13', '14', '16', '17', 'T')"
1,1,3,0.00056,0.28847,"('4', '9', '10', '11', '12', '13', '15', '16', '17', 'T')"
2,1,4,0.04914,0.0001,"('2', '5', '6', '9', '11', '16', '17')"
3,1,5,0.0,0.47215,"('2', '7', '10', '11', '12', '14', '15', '16', '17', 'T')"
4,1,6,0.00713,0.0459,"('2', '4', '7', '8', '10', '11', '12', '13', '14', '16')"
5,1,7,0.0106,0.023,"('2', '4', '5', '6', '9', '10', '11', '12', '13', '16', '17')"
6,1,8,0.00069,0.27887,"('4', '5', '6', '7', '9', '10', '11', '13', '14', '16', '17', 'T')"
7,1,9,0.00128,0.21058,"('4', '6', '7', '11', '12', '14', 'T')"
8,1,10,0.0,0.46955,"('6', '9', '13', '14', '16', '17')"
9,1,11,0.08381,0.0002,"('2', '4', '7', '12', '14', '16', '17', 'T')"
10,1,12,0.0,0.47555,"('2', '6', '9', '11', '13', '16', '17')"
11,1,13,0.04201,0.0008,"('4', '6', '7', '10', '11', 'T')"
12,1,14,0.00297,0.12039,"('6', '9', '11', '15', '17')"
13,1,15,0.0,0.45465,"('3', '6', '8', '9', '12', '17')"
14,1,16,0.00429,0.08339,"('2', '6', '11')"
15,1,17,0.00675,0.0455,"('2', '3', '4', '6', '7', '8', '10', '11', '12', '13', '14', 'T')"
16,1,T,0.00025,0.33177,"('6', '7', '11', '12', '13', '14', '16', '17')"
17,2,3,0.00044,0.67293,"('5', '6', '13')"
18,2,4,0.00836,0.0289,"('5', '6', '7', '11', '16', '17')"
19,2,5,0.00187,0.17328,"('4', '7', '11', '12', '13', '16')"
20,2,6,2e-05,0.44216,"('7', '16')"
21,2,7,0.01414,0.0121,"('4', '5', '6', '9', '11', '12', '13', '15', '16', '17', 'T')"
22,2,8,0.0,0.47895,"('3', '7', '9', '10', '11', '13', '16', '17', 'T')"
23,2,9,0.0,0.48545,"('4', '5', '7', '8', '11', '12', '13', '14', '16', 'T')"
24,2,10,6e-05,0.54395,"('4', '11', '16', 'T')"
25,2,11,0.00357,0.10459,"('4', '5', '7', '12', '16', '17', 'T')"
26,2,12,0.00093,0.25187,"('5', '6', '7', '9', '11', '16', '17', 'T')"
27,2,13,0.00136,0.19948,"('1', '4', '6', '7', '16', 'T')"
28,2,14,1e-05,0.44826,"('5', '6', '7', '11', '15', '16', '17', 'T')"
29,2,15,8e-05,0.38896,"('3', '7', '11', '14')"
30,2,16,0.00721,0.0411,"('1', '4', '5', '6', '7', '11', '12', '14', 'T')"
31,2,17,0.00589,0.05859,"('4', '5', '6', '7', '11', '12', '13', '14', '16', 'T')"
32,2,T,0.0001,0.39106,"('5', '6', '7', '11', '12', '13', '14', '16', '17')"
33,3,4,0.0,0.49755,"('1', '2', '5', '6', '9', '11', '15', '17')"
34,3,5,0.00017,0.59074,"('15', 'T')"
35,3,6,0.00041,0.65473,"('13',)"
36,3,7,0.0,0.48525,"('1', '2', '5', '9', '10', '12', '14', '15', '16', 'T')"
37,3,8,0.0,0.48205,"('4', '5', '9', '10', '14', '15', '17')"
38,3,9,0.00071,0.27847,"('1', '7', '11', '12', '15', '17')"
39,3,10,0.00075,0.26387,"('1', '7', '12', '15', '17')"
40,3,11,0.0,0.47715,"('1', '2', '5', '7', '12', '13', '16', '17', 'T')"
41,3,12,0.0,0.48485,"('1', '7', '10', '13', '14', '16', '17', 'T')"
42,3,13,0.0005,0.67613,"('15',)"
43,3,14,0.0,0.47565,"('1', '2', '4', '7', '12', '15')"
44,3,15,0.01734,0.0085,"('1', '7', '10', '11', '14', '17')"
45,3,16,0.0,0.47855,"('1', '2', '5', '6', '7', '8', '11', '15', '17')"
46,3,17,0.0084,0.0277,"('1', '8', '10', '11', '12', '15', 'T')"
47,3,T,0.0,0.47875,"('1', '2', '7', '9', '12', '14', '16', '17')"
48,4,5,0.01171,0.0159,"('1', '2', '7', '8', '11')"
49,4,6,0.0,0.47715,"('1',)"
50,4,7,0.0,0.48515,"('2', '5', '6', '8', '9', '11', '12', '13', '16', '17', 'T')"
51,4,8,0.00256,0.13849,"('1', '2', '5', '6', '9', '11', '16', '17')"
52,4,9,0.0009,0.25507,"('1', '2', '3', '5', '6', '7', '8', '11', '12')"
53,4,10,0.00016,0.60514,"('2', '11')"
54,4,11,0.00157,0.18718,"('1', 'T')"
55,4,12,0.0,0.49665,"('2', '3', '5', '6', '10')"
56,4,13,0.00427,0.08379,"('1',)"
57,4,14,0.0,0.46865,"('2', '5', '13')"
58,4,15,0.0,0.47925,"('5', '9', '16')"
