,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.00188,0.09259,"('3', '5', '6', '7', '8', '9', '11', '14', '15', '16', '17')"
1,1,3,0.00152,0.11609,"('2', '4', '7', '8', '11', '12', '14', '16', '17', 'T')"
2,1,4,0.00016,0.32177,"('2', '3', '5', '6', '7', '8', '11', '12', '13', '16', '17')"
3,1,5,0.00412,0.0337,"('2', '8', '11', '12', '14', '16', '17', 'T')"
4,1,6,6e-05,0.37146,"('2', '3', '4', '7', '8', '9', '11', '16', '17', 'T')"
5,1,7,0.00016,0.32477,"('2', '3', '5', '8', '9', '11', '12', '14', '16', '17', 'T')"
6,1,8,0.03487,0.0001,"('2', '3', '5', '7', '11', '12', '13', '16', '17')"
7,1,9,0.0,0.47665,"('2', '3', '4', '6', '7', '8', '10', '12', '13', '16', '17')"
8,1,10,0.0,0.46275,"('2', '5', '7', '8', '9', '13', '15', '17')"
9,1,11,0.00116,0.14399,"('2', '3', '4', '5', '7', '8', '10', '12', '13', '14', '15', '16', '17', 'T')"
10,1,12,0.00246,0.07239,"('3', '5', '7', '8', '11', '14', '15', '16', '17', 'T')"
11,1,13,0.017,0.0015,"('5', '7', '11', '12', '15', '17')"
12,1,14,5e-05,0.37156,"('2', '5', '7', '11', '12', '13', '16', 'T')"
13,1,15,0.0003,0.25367,"('2', '5', '11', '12', '14', '17')"
14,1,16,0.01206,0.0023,"('2', '3', '8', '10', '11', '12', '17', 'T')"
15,1,17,0.01883,0.0005,"('2', '3', '5', '7', '8', '9', '10', '11', '12', '13', '15', '16', 'T')"
16,1,T,0.0,0.46955,"('3', '5', '6', '8', '11', '12', '13', '14', '15', '16', '17')"
17,2,3,0.00093,0.16828,"('1', '4', '6', '7', '8', '11', '12', '14', '16', '17', 'T')"
18,2,4,0.00095,0.16438,"('1', '3', '5', '6', '7', '8', '9', '11', '14', '17')"
19,2,5,0.0,0.48255,"('3', '4', '7', '9', '10', '11', '12', '14', '16', 'T')"
20,2,6,0.00175,0.10409,"('1', '3', '4', '7', '9', '11', '17', 'T')"
21,2,7,0.00996,0.0026,"('1', '3', '6', '8', '9', '10', '11', '14', '17', 'T')"
22,2,8,0.01736,0.0011,"('1', '3', '5', '7', '9', '11', '16', '17', 'T')"
23,2,9,0.0047,0.0237,"('1', '6', '7', '10', '11', '14', '17')"
24,2,10,0.0,0.46325,"('1', '9', '16', '17')"
25,2,11,0.00072,0.19888,"('1', '3', '4', '5', '6', '7', '8', '9', '10', '12', '14', '15', '16', '17', 'T')"
26,2,12,0.0,0.48805,"('1', '3', '8', '10', '11', '14', '16')"
27,2,13,0.00024,0.66283,"('16',)"
28,2,14,0.00349,0.0495,"('1', '3', '5', '7', '9', '11', '12', '15', '17', 'T')"
29,2,15,0.00053,0.22158,"('1', '9', '11', '12', '14', '17')"
30,2,16,0.00017,0.33827,"('1', '3', '6', '8', '10', '11', '12', '14', '17', 'T')"
31,2,17,0.01552,0.0006,"('1', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '14', '15', '16', 'T')"
32,2,T,0.00114,0.14629,"('1', '3', '5', '6', '7', '8', '9', '11', '12', '14', '16', '17')"
33,3,4,0.00783,0.0084,"('1', '2', '5', '7', '11', '13', '16', '17', 'T')"
34,3,5,0.0,0.47275,"('1', '2', '6', '7', '9', '11', '12', '13', '15', '16', '17')"
35,3,6,0.00058,0.21448,"('1', '2', '4', '7', '9', '11', '16', '17', 'T')"
36,3,7,0.00491,0.0254,"('1', '2', '4', '9', '11', '12', '14', '16', '17', 'T')"
37,3,8,0.0007,0.19858,"('1', '2', '4', '5', '7', '11', '12', '16', '17', 'T')"
38,3,9,0.0,0.48285,"('1', '4', '5', '6', '8', '10', '11', '12', '14', '15', '16')"
39,3,10,1e-05,0.50035,"('4', '15', 'T')"
40,3,11,0.00036,0.26027,"('1', '2', '4', '5', '7', '12', '14', '16', '17', 'T')"
41,3,12,0.0014,0.12729,"('1', '5', '7', '11', '14', '16', '17', 'T')"
42,3,13,0.0,0.46545,"('1', '2', '5', '7', '11', '15')"
43,3,14,0.00109,0.14569,"('1', '2', '7', '12', '16', 'T')"
44,3,15,5e-05,0.53745,"('6', '7', '8', '10', '13', '16')"
45,3,16,0.00302,0.05079,"('1', '2', '11', '12', 'T')"
46,3,17,0.0143,0.0015,"('1', '2', '7', '12', '16', 'T')"
47,3,T,0.03843,0.0001,"('1', '2', '7', '11', '12', '16')"
48,4,5,0.00348,0.0425,"('1', '3', '7', '8', '11', '12', '13', '17', 'T')"
49,4,6,0.00383,0.0409,"('1', '2', '3', '5', '7', '9', '11', '17')"
50,4,7,5e-05,0.39126,"('2', '3', '5', '6', '9', '11', '12', '14', '17')"
51,4,8,0.00554,0.0198,"('1', '2', '3', '5', '7', '11', '13', '16', '17')"
52,4,9,5e-05,0.39676,"('2', '5', '6', '7', '11', '12', '13', '17')"
53,4,10,1e-05,0.49195,"('3', '5', '15')"
54,4,11,0.00938,0.004,"('1', '2', '3', '5', '6', '7', '8', '9', '12', '13', '14', '16', '17', 'T')"
55,4,12,0.00015,0.33657,"('3', '5', '7', '11', '16', '17', 'T')"
56,4,13,0.0,0.46625,"('1', '3', '7', '9', '11', '12', '17', 'T')"
57,4,14,0.0,0.47015,"('5', '8', '10', '12', '16', '17', 'T')"
58,4,15,0.0,0.45315,"('1', '2', '11', '12', '14', '17', 'T')"
59,4,16,0.0,0.49045,"('1', '2', '5', '6', '8', '10', '11', '12', '13', '15', '17')"
