,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.09348,0.0413,"('13', '16', 'T')"
1,1,3,0.0,0.45815,"('2', '4', '7', '13', '14', '16')"
2,1,4,0.0,0.48805,"('2', '9', '10', '13', '14')"
3,1,5,0.0,0.44866,"('2', '4', '6', '12', '13', '14', '15', '16', '17')"
4,1,6,0.0,0.46285,"('2', '4', '5', '12', '15', '17', 'T')"
5,1,7,0.0,0.48115,"('2', '5', '10', '11', '12', '14', '15', '17')"
6,1,8,0.0,0.46555,"('3', '5', '6', '7', '10', '12', '13', '15', 'T')"
7,1,9,0.0,0.47455,"('2', '10', '13', '14', '16')"
8,1,10,0.0,0.46455,"('2', '5', '8', '11', '14', '15')"
9,1,11,1e-05,0.47775,"('2', '7', '13', '15', '16', 'T')"
10,1,12,0.0,0.43076,"('2', '4', '5', '6', '14', '15', '16', '17', 'T')"
11,1,13,0.02136,0.17648,"('2', '10', '16', 'T')"
12,1,14,0.01754,0.19438,"('2', '4', '13', '16')"
13,1,15,1e-05,0.46355,"('2', '10', '11', '13')"
14,1,16,0.01321,0.23828,"('2',)"
15,1,17,0.0,0.47505,"('2', '3', '7', '11', '12', '13', '14', '16')"
16,1,T,0.0,0.47005,"('2', '6', '10', '11', '14')"
17,2,3,0.00345,0.62814,"('1', '7', '13', '14', '16', 'T')"
18,2,4,1e-05,0.49865,"('1', '7', '16', 'T')"
19,2,5,0.00128,0.56284,"('3', '9', '10', '12', 'T')"
20,2,6,1e-05,0.49555,"('1', '7', '13', '16')"
21,2,7,0.0,0.48795,"('4', '6', '9', '10', '13', '14', '16', '17')"
22,2,8,0.0,0.47225,"('1', '3', '5', '7', '9', '10', '14', '17')"
23,2,9,0.0,0.48435,"('1', '10', '16')"
24,2,10,0.0,0.47285,"('1', '3', '4', '15', '16', '17')"
25,2,11,0.0,0.46315,"('1', '5', '7', '13', '15', '16', 'T')"
26,2,12,0.0,0.48455,"('7', '10', '13', '16')"
27,2,13,0.00037,0.43076,"('1', '10', '16', 'T')"
28,2,14,0.0,0.47375,"('1', '7', '13', '16', 'T')"
29,2,15,0.00213,0.38276,"('1', '11', '12', '13', '16', 'T')"
30,2,16,0.09781,0.0384,"('1',)"
31,2,17,0.0,0.48505,"('1', '4', '7', '8', '11', '13', '15', '16')"
32,2,T,0.0,0.47335,"('1', '5', '7', '11', '13', '15', '16')"
33,3,4,0.0,0.48635,"('2', '7', '13', '14')"
34,3,5,0.0,0.47955,"('1', '8', '9', '10', '13', '16')"
35,3,6,0.0026,0.58884,"('1', '2', '4', '8', '9', '10', '12', '13', '17')"
36,3,7,0.00017,0.50235,"('1', '2', '4', '6', '12')"
37,3,8,0.00016,0.45505,"('5', '9', '10', '13', '15', '16', '17')"
38,3,9,0.00645,0.29287,"('4', '5', '6', '7', '8', '11', '12', '15', '17', 'T')"
39,3,10,0.0,0.46875,"('1', '5', '6', '7', '9', '11', '12', '13', '16', '17')"
40,3,11,0.0,0.46725,"('1', '5', '6', '7', '9', '10', '15', '17', 'T')"
41,3,12,0.0,0.45325,"('6', '13', '14', '15', '16', '17', 'T')"
42,3,13,0.00052,0.51725,"('1', 'T')"
43,3,14,0.0189,0.79492,"('1', '2', '4', '6', '16')"
44,3,15,0.0017,0.37106,"('6', '8', '9', '10', '11', '13')"
45,3,16,0.0,0.46075,"('7', '9', '10', '11', '12', '13')"
46,3,17,0.06427,0.07889,"('8', '11', '13')"
47,3,T,0.00299,0.58494,"('1', '2', '4', '6', '11', '12', '14')"
48,4,5,0.0,0.49955,"('1', '2', '9', '10', '12', '15')"
49,4,6,0.0437,0.88791,"('2', '7', '13')"
50,4,7,0.13055,0.0179,"('1', '9', '12', '13', '14')"
51,4,8,0.0,0.49315,"('1', '2', '3', '7', '9', '11', '12', '13', '14', '15', '17')"
52,4,9,0.05808,0.08389,"('7', 'T')"
53,4,10,0.0,0.47475,"('5', '7', '12', '13', '14', '15', '16')"
54,4,11,0.0,0.47245,"('6', '13', '15', '16', 'T')"
55,4,12,0.00015,0.50265,"('13', '14', 'T')"
56,4,13,0.0,0.46645,"('1', '2', '10', '11', '12', '15', '16', '17', 'T')"
57,4,14,0.03726,0.12909,"('6', '11', '12', '13')"
58,4,15,0.00068,0.54365,"('6', '10', '11', '12', '13')"
59,4,16,0.0,0.48295,"('1', '5', '9', '14', 'T')"
60,4,17,0.0,0.48605,"('3', '6', '8', '11', '12', '13', '15')"
61,4,T,0.0,0.46715,"('2', '3', '6', '7', '9', '10', '11', '12', '14', '15', '16')"
62,5,6,0.0,0.47005,"('8', '9', '12', '14')"
63,5,7,0.0,0.47295,"('1', '2', '3', '6', '8', '12')"
64,5,8,0.06989,0.06719,"('10', '12', '16', 'T')"
65,5,9,0.0,0.48025,"('2', '3', '4', '6', '7', '8', '11', '13', '14', '15', 'T')"
66,5,10,0.0155,0.22278,"('8', '12', '13', '15', '16')"
67,5,11,0.0,0.46495,"('1', '2', '6', '7', '15', '16', '17')"
68,5,12,0.0212,0.18718,"('7', '10', 'T')"
69,5,13,0.0,0.46595,"('10', '12', '15', '16', 'T')"
70,5,14,0.0,0.47285,"('3', '8', '16')"
71,5,15,0.0,0.44796,"('3', '7', '8', '9', '12', '13')"
72,5,16,0.0,0.47195,"('2', '7', '8', '10', '12', '13', '14')"
73,5,17,0.01722,0.77092,"('T',)"
74,5,T,0.02303,0.17458,"('9', '10', '11', '12', '13', '16')"
75,6,7,0.0,0.48665,"('2', '4', '5', '9', '10', '12', '13', '16', 'T')"
76,6,8,3e-05,0.50025,"('1', '3', '4', '5', '7', '10', '12', '13', '15', '16')"
77,6,9,0.0,0.45595,"('1', '2', '5', '10', '12', '13', '16', '17', 'T')"
78,6,10,0.0,0.46915,"('1', '2', '4', '5', '8', '12', '13', '15')"
79,6,11,0.00029,0.43916,"('4', '5', '10', '12', '13', '14')"
80,6,12,0.00294,0.59344,"('2', '5', '7', '13')"
81,6,13,0.00125,0.54465,"('1', '2', '10', '12', '16')"
82,6,14,0.0,0.46965,"('1', '2', '5', '7', '8', '9', '10', '11', '13', '17')"
83,6,15,0.0,0.47065,"('2', '3', '4', '5', '7', '9', '10', '12', '16', '17', 'T')"
84,6,16,0.0,0.48195,"('2', '3', '5', '8', '9', '10', '12', '13', '14', '17', 'T')"
85,6,17,0.0,0.47595,"('5', '8', '10', '13', '15')"
86,6,T,0.04066,0.12529,"('2', '3', '7', '10', '12', '13', '14', '16')"
