,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0,0.48395,"('5', '7', '8', '9', '17')"
1,1,3,0.01,0.47785,"('10', '11', '13', '14', '17', 'T')"
2,1,4,0.05675,0.57354,"('7', '10', '11', '13', '14')"
3,1,5,0.0,0.49445,"('6', '7', '11', '14', '16')"
4,1,6,0.0,0.47695,"('3', '5', '11', '12', '14', '15')"
5,1,7,0.15274,0.24888,"('6', '10', '11', '14', '17')"
6,1,8,0.0,0.50105,"('5', '6', '7', '11', '14', 'T')"
7,1,9,0.00632,0.49615,"('5', '10', '11', '14', 'T')"
8,1,10,0.0,0.48685,"('2', '3', '4', '7', '12', '15', '16', 'T')"
9,1,11,0.14526,0.25917,"('6', '7', '12', '13', '14', 'T')"
10,1,12,0.0,0.48575,"('2', '3', '4', '5', '6', '8', '17')"
11,1,13,0.0,0.48455,"('3', '5', '12', '14', '15')"
12,1,14,0.41619,0.0238,"('6', '11')"
13,1,15,0.04494,0.59144,"('3', '5', '6', '7', '14', 'T')"
14,1,16,0.0,0.46175,"('3', '4', '6', '8', '10', '11', '13', '14')"
15,1,17,0.05099,0.41006,"('3', '7', '14', 'T')"
16,1,T,0.0,0.48965,"('2', '3', '6', '10', '13', '14', '15', '16')"
17,2,3,0.17441,0.77562,"('5', '15')"
18,2,4,0.0,0.48435,"('3', '6', '7', '9', '10', '13')"
19,2,5,0.07662,0.36106,"('3', '6', '9', '10')"
20,2,6,0.25725,0.87311,"('11', '12', '15')"
21,2,7,0.03302,0.54005,"('6', '10')"
22,2,8,0.0,0.49605,"('3', '4', '5', '16')"
23,2,9,0.00707,0.50475,"('1', '4', '5', '11', '14', '16')"
24,2,10,0.17085,0.76532,"('4', '5', '11', '13', '14', '15', '16')"
25,2,11,0.0,0.48195,"('5', '12', '14', '15', 'T')"
26,2,12,0.0,0.49345,"('4', '5', '6', '7', '11', '13')"
27,2,13,0.0,0.48825,"('5', '6', '10', '11', '14', '15')"
28,2,14,0.03098,0.43506,"('3', '6', '10', '15')"
29,2,15,0.03886,0.40126,"('3', '5', '6', '10')"
30,2,16,0.00707,0.50365,"('5', '11', '15')"
31,2,17,0.0,0.47915,"('1', '3', '6', '7', '9')"
32,2,T,0.0,0.48945,"('1', '3', '5', '6', '7', '9', '10', '13', '16')"
33,3,4,0.06332,0.59854,"('2', '6', '15', 'T')"
34,3,5,0.0,0.49875,"('2', '4', '8', '11', '12', '13', '15', '16')"
35,3,6,0.0,0.50665,"('4', '5', '10', '14', '15', '16', 'T')"
36,3,7,0.0,0.51295,"('2', '4', '6', '8', '9', '10', '11', '17')"
37,3,8,0.12137,0.68893,"('5', '7', '12', '15')"
38,3,9,0.0,0.48805,"('1', '2', '5', '7', '10', '11', '13', '17')"
39,3,10,0.0,0.50155,"('6', '13', '14', '15', 'T')"
40,3,11,0.0,0.49025,"('1', '5', '9', '12', '13', '14', '15', '17', 'T')"
41,3,12,0.0,0.49195,"('4', '6', '8', '11', '13', '15', '16', 'T')"
42,3,13,0.21052,0.17748,"('2', '4', '6', '7', '10', '15', '16')"
43,3,14,0.0,0.51535,"('2', '5', '8', '11', 'T')"
44,3,15,0.1562,0.73713,"('2', '6', '7', '9', '12', '16')"
45,3,16,0.0,0.51185,"('2', '5', '10', '14', '15')"
46,3,17,0.15881,0.24588,"('5', '6', '15')"
47,3,T,0.06293,0.39526,"('10', '11', '13')"
48,4,5,0.0,0.47415,"('2', '3', '7', '8', '10', '11', '14', '15', '17')"
49,4,6,0.0,0.47505,"('1', '2', '3', '5', '8', '10', '13', '16', '17', 'T')"
50,4,7,0.0,0.46365,"('1', '2', '3', '9', '10', '14', '15', '17')"
51,4,8,0.22156,0.83262,"('5', '10', '11')"
52,4,9,0.09586,0.65403,"('7', '13', '15')"
53,4,10,0.177,0.77592,"('2', '6', '15')"
54,4,11,0.0,0.49405,"('1', '2', '3', '5', '7', '12', '13', '14', '16', '17')"
55,4,12,0.05941,0.37456,"('3', '7', '16')"
56,4,13,0.03742,0.55794,"('1', '3', '5', '9', '10', '11')"
57,4,14,0.0,0.45415,"('1', '2', '6', '9', '11', '12', '15', '16')"
58,4,15,0.0,0.44786,"('1', '2', '3', '5', '10', '11', '14', '16', '17', 'T')"
59,4,16,0.05109,0.57214,"('5', '9', '10', '14')"
60,4,17,0.0,0.47705,"('2', '3', '5', '6', '10', '11', '14')"
61,4,T,0.0,0.47315,"('3', '5', '6', '11', '12', '13')"
62,5,6,0.01049,0.50475,"('14', '16')"
63,5,7,0.0,0.47595,"('6', '9', '10')"
64,5,8,0.16748,0.22718,"('3', '4', '6', '9', '10')"
65,5,9,0.18276,0.80102,"('1', '2', '3', '4', '8', '10', '13', '14', '16', 'T')"
66,5,10,0.0,0.49395,"('11', '14', '16', 'T')"
67,5,11,0.0,0.48375,"('1', '2', '4', '6', '7', '8', '13', '14', '16', 'T')"
68,5,12,0.0,0.48555,"('1', '2', '3', '4', '6', '7', '8', '10', '13', '14', '16')"
69,5,13,0.19355,0.19558,"('2', '3', '11', '12', '14', '16')"
70,5,14,0.16288,0.24278,"('1', '2', '11', '16')"
71,5,15,0.0,0.45965,"('6', '7', '9', '11', 'T')"
72,5,16,0.48889,0.0233,"('2', '6')"
73,5,17,0.00316,0.48645,"('3', '6', '7', '15', 'T')"
74,5,T,0.0,0.45505,"('3', '6', '7', '9', '10', '12', '14', '15')"
