,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.048,0.13449,"('6', '7', '9', '13', '14', '16')"
1,1,3,0.0,0.47705,"('2', '6', '7', '8', '12', '13', '15', '16', '17', 'T')"
2,1,4,0.0,0.48215,"('2', '6', '7', '8', '11', '12', '13', '14', '16', '17')"
3,1,5,0.00084,0.55844,"('2', '13', '16')"
4,1,6,0.0,0.47615,"('2', '8', '9', '15', '17', 'T')"
5,1,7,0.0,0.49125,"('2', '3', '11', '12', 'T')"
6,1,8,0.01507,0.25357,"('2', '6', '9', '12', '13', '14', '16')"
7,1,9,0.0363,0.16428,"('2', '6', '16', '17')"
8,1,10,0.0,0.48095,"('6', '13', '14', '15', '16', 'T')"
9,1,11,0.00271,0.58454,"('2', '4', '8', '9', '13', '14', '15', '16', '17')"
10,1,12,0.0,0.48275,"('2', '3', '4', '5', '8', '13', '17')"
11,1,13,0.0,0.50365,"('2', '3', '5', '7', '10', '11', '14', '16', 'T')"
12,1,14,0.00011,0.48195,"('2', '13', '16')"
13,1,15,0.0,0.48475,"('3', '13', '14', '16')"
14,1,16,0.0,0.50445,"('3', '4', '5', '6', '8', '10', '11', '12', '17')"
15,1,17,0.09165,0.06319,"('2', '3', '5', '6', '9', '13', '14', '16')"
16,1,T,0.0,0.48825,"('3', '4', '5', '7', '11', '13', '17')"
17,2,3,0.0,0.49905,"('1', '6', '7', '9', '10', '11', '12', '13', '16', 'T')"
18,2,4,0.0,0.47765,"('1', '7', '8', '11', '16')"
19,2,5,0.0,0.46605,"('1', '6', '8', '11', '13', '14', '15')"
20,2,6,0.00976,0.30717,"('1', '3', '7', '8', '9', '10', '11', '13', '14')"
21,2,7,0.00494,0.35566,"('1', '6', '10', 'T')"
22,2,8,0.0,0.49895,"('1', '5', '6', '7', '9', '11', '12', '13')"
23,2,9,0.00485,0.35506,"('1', '6', '16')"
24,2,10,0.00038,0.44656,"('1', '7')"
25,2,11,0.0,0.48735,"('1', '6', '7', '13', '16', 'T')"
26,2,12,0.0,0.48175,"('3', '5', '6', '7', '9', '10', '11', '13', '14', '16', '17')"
27,2,13,0.00175,0.57004,"('1', '9', '10', 'T')"
28,2,14,0.00653,0.32947,"('1',)"
