,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0,0.47595,"('3', '4', '5', '9', '12', '14', '17')"
1,1,3,0.0,0.50535,"('2', '7', '8', '11', '12', '14', '16')"
2,1,4,0.0,0.49115,"('2', '5', '7', '10', '13', '14', '15', '16', 'T')"
3,1,5,0.12883,0.0197,"('2', '4', '7', '8', '10', '15', '16', '17')"
4,1,6,0.0,0.49345,"('5', '7', '10', '16', 'T')"
5,1,7,0.0,0.47555,"('4', '5', '9', '10', '13', '15', '17')"
6,1,8,0.0,0.49745,"('3', '5', '9', '12', '13', '16', '17')"
7,1,9,0.0,0.49145,"('5', '8', '13', '14', '15', '16', '17', 'T')"
8,1,10,0.00336,0.35526,"('5', '14', '15', '16', '17')"
9,1,11,0.06234,0.93571,"('2', '5', '7')"
10,1,12,0.0,0.48565,"('2', '3', '4', '5', '6', '7', '10', '11', '16', '17')"
11,1,13,0.0,0.45595,"('3', '7', '10', '11', '15', '16')"
12,1,14,0.0,0.47125,"('2', '4', '7', '11', '12', '13', '16', '17', 'T')"
13,1,15,0.0,0.48675,"('11', '13', '14')"
14,1,16,0.07239,0.05859,"('2', '5', '10', '12')"
15,1,17,9e-05,0.47425,"('5', '9', '10', '16')"
16,1,T,0.0,0.48835,"('3', '6', '7', '8', '9', '11', '12', '13', '15', '17')"
17,2,3,0.0,0.50245,"('5', '7', '12', '13', '14', '15', '17', 'T')"
18,2,4,0.0,0.48685,"('5', '9', '14', '16')"
19,2,5,0.00681,0.31197,"('1', '3', '4', '7', '8', '10', '14', '15', '16', '17')"
20,2,6,0.0,0.45955,"('1', '5', '7', '10', '12', '15', '17', 'T')"
21,2,7,0.03762,0.12959,"('9', '16')"
22,2,8,0.0,0.50075,"('1', '4', '7', '9', '10', '11', '12', '13', '15', '17')"
23,2,9,0.00079,0.43716,"('5', '7', '13', '14', '17')"
24,2,10,0.0,0.47805,"('1', '5', '6', '7', '8', '9', '13', '14', '17')"
25,2,11,0.01034,0.70563,"('1', '5', '7', '10')"
26,2,12,0.00521,0.32167,"('5', '7', '10', '13', '14', '16', '17')"
27,2,13,0.0,0.47335,"('10', '11', '14', '15')"
28,2,14,0.0,0.46385,"('1', '4', '6', '7', '8', '10', '11', '12', '15')"
29,2,15,0.0113,0.71773,"('7', '16', 'T')"
30,2,16,0.00463,0.34147,"('1', '5', '7', '10', '12', '14')"
31,2,17,0.02731,0.15628,"('5', '7', '9', '10', '14', '16', 'T')"
32,2,T,0.0,0.49155,"('3', '6', '9', '10', '11', '12', '16', '17')"
33,3,4,0.0,0.49195,"('1', '2', '6', '7', '11', '14', '15')"
34,3,5,0.00588,0.31667,"('2', '10', '15', 'T')"
35,3,6,0.0,0.50625,"('4', '7', '9', '11', '12', '14', '16')"
36,3,7,0.0,0.49555,"('2', '6', '8', '11', '12', '13', '14', '16')"
37,3,8,0.0,0.50305,"('1', '5', '9', '10', '11', '13', '14', '15', '16', '17')"
38,3,9,0.00042,0.44986,"('2', '5', '7', '10', '11', '14', '15', '17', 'T')"
39,3,10,0.00246,0.38386,"('5', '11', '14', '15', '16', '17', 'T')"
40,3,11,0.04481,0.11409,"('10', '13', '15', 'T')"
41,3,12,0.0,0.48985,"('1', '4', '6', '7', '9', '10', '16')"
42,3,13,0.0,0.48995,"('4', '6', '9', '10', '12', '14', 'T')"
43,3,14,0.0,0.48695,"('2', '11', '13', '15')"
44,3,15,0.0,0.48165,"('2', '5', '10', '11', 'T')"
45,3,16,0.0018,0.40516,"('1', '2', '5', '10', '11')"
46,3,17,0.0,0.49835,"('1', '5', '9', '11', '13', '15')"
47,3,T,0.0,0.50545,"('5', '7', '9', '10', '11', '16')"
48,4,5,0.01418,0.24088,"('1', '2', '9', '10', '15', 'T')"
49,4,6,0.0,0.48305,"('7', '13', '14')"
50,4,7,6e-05,0.46505,"('2', '9', '13')"
51,4,8,0.0,0.48465,"('1', '2', '6', '9', '16')"
52,4,9,0.03566,0.12939,"('2', '5', '7', '13', 'T')"
53,4,10,0.00394,0.62094,"('7', '13')"
54,4,11,0.0,0.46615,"('10', '13', 'T')"
55,4,12,0.0,0.48425,"('1', '2', '6', '8', '10', '11', '16', '17', 'T')"
56,4,13,0.00093,0.37856,"('1', '7', '9', '10', '11', '14', '15')"
57,4,14,0.0,0.47645,"('1', '2', '5', '6', '9', '11', '15')"
58,4,15,0.0,0.49365,"('2', '3', '6', '7', '12', '13', '14', '17', 'T')"
59,4,16,0.0,0.48245,"('1', '2', '5', '6', '7', '9', '10', '15')"
60,4,17,0.0,0.48245,"('3', '7', '9', '13', '14', '15', 'T')"
61,4,T,0.00112,0.40926,"('5', '9', '13', '16')"
62,5,6,0.00334,0.61574,"('13',)"
63,5,7,0.0,0.49415,"('3', '8', '10', '14', '15', 'T')"
64,5,8,0.01366,0.25097,"('1', '2', '9', '10', '15', '16')"
65,5,9,0.0,0.50405,"('10', '12', '14', '17', 'T')"
66,5,10,0.00867,0.28397,"('1', '2', '3', '12', '15')"
67,5,11,0.0,0.48025,"('1', '2', '10', '16', 'T')"
68,5,12,0.0,0.48575,"('1', '4', '6', '8', '9', '15', '16')"
69,5,13,0.07794,0.953,"('6', '10', '11', '14')"
70,5,14,0.0,0.48425,"('2', '4', '7', '9', '13', '15', '16', '17', 'T')"
71,5,15,0.03741,0.12999,"('1', '3', '4', '6', '8', '10', '12', '14')"
72,5,16,0.0,0.49745,"('1', '2', '3', '8', '10', '12', '13', 'T')"
73,5,17,0.0,0.50325,"('1', '2', '3', '8', '9', '10', '15')"
74,5,T,0.0,0.49905,"('3', '9', '10', '15', '16')"
75,6,7,0.0,0.46055,"('2', '3', '4', '9', '10', '11', '13', 'T')"
76,6,8,0.0,0.49505,"('7', '9', '13', '14', '16')"
77,6,9,0.0,0.47295,"('1', '2', '3', '4', '5', '8', '11', '13', 'T')"
78,6,10,0.00025,0.51905,"('5', '12', '16', 'T')"
79,6,11,5e-05,0.49365,"('13', '15', 'T')"
80,6,12,0.03148,0.85611,"('10', '16', 'T')"
81,6,13,0.14017,0.0261,"('11', '14', '15')"
82,6,14,0.00088,0.53795,"('13',)"
83,6,15,0.02838,0.15688,"('13', '14')"
84,6,16,0.00161,0.58984,"('1', '5', '10', '12')"
85,6,17,0.0,0.48155,"('1', '2', '5', '8', '10', '12', '15', '16')"
86,6,T,0.0,0.47455,"('1', '3', '8', '10', '11', '14', '15')"
87,7,8,0.0,0.47115,"('2', '5', '10', '11', '12', '14', '15', 'T')"
88,7,9,0.03271,0.14239,"('2', '13', 'T')"
89,7,10,0.03216,0.87611,"('5', '14', '15', '16', 'T')"
90,7,11,0.01026,0.70473,"('2',)"
91,7,12,0.0,0.46575,"('2', '4', '5', '6', '11', '14', '15', 'T')"
92,7,13,0.00058,0.40446,"('1', '2', '4', '6', '9', '12', '14')"
93,7,14,0.02788,0.84722,"('10', '15')"
94,7,15,0.00535,0.64244,"('5', '11', '13', '14')"
95,7,16,0.0,0.47425,"('2', '9', '13', '15', 'T')"
96,7,17,0.0,0.47615,"('2', '4', '9', '12', '16', 'T')"
97,7,T,0.0,0.46735,"('2', '4', '5', '8', '10', '13', '14', '16')"
98,8,9,0.04391,0.11269,"('1', '2', '5', '11', '12', '13', '15', '17', 'T')"
99,8,10,0.0,0.48725,"('3', '5', '12', '13', '14', '16', '17')"
100,8,11,0.00095,0.41126,"('10', '13', '15', 'T')"
101,8,12,0.02017,0.20458,"('2', '5', '9', '10', '11', '13', '14', '15', '16', '17')"
102,8,13,0.0,0.48005,"('1', '6', '7', '10', '11', '14', '16')"
103,8,14,0.0,0.47235,"('2', '10', '15', '16')"
104,8,15,0.0,0.45875,"('5', '10', '11', '12', '13', '16', 'T')"
105,8,16,0.0,0.48415,"('1', '2', '5', '10', '12', '14', '15')"
106,8,17,0.0,0.50175,"('5', '9', '16')"
107,8,T,0.0,0.49565,"('1', '2', '4', '5', '11', '12', '14', '15', '17')"
108,9,10,0.0,0.47775,"('1', '2', '4', '5', '7', '8', '12', '13', '14', '15')"
109,9,11,0.0,0.49255,"('1', '3', '4', '12', '13', '14', '15', '16', '17')"
110,9,12,0.0,0.48405,"('1', '2', '5', '8', '14', '15', '17', 'T')"
111,9,13,0.0,0.45085,"('1', '2', '3', '5', '6', '7', '11', '15', 'T')"
112,9,14,0.0,0.47935,"('5', '7', '12', '13', '15', '16', '17', 'T')"
113,9,15,0.0,0.47995,"('1', '2', '3', '7', '10', '12', '14', '16', '17', 'T')"
114,9,16,1e-05,0.47415,"('10', '13')"
115,9,17,0.34113,0.0002,"('10', 'T')"
116,9,T,0.02076,0.20078,"('13', '17')"
117,10,11,0.00093,0.53075,"('1', '5', '13')"
118,10,12,0.00552,0.31257,"('5', '8', '13', '14', '15', '16', '17')"
119,10,13,0.0,0.44936,"('1', '4', '5', '6', '7', '11', '12', '14', '15')"
120,10,14,0.0,0.45925,"('2', '4', '6', '8', '13', '17', 'T')"
121,10,15,2e-05,0.42866,"('5', '13', '14', 'T')"
122,10,16,0.00103,0.42036,"('1', '12', '13')"
123,10,17,0.03513,0.13209,"('1', '2', '5', '12', '13', 'T')"
124,10,T,0.0,0.48215,"('1', '2', '5', '11', '15', '16', '17')"
125,11,12,0.0,0.45975,"('3', '4', '5', '8', '9', '13', '14', '17', 'T')"
126,11,13,0.11702,0.0362,"('3', '6', '12', '14', 'T')"
127,11,14,2e-05,0.47815,"('10', '13', '15')"
128,11,15,0.00277,0.34197,"('3', '5', '6', '12', '13', '14', 'T')"
129,11,16,0.0,0.49465,"('1', '10', '15')"
130,11,17,0.0,0.48265,"('1', '2', '7', '8', '9', '10', '12', '16')"
131,11,T,0.01497,0.23048,"('10', '13')"
132,12,13,0.0,0.43996,"('1', '3', '6', '7', '8', '9', '10', '14', '16', '17', 'T')"
133,12,14,0.0,0.47295,"('2', '5', '7', '9', '10', '13', '16', 'T')"
134,12,15,0.00313,0.33197,"('5', '10', '13', '14')"
135,12,16,0.00784,0.29217,"('1', '2', '3', '7', '8', '10', '13', '14')"
136,12,17,0.00074,0.43956,"('10', 'T')"
137,12,T,0.0,0.48775,"('2', '3', '4', '5', '8', '9', '11', '14', '15', '16')"
138,13,14,0.18829,0.0122,"('2', '6', '11', '15')"
139,13,15,0.0,0.43456,"('1', '3', '4', '6', '7', '8', '12', '16')"
140,13,16,0.01073,0.73183,"('6', '9', '11', '14', '15')"
141,13,17,0.0,0.48775,"('1', '3', '5', '9', '10', '14', '15', '16', 'T')"
142,13,T,0.0,0.45595,"('1', '2', '4', '6', '8', '9', '10', '14')"
143,14,15,0.02592,0.15708,"('5', '6', '11')"
144,14,16,0.0,0.48525,"('4', '5', '7', '10', '13', '15', '17', 'T')"
145,14,17,0.0,0.49555,"('5', '7', '9', '12', '13', '16')"
146,14,T,0.00899,0.69473,"('5', '7', '13', '17')"
147,15,16,0.00029,0.53755,"('1', '2', 'T')"
148,15,17,0.00012,0.51445,"('2', 'T')"
149,15,T,0.00358,0.62124,"('2', '7', '13', '17')"
150,16,17,0.0,0.48475,"('1', '3', '5', '10', '11', '12', 'T')"
151,16,T,0.0,0.50845,"('9', '10', '13', '14')"
152,17,T,0.19553,0.0052,"('9', '10')"
