,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0,0.48905,"('4', '5', '8', '13', '14', '17')"
1,1,3,1e-05,0.47125,"('5', '13', '14', '16', 'T')"
2,1,4,0.0,0.49635,"('5', '6', '7', '8', '13', '14', '16', 'T')"
3,1,5,0.00306,0.28317,"('3', '4', '8', '13', '17', 'T')"
4,1,6,1e-05,0.48495,"('5', '8', '10', '13', '14', '17')"
5,1,7,0.0,0.48595,"('2', '3', '6', '8', '13', '14', '17', 'T')"
6,1,8,0.0265,0.05539,"('5', '13', 'T')"
7,1,9,0.0,0.49145,"('3', '5', '13', '16', 'T')"
8,1,10,0.0,0.47395,"('2', '3', '5', '8', '13', '17', 'T')"
9,1,11,0.0,0.47165,"('2', '3', '4', '6', '12', '16', '17', 'T')"
10,1,12,0.01348,0.88861,"('5', 'T')"
11,1,13,0.02153,0.07979,"('5', '11', '17')"
12,1,14,0.0,0.47205,"('3', '5', '6', '7', '8', '11', '12', '17')"
13,1,15,0.0,0.45625,"('3', '6', '9', '11', '16', '17', 'T')"
14,1,16,0.0,0.47785,"('2', '5', '8', '9', '13', '17', 'T')"
15,1,17,0.00159,0.33567,"('2', '5', '8', '10', '13', 'T')"
16,1,T,0.0,0.47995,"('3', '7', '11', '17')"
17,2,3,0.00046,0.56904,"('16', 'T')"
18,2,4,0.02899,0.0479,"('1', '5', '6', '14', '17')"
19,2,5,0.0,0.49185,"('3', '4', '9', '10', '15', '17')"
20,2,6,0.0,0.48045,"('3', '5', '7', '8', '12', '13', '15', '16', '17', 'T')"
21,2,7,0.00099,0.36406,"('1', '4', '6', '9', '13', '14', '17')"
22,2,8,0.0,0.49685,"('1', '4', '5', '6', '7', '9', '10', '11', '17', 'T')"
23,2,9,0.00038,0.40916,"('4', '7', '8', '12', '14', '17')"
24,2,10,0.0,0.47565,"('1', '4', '6', '7', '9', '14', '16')"
25,2,11,4e-05,0.51135,"('T',)"
26,2,12,0.0,0.49135,"('4', '6', '9', '10', '11', '16', '17', 'T')"
27,2,13,0.0,0.47365,"('3', '7', '8', '12', '14', '16', '17', 'T')"
28,2,14,0.01548,0.11299,"('4', '7', '11', '12', '17')"
29,2,15,0.01688,0.91771,"('4', '8', '10', '14', '17')"
30,2,16,0.0,0.49145,"('3', '13', '15', 'T')"
31,2,17,0.01562,0.10069,"('1', '4', '5', '7', '9', '10', '12', '14')"
32,2,T,0.00084,0.60814,"('4', '9', '12', '14', '17')"
33,3,4,0.00697,0.19758,"('5', '14', '16')"
34,3,5,0.00099,0.36146,"('1', '4', '7', '10', '14', '16', 'T')"
35,3,6,1e-05,0.46345,"('16', 'T')"
36,3,7,0.0,0.47495,"('6', '10', '12', '15', '17')"
37,3,8,0.0,0.47445,"('2', '4', '5', '7', '9', '10', '13', '14', '16', 'T')"
38,3,9,0.02066,0.93441,"('13', '16', 'T')"
39,3,10,0.00106,0.32107,"('5', '14', '16', '17', 'T')"
40,3,11,0.0,0.46065,"('2', '4', '5', '8', '10', '12', '13', '16', 'T')"
41,3,12,0.0,0.46905,"('4', '5', '6', '7', '10', '13', '14', '16', '17')"
42,3,13,0.00292,0.69163,"('5', '7', '10', '16', 'T')"
43,3,14,0.00047,0.37826,"('1', '4', '5', '7', '12', '16', 'T')"
44,3,15,0.0,0.43276,"('2', '5', '6', '8', '10', '14', '16', 'T')"
45,3,16,0.13643,0.0011,"('4', '6', '10', '12', '14', 'T')"
46,3,17,0.0,0.49125,"('1', '5', '7', '8', '9', '16', 'T')"
47,3,T,0.00132,0.33937,"('5', '11', '16')"
48,4,5,0.02919,0.0419,"('2', '3', '8', '11', '14', '15', '16', '17')"
49,4,6,0.00068,0.37876,"('2', '16')"
50,4,7,0.0,0.49565,"('2', '3', '5', '6', '8', '9', '11', '15', '16', '17', 'T')"
51,4,8,0.00551,0.21688,"('1', '2', '3', '5', '9', '13', '16', '17')"
52,4,9,0.0,0.49375,"('1', '2', '3', '7', '10', '11', '12', '15', '16', '17', 'T')"
53,4,10,0.0,0.47215,"('1', '2', '6', '7', '11', '12', '13', '14', '15', '16')"
54,4,11,0.0,0.47705,"('1', '5', '6', '15', '16', 'T')"
55,4,12,0.0,0.48435,"('3', '5', '6', '7', '9', '14', '15', '16', '17')"
56,4,13,0.00039,0.40446,"('5', '6', '11', '12', '14', '15', '17')"
57,4,14,0.01708,0.09599,"('2', '3', '5', '7', '11', '12')"
58,4,15,0.00217,0.30617,"('5', '13', '16')"
59,4,16,0.0,0.47035,"('1', '2', '3', '5', '6', '12', '14', '15')"
60,4,17,0.00016,0.45005,"('2', '5', '10', '13', '14', '16')"
61,4,T,0.0207,0.93661,"('2', '5', '9', '12', '13', '16')"
62,5,6,0.00013,0.51515,"('1', '8', '9', '10', '14', '15', '17', 'T')"
63,5,7,0.0,0.48275,"('1', '2', '4', '6', '11', '14', '15', 'T')"
64,5,8,0.05813,0.01,"('1', '4', '7', '17', 'T')"
65,5,9,0.0,0.49025,"('2', '4', '7', '10', '15', '16', '17')"
66,5,10,0.0,0.47665,"('4', '7', '8', '11', '13', '17', 'T')"
67,5,11,0.0,0.47345,"('2', '3', '7', '8', '9', '10', '12', '13', '14', '17')"
68,5,12,0.00124,0.62444,"('13', '16')"
69,5,13,0.0,0.47225,"('2', '4', '7', '8', '9', '11', '14')"
70,5,14,0.0,0.47755,"('2', '3', '4', '7', '11', '17', 'T')"
71,5,15,0.0,0.45475,"('1', '2', '4', '7', '11', '12', '16', '17')"
72,5,16,0.00178,0.65793,"('6', '12', '13')"
73,5,17,0.00739,0.19478,"('1', '2', '4', '7', '8', '10', '12', '14', 'T')"
74,5,T,1e-05,0.46745,"('1', '3', '7', '11', '14')"
75,6,7,0.01636,0.10539,"('2', '13', '16', 'T')"
76,6,8,0.00267,0.68613,"('1', '5', '9', '10', '17')"
77,6,9,0.00345,0.71263,"('1', '2', '8', '10', '12', '14', '15', '17')"
78,6,10,0.00626,0.80102,"('17',)"
79,6,11,0.00109,0.31977,"('16', 'T')"
80,6,12,0.00031,0.53515,"('9', '14', '17')"
81,6,13,0.00095,0.31397,"('1', '2', '9', '10', 'T')"
82,6,14,0.00011,0.48875,"('2', '5', '9', '10', '11', '12', '17')"
83,6,15,0.00044,0.51465,"('2', '3', '14')"
84,6,16,0.04102,0.0334,"('3', '7', '11')"
85,6,17,0.00553,0.76262,"('2', '5', '9', '10', '12')"
86,6,T,0.00023,0.41506,"('11', '16')"
87,7,8,0.00365,0.26727,"('1', '2', '5', '6', '9', '13', '14', '17')"
88,7,9,0.00035,0.41246,"('1', '2', '6', '8', '12', '13', '14', '15', '17')"
89,7,10,0.00267,0.67313,"('1', '2', '6', '11', '12', '13', '14')"
90,7,11,0.0,0.47105,"('4', '6', '14', '16', '17', 'T')"
91,7,12,0.0,0.48105,"('2', '4', '6', '8', '10', '11', '13', '14', '16', '17', 'T')"
92,7,13,0.0,0.46155,"('1', '2', '5', '9', '14', '16', 'T')"
93,7,14,0.02529,0.06359,"('1', '2', '3', '4', '5', '6', '9', '11', '12', '13', '17')"
94,7,15,0.0,0.45385,"('1', '5', '9', '13', '14', '16')"
95,7,16,0.0,0.47255,"('1', '4', '6', '9', '10', '11', '12', '15')"
96,7,17,0.00081,0.37936,"('1', '2', '5', '12', '13', '14')"
97,7,T,0.0002,0.53425,"('1', '2', '4', '6', '9', '12', '13', '14')"
98,8,9,0.01109,0.14679,"('1', '2', '5', '7', '12', '17')"
99,8,10,0.00017,0.42556,"('1', '5', '17')"
100,8,11,0.00437,0.72873,"('2', '5', '9', '10', '13')"
101,8,12,0.0,0.47975,"('1', '3', '6', '9', '10', '11', '14', '17')"
102,8,13,0.0,0.45545,"('1', '2', '3', '9', '10', '14', '16')"
103,8,14,0.00204,0.65593,"('11',)"
104,8,15,0.01392,0.90041,"('1', '2', '5', '14', '17')"
105,8,16,1e-05,0.48585,"('6', '11', '12', '14', '15')"
106,8,17,0.02315,0.06329,"('1', '2', '5', '10', '12', '13', 'T')"
107,8,T,0.0,0.49025,"('1', '4', '5', '7', '9', '16')"
108,9,10,1e-05,0.45265,"('2', '8', '14', '15', '17')"
109,9,11,0.00015,0.53675,"('T',)"
110,9,12,0.0048,0.23368,"('2', '7', '14', '15', '16', '17')"
111,9,13,0.01191,0.87801,"('1', '2', '7', '10')"
112,9,14,0.0,0.47255,"('1', '2', '4', '7', '10', '15', '17', 'T')"
113,9,15,0.00216,0.29487,"('2', '3', '14', 'T')"
114,9,16,0.0,0.48895,"('3', '6', '11', 'T')"
115,9,17,0.00203,0.31367,"('1', '2', '5', '7', '8', '10', '12', '14', '15')"
116,9,T,0.01746,0.92201,"('3', '11')"
117,10,11,0.00854,0.85311,"('2', '3', '8', '9', '14', '17')"
118,10,12,0.00034,0.53685,"('13', '16', 'T')"
119,10,13,0.01512,0.9564,"('2', '3', '8', '9', '14', '16', 'T')"
120,10,14,0.0,0.42306,"('2', '4', '9', '11', '12', '13', '17')"
121,10,15,0.00046,0.50505,"('2', '3', '8', '14', '17')"
122,10,16,0.0,0.46635,"('3', '6', '7', '11', '15', 'T')"
123,10,17,0.11786,0.0009,"('3', '5', '8', '9', '14')"
124,10,T,0.00086,0.58824,"('2', '9', '12', '17')"
125,11,12,4e-05,0.48705,"('2', '9', '10', '13', '14', '16')"
126,11,13,0.00141,0.28737,"('2', '3', '9', '10')"
127,11,14,0.00459,0.21408,"('2', '7', '16', 'T')"
128,11,15,0.00257,0.24138,"('2', '3', '8', '10', '14')"
129,11,16,0.00026,0.40706,"('3', '6', '15', 'T')"
130,11,17,0.0,0.47705,"('4', '5', '7', '8', '9', '12', '14', '15', 'T')"
131,11,T,0.12599,0.001,"('2', '9', '10', '12', '13')"
132,12,13,0.00251,0.27427,"('11', '14', '16', '17')"
133,12,14,0.01225,0.13489,"('2', '4', '7', '9', '11', '16', '17')"
134,12,15,1e-05,0.43376,"('9', '13', '16')"
135,12,16,0.04148,0.0288,"('3', '6', '9', '14', '15', '17')"
136,12,17,0.00919,0.16278,"('2', '9', '10', '13', '14', '16')"
137,12,T,0.01246,0.87741,"('2', '4', '9', '14', '15', '16', '17')"
138,13,14,0.0,0.42696,"('1', '4', '7', '11', '12', '15', '17')"
139,13,15,2e-05,0.36776,"('2', '3', '8', '10', '14', 'T')"
140,13,16,0.00057,0.55914,"('1', '2', '3', '7', '10', '12', 'T')"
141,13,17,0.00782,0.17908,"('1',)"
142,13,T,0.00142,0.61234,"('1', '3', '7', '10', '11')"
143,14,15,0.00501,0.76012,"('2',)"
144,14,16,0.0,0.45455,"('1', '3', '5', '6', '9', '10', '11', '17', 'T')"
145,14,17,0.0,0.48795,"('1', '4', '5', '7', '9', '10', '11', '12', 'T')"
146,14,T,0.0,0.46735,"('2', '3', '5', '6', '7', '8', '11', '12', '13')"
147,15,16,0.02273,0.07459,"('4', '7', '12', '13')"
148,15,17,3e-05,0.50845,"('2', '5', '8', '10', '14')"
149,15,T,0.0,0.45305,"('2', '4', '7', '9', '11', '12', '14')"
150,16,17,0.00037,0.55894,"('2', '5', '9', '10', '13', 'T')"
151,16,T,0.0,0.47145,"('5', '8', '11', '14')"
152,17,T,0.0,0.48825,"('4', '8', '9', '10', '11', '14', '15')"
