,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0,0.45995,"('3', '4', '6', '8', '9', '12', '13', '14', '16')"
1,1,3,0.00614,0.0281,"('2', '10', '11', '13', '17', 'T')"
2,1,4,0.00156,0.15358,"('2', '3', '5', '6', '9', '10', '11', '17', 'T')"
3,1,5,0.0,0.46945,"('2', '8', '9', '12', '16', 'T')"
4,1,6,0.00132,0.16428,"('2', '3', '4', '10', '11', '13', '17')"
5,1,7,0.0,0.45685,"('4', '5', '11', '16', '17')"
6,1,8,0.01069,0.0108,"('3', '10', '11', '13', '17', 'T')"
7,1,9,0.0,0.48205,"('2', '3', '7', '10', '15', '16', '17')"
8,1,10,0.00054,0.24198,"('2', '3', '9', '14', '17', 'T')"
9,1,11,0.0,0.45945,"('4', '7', '12', '13', '14', '15', '16', '17')"
10,1,12,0.0,0.46245,"('2', '3', '4', '8', '9', '11', '14', '16', '17', 'T')"
11,1,13,0.0,0.43106,"('2', '5', '12', '15', '16', '17')"
12,1,14,0.0,0.44906,"('3', '9', '10', '11', '13', 'T')"
13,1,15,0.00116,0.81822,"('2', '4', '5', '8', '13', '16')"
14,1,16,0.00016,0.34127,"('3', '9', '11', '17')"
15,1,17,0.02939,0.0007,"('2', '3', '5', '7', '8', '9', '10', '12', '13', '16', 'T')"
16,1,T,0.0,0.45845,"('2', '4', '5', '6', '7', '8', '10', '11', '12', '14', '17')"
17,2,3,0.01186,0.0061,"('7', '10', '11', 'T')"
18,2,4,0.00121,0.18598,"('1', '5', '7', '9', '10', '11', 'T')"
19,2,5,0.00012,0.35726,"('3', '7', '9', '10', '11', 'T')"
20,2,6,0.00193,0.13149,"('1', '3', '7', '9', '10', '11', 'T')"
21,2,7,0.0558,0.0001,"('3', '9', '10', '11', '13', '14', '17', 'T')"
22,2,8,0.0,0.47355,"('3', '9', '10', '11', '13', '14', '17', 'T')"
23,2,9,0.00801,0.0149,"('3', '7', '10', '11', '17', 'T')"
24,2,10,0.01849,0.0035,"('3', '7', '9', '14', '17', 'T')"
25,2,11,0.00244,0.10859,"('3', '4', '5', '6', '7', '8', '9', '10', '12', '13', '14', '16', '17', 'T')"
26,2,12,0.0,0.46845,"('3', '7', '9', '10', '11', '15', '17', 'T')"
27,2,13,0.00044,0.68653,"('5', '9', '10', '15', '16')"
28,2,14,3e-05,0.40856,"('3', '5', '7', '9', '10', '11', '13', '17', 'T')"
29,2,15,0.00011,0.56984,"('1', '5', '10', '13', '16', 'T')"
30,2,16,0.0,0.47335,"('1', '6', '7', '8', '10', '13', '14', '15')"
31,2,17,0.00079,0.21518,"('1', '3', '7', '9', '10', '11', 'T')"
32,2,T,0.02509,0.0015,"('3', '7', '9', '10', '11')"
33,3,4,0.0,0.49535,"('1', '2', '9', '11', '13', 'T')"
34,3,5,0.0017,0.14069,"('2', '10', '11', '16', '17', 'T')"
35,3,6,0.00379,0.06139,"('1', '2', '10', '11', '13')"
36,3,7,0.00326,0.07469,"('1', '2', '9', '10', '11', '13', '14', '17', 'T')"
37,3,8,0.001,0.20328,"('1', '2', '10', '11', '13', '14', '17', 'T')"
38,3,9,0.0,0.49085,"('1', '2', '7', '10', '11', '13', '17', 'T')"
39,3,10,0.00036,0.29397,"('1', '2', '7', '9', '11', '14', '17', 'T')"
40,3,11,0.04354,0.0001,"('2', '5', '6', '7', '8', '9', '12', '13', '14', '15', '16', '17', 'T')"
41,3,12,0.00014,0.36156,"('2', '11', '15', '17', 'T')"
42,3,13,0.00121,0.17108,"('6', '7', '8', '11', '14', 'T')"
43,3,14,0.00167,0.13669,"('2', '7', '10', '11', '13', '15', '17', 'T')"
44,3,15,0.0,0.46125,"('7', '11', '12')"
45,3,16,0.0,0.47625,"('1', '5', '7', '9', '10', '11', '13')"
46,3,17,0.01534,0.003,"('1', '2', '7', '9', '10', '11')"
47,3,T,0.00677,0.023,"('1', '2', '7', '9', '10', '11', '13')"
48,4,5,0.00104,0.19538,"('1', '2', '3', '9', '10', '11', 'T')"
49,4,6,0.00696,0.0237,"('1', '2', '9', '10', '11', '13', 'T')"
50,4,7,0.00013,0.36836,"('1', '2', '5', '9', '10', '11', '13', '14', '17', 'T')"
51,4,8,0.0,0.48265,"('1', '9', '10', '11', '13', '14', 'T')"
52,4,9,0.01125,0.0055,"('1', '2', '5', '7', '10', '11', '17', 'T')"
53,4,10,0.00385,0.05979,"('1', '2', '5', '7', '9', '11', '14', 'T')"
54,4,11,0.00265,0.09279,"('1', '2', '3', '5', '6', '7', '8', '9', '10', '14', '16', '17', 'T')"
55,4,12,0.0,0.48515,"('5', '6', '7', '9', '10', '11', '13', '15', '16')"
