,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0,0.48825,"('4', '6', '7', '9', '11', '13', '14', 'T')"
1,1,3,0.0,0.48135,"('6', '10', '11', '16', 'T')"
2,1,4,0.00056,0.37446,"('2', '5', '7', '9', '13', '16')"
3,1,5,0.0,0.46745,"('2', '4', '11', '14', '15')"
4,1,6,0.0007,0.34627,"('2', '7', '13', '16', 'T')"
5,1,7,0.10472,0.0013,"('2', '4', '6', '8', '9', '11', '13', '14', '16', '17')"
6,1,8,0.03263,0.0195,"('5', '6', '7', '9', '13', '16', '17')"
7,1,9,0.0,0.48435,"('2', '3', '4', '6', '7', '8', '11', '12', '13', '14')"
8,1,10,0.0,0.45685,"('2', '6', '7', '8', '11', '13', '14', '16', '17')"
9,1,11,0.0,0.46275,"('4', '6', '7', '8', '9', '10', '14', '15', '16', '17', 'T')"
10,1,12,0.0,0.46565,"('2', '3', '4', '5', '6', '10', '13', '15', '17', 'T')"
11,1,13,0.03031,0.0272,"('4', '6', '7', '10')"
12,1,14,0.0,0.46545,"('2', '3', '5', '6', '7', '16', '17')"
13,1,15,0.0019,0.69153,"('5', '8', '10')"
14,1,16,0.00589,0.16238,"('3', '6', '7', '14')"
15,1,17,0.0,0.47755,"('3', '4', '6', '7', '8', '9', '10', '14', '16')"
16,1,T,0.0,0.46755,"('2', '5', '6', '11', '12', '13', '15')"
17,2,3,0.00429,0.79082,"('6', '13')"
18,2,4,0.00469,0.19518,"('1', '5', '7', '9', '10', '12', '13', '15', '16')"
19,2,5,0.0,0.48135,"('3', '6', '10', '11', '13')"
20,2,6,0.01476,0.07319,"('7', '12', '13', '14', 'T')"
21,2,7,0.02355,0.0331,"('1', '6', '9', '10', '14')"
22,2,8,0.0,0.47985,"('3', '4', '5', '6', '13', '14', '16', '17', 'T')"
23,2,9,0.00665,0.15468,"('1', '7', '10', '12', '13', '14', '17', 'T')"
24,2,10,0.02465,0.0379,"('4', '5', '6', '7', '9', '14', '17')"
25,2,11,0.0,0.47445,"('3', '6', '7', '12', '13', '16', 'T')"
26,2,12,0.00154,0.30177,"('1', '5', '6', '9', '10', 'T')"
27,2,13,0.0,0.46715,"('1', '6', '10', '11', '16')"
28,2,14,0.02532,0.0341,"('1', '5', '6', '7', '9', '17', 'T')"
29,2,15,0.0,0.45985,"('3', '4', '5', '6', '14', '16', 'T')"
30,2,16,0.0,0.45705,"('1', '4', '10', '13', '15')"
31,2,17,0.04221,0.0086,"('1', '7', '9', '10', '12', '14', '15', 'T')"
32,2,T,0.00038,0.38756,"('6', '9', '11', '12', '13', '14', '17')"
33,3,4,1e-05,0.46565,"('1', '5', '9', '10', '15', '16', 'T')"
34,3,5,0.00283,0.25637,"('4', '8', '10', '11', '12', '14', '15', '16')"
35,3,6,0.0,0.48395,"('2', '13')"
36,3,7,0.0,0.45795,"('4', '5', '10', 'T')"
37,3,8,0.0,0.48925,"('1', '9', '10', '11', '13', '14', '17', 'T')"
38,3,9,0.0,0.48525,"('1', '10', '11', '12', '14', '16')"
39,3,10,0.00321,0.24618,"('1', '4', '5', '9', '11', '14', '16', '17', 'T')"
40,3,11,0.0,0.46795,"('5', '10', '14', '16', 'T')"
41,3,12,0.0,0.48035,"('1', '6', '8', '9', '11', '13', '16', '17', 'T')"
42,3,13,0.00316,0.75322,"('5', '14', '16', 'T')"
43,3,14,4e-05,0.44806,"('1', '5', '9', '10', '16', 'T')"
44,3,15,0.00435,0.19868,"('11', '14', '16', 'T')"
45,3,16,0.04374,0.008,"('5', '10', '11', '14', '15', 'T')"
46,3,17,0.0,0.49065,"('1', '2', '5', '9', '11', '13', '14', '16')"
47,3,T,0.00016,0.41966,"('1', '5', '9', '11', '14', '16')"
48,4,5,0.00701,0.14879,"('2', '3', '8', '10', '11', '12', '13', '15', '16')"
49,4,6,0.0,0.47495,"('3', '5', '10', '12', '13')"
50,4,7,0.0,0.47415,"('1', '2', '5', '10', '11', '12', '15', '17', 'T')"
51,4,8,0.0,0.48715,"('1', '2', '5', '7', '9', '12', '15', 'T')"
52,4,9,0.00531,0.17978,"('1', '2', '5', '10', '12', '13', '16', 'T')"
53,4,10,0.00483,0.17958,"('2', '5', '9', '16')"
54,4,11,0.0,0.48145,"('2', '5', '7', '9', '10', '13', '15', '16', 'T')"
55,4,12,0.0,0.48125,"('5', '9', '10', '16')"
56,4,13,0.00166,0.28327,"('1', '2', '10')"
57,4,14,0.0,0.48025,"('1', '2', '5', '6', '7', '10', '15', '17', 'T')"
58,4,15,0.00423,0.19488,"('2', '13', '16')"
59,4,16,0.00947,0.12409,"('3', '5', '7', '9', '15')"
60,4,17,0.0,0.48205,"('1', '2', '5', '7', '8', '9', '10', '12', 'T')"
61,4,T,0.0,0.48665,"('2', '7')"
62,5,6,0.0,0.47745,"('2', '4', '13', '14', '16', '17')"
63,5,7,0.0,0.47455,"('6', '10', '15', '17')"
64,5,8,0.02686,0.029,"('1', '3', '4', '11', '12', '14')"
65,5,9,0.0,0.48035,"('1', '6', '11', '15', '17')"
66,5,10,0.0,0.46215,"('1', '2', '3', '4', '6', '7', '9', '12', '13', '14', '16')"
67,5,11,0.0018,0.28187,"('3', '4', '6', '7', '8', '12', '16', 'T')"
68,5,12,0.00048,0.36936,"('2', '3', '4', '6', '8', '11')"
69,5,13,7e-05,0.41666,"('4', '6', '7', '8', '10')"
70,5,14,0.0,0.47215,"('7', '8', '9', '10', '11', '12', '13', '15', '16', '17', 'T')"
71,5,15,0.00206,0.68903,"('13', '16', '17', 'T')"
72,5,16,0.0,0.46345,"('1', '2', '8', '10', '11', '12', '13', '14', '15', 'T')"
73,5,17,0.0,0.48285,"('7', '10', '13', '15', 'T')"
74,5,T,0.0,0.47725,"('1', '2', '4', '13', '14', '15', '17')"
75,6,7,0.11661,0.0008,"('1', '2', '11', '13', '14', 'T')"
76,6,8,0.0,0.47955,"('4', '7', '10', '11', '12', '13', '14', '17', 'T')"
77,6,9,0.0,0.47995,"('1', '3', '4', '7', '10', '11', '12', '15', '17', 'T')"
78,6,10,0.0,0.46435,"('1', '5', '7', '9', '11', '12', '14', '15', '16', '17')"
79,6,11,0.00239,0.25257,"('5', '7', '12', '14', '15', '16', 'T')"
80,6,12,0.02008,0.05059,"('1', '2', '5', '7', '9', 'T')"
81,6,13,0.0,0.45635,"('1', '7', '10')"
82,6,14,0.00444,0.19638,"('2', '7', 'T')"
83,6,15,0.02159,0.0475,"('2', '11', '13', '14', '16', 'T')"
84,6,16,0.0,0.47415,"('1', '2', '3', '5', '7', '11', '12', '13', '15', 'T')"
85,6,17,0.0,0.48765,"('1', '5', '7', '10', '11', '12', '14')"
86,6,T,0.03294,0.0211,"('2', '7', '11', '12', '13', '14', '16', '17')"
87,7,8,0.0,0.47705,"('1', '2', '6', '9', '12', '13', '16', '17', 'T')"
88,7,9,0.0218,0.0419,"('1', '2', '11', '12', '13', '14', '16', '17')"
89,7,10,0.01825,0.06979,"('2', '4', '6', '9', '11', '14', '17')"
90,7,11,0.0059,0.15808,"('1', '5', '6', '9', '10', '14', '16', 'T')"
91,7,12,0.0,0.47275,"('2', '8', '9', '10', '13', '14', '16', '17')"
92,7,13,0.00028,0.36726,"('1',)"
93,7,14,0.03528,0.024,"('1', '2', '5', '6', '9', '11', '16', '17')"
94,7,15,0.0,0.43406,"('1', '11', '13', '14')"
95,7,16,0.00069,0.33707,"('3', '6', '11', '14')"
96,7,17,0.00589,0.16618,"('1', '2', '6', '9', '10', '11', '14')"
97,7,T,0.0,0.47515,"('1', '2', '3', '6', '8', '9', '12', '13', '15', '16')"
98,8,9,0.01549,0.06559,"('1', '5', '7', '12', '17', 'T')"
99,8,10,0.00228,0.26287,"('1', '2', '5', '7', '9', '16', '17')"
100,8,11,0.0,0.47025,"('1', '2', '3', '4', '6', '9', '12', '13', '16', 'T')"
101,8,12,0.00439,0.20318,"('1', '5', '6', '9', '16', '17')"
102,8,13,0.0,0.46285,"('1', '3', '5', '6', '9', '10', '11', '12', '15', '16', '17', 'T')"
103,8,14,0.0,0.47155,"('1', '2', '4', '5', '6', '7', '9', '10', '11', '12', '16', '17', 'T')"
104,8,15,2e-05,0.43206,"('1', '5', '10', 'T')"
105,8,16,0.0,0.46625,"('1', '2', '3', '5', '7', '10', '12', '13', '14', 'T')"
106,8,17,0.05046,0.0059,"('1', '5', '7', '9', '10', '12', '14', 'T')"
107,8,T,0.0003,0.40446,"('1', '5', '6', '9', '11', '16', '17')"
108,9,10,0.0,0.48485,"('1', '2', '3', '7', '12', '14', '17', 'T')"
109,9,11,0.0,0.47575,"('2', '4', '5', '6', '7', '10', '16', '17', 'T')"
110,9,12,0.02609,0.031,"('1', '2', '4', '5', '6', '7', '8', '11', '14', '17', 'T')"
111,9,13,0.0,0.47155,"('2', '3', '4', '5', '7', '8', '12', '16', 'T')"
112,9,14,0.00073,0.35156,"('1', '2', '5', '7', '12', '16', '17', 'T')"
113,9,15,0.0,0.46835,"('3', '5', '8', '11', '12', '13', 'T')"
114,9,16,0.0,0.47715,"('1', '2', '3', '7', '8', '10', '11', '12', '15', '17', 'T')"
115,9,17,0.05639,0.0033,"('1', '2', '7', '10', '12', '14', 'T')"
116,9,T,0.00285,0.24968,"('1', '2', '3', '6', '11', '12', '13', '14', '17')"
117,10,11,1e-05,0.43926,"('2', '3', '4', '5', '6', '7', '16', '17', 'T')"
118,10,12,0.0,0.48125,"('5', '6', '11', '13', '16', '17', 'T')"
119,10,13,0.00017,0.35946,"('1', '2', '7')"
120,10,14,0.0,0.47265,"('1', '2', '5', '7', '16', '17', 'T')"
121,10,15,0.00062,0.52315,"('1',)"
122,10,16,0.0,0.46535,"('3', '4', '6', '7', '8', '9', '13', '14', '15', 'T')"
123,10,17,0.02579,0.0359,"('2', '3', '7', '9', '14')"
124,10,T,0.0,0.45265,"('1', '2', '4', '9', '13', '15')"
125,11,12,0.0,0.46895,"('4', '5', '6', '7', '8', '9', '13', '15', 'T')"
126,11,13,4e-05,0.48425,"('3', '5', '14', '16', 'T')"
127,11,14,0.0,0.47335,"('1', '2', '3', '5', '6', '7', '16', '17')"
128,11,15,0.00293,0.21898,"('3', '6', '16', 'T')"
129,11,16,0.00292,0.23778,"('3', '5', '7', '14', '15', 'T')"
130,11,17,0.0,0.48495,"('1', '5', '6', '7', '9', '12', '14', '15', '16')"
131,11,T,0.01314,0.09789,"('3', '5', '6', '9', '14', '16')"
132,12,13,0.0,0.45145,"('3', '14', '16')"
133,12,14,0.0,0.47025,"('1', '2', '4', '5', '9', '10', '13', '15', '16', '17', 'T')"
134,12,15,0.0,0.45475,"('1', '2', '9', '10', '14', '16', 'T')"
135,12,16,0.0,0.46785,"('3', '5', '6', '7', '11', '15', '17')"
136,12,17,0.00045,0.38256,"('1', '2', '5', '6', '9', '10', '14', 'T')"
137,12,T,4e-05,0.45545,"('2', '5', '6', '9', '11')"
138,13,14,0.00504,0.82032,"('3', '5', '11', '16', '17', 'T')"
139,13,15,0.0,0.41166,"('1', '2', '3', '4', '6', '7', '11', '14', '16', 'T')"
140,13,16,0.0,0.44646,"('3', '9', '11', '12', '14')"
141,13,17,0.0,0.47635,"('2', '3', '9', '10', '11', '14', '15', '16')"
142,13,T,1e-05,0.47225,"('3', '11', '14')"
143,14,15,0.0,0.43566,"('1', '2', '6', '9', '10', '11', '12', '16', '17', 'T')"
144,14,16,0.00132,0.30027,"('3', '7', 'T')"
145,14,17,0.07836,0.0025,"('1', '2', '5', '7', '9', '10', '15', 'T')"
146,14,T,0.00215,0.26697,"('2', '5', '6', '9', '11', '16', '17')"
147,15,16,0.00883,0.12759,"('3', '6', '11', '14')"
148,15,17,0.00059,0.34537,"('2', '3', '6', '11', '14', '16')"
149,15,T,0.0,0.44826,"('3', '4', '6', '7', '9', '10', '13')"
150,16,17,0.0,0.47305,"('1', '6')"
151,16,T,0.0,0.46305,"('2', '4', '7', '8', '17')"
152,17,T,0.00575,0.17788,"('2', '3', '6', '9', '11', '14')"
