,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.00062,0.18738,"('3', '7', '9', '10', '13', '17', 'T')"
1,1,3,0.00219,0.06779,"('2', '5', '10', '11', '13', '16', '17', 'T')"
2,1,4,0.00352,0.029,"('2', '3', '5', '6', '9', '10', '11', '13', '16', '17', 'T')"
3,1,5,0.0,0.46865,"('3', '14', '15', '17', 'T')"
4,1,6,0.00324,0.0455,"('2', '3', '4', '7', '8', '9', '11', '13', '14', '15', '16', '17', 'T')"
5,1,7,0.0,0.45745,"('2', '6', '11', '12', '13', '14', '17')"
6,1,8,0.00921,0.0054,"('2', '3', '9', '13', '17', 'T')"
7,1,9,0.00169,0.09139,"('2', '7', '10', '16', '17', 'T')"
8,1,10,0.00054,0.19728,"('2', '3', '4', '7', '9', '14', '17')"
9,1,11,0.0,0.45855,"('4', '5', '6', '10', '13', '16', '17', 'T')"
10,1,12,0.0,0.47435,"('2', '3', '9', '15', '16', '17')"
11,1,13,0.0,0.43476,"('5', '14', '16')"
12,1,14,0.0,0.45585,"('5', '7', '9', '11', '13', '16', '17', 'T')"
13,1,15,1e-05,0.39076,"('3', '6', '7', '11', '12', '14', '17', 'T')"
14,1,16,0.0,0.44466,"('2', '3', '4', '6', '8', '9', '10', '11', '12', '13', '17')"
15,1,17,0.03807,0.0001,"('2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16')"
16,1,T,0.0,0.46165,"('3', '4', '6', '8', '9', '12', '13', '15', '16', '17')"
17,2,3,0.00179,0.08719,"('7', '10', '11', '13', '14', '16', '17', 'T')"
18,2,4,0.00072,0.18248,"('1', '7', '9', '10', '11', '13', '16', 'T')"
19,2,5,0.0,0.47075,"('1', '3', '4', '7', '11', '12', '13', '15', '16', '17', 'T')"
20,2,6,0.00262,0.05709,"('1', '7', '9', '10', '11', '13', 'T')"
21,2,7,0.04701,0.0001,"('9', '10', '11', '13', '14', '17', 'T')"
22,2,8,0.0,0.46845,"('3', '5', '7', '9', '11', '13', '14', '16', '17')"
23,2,9,0.00664,0.0061,"('1', '7', '10', '11', '13', '17', 'T')"
