,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.00381,0.0001,"('3', '4', '5', '6', '7', '8', '9', '11', '12', '13', '15', '16', '17', 'T')"
1,1,3,0.00037,0.0416,"('2', '4', '5', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', 'T')"
2,1,4,0.00622,0.0001,"('2', '3', '5', '6', '7', '8', '9', '11', '12', '13', '14', '16', '17', 'T')"
3,1,5,6e-05,0.20228,"('2', '4', '7', '8', '11', '12', '13', '14', '16', 'T')"
4,1,6,0.00114,0.0044,"('2', '3', '4', '7', '8', '9', '10', '11', '12', '13', '14', '16', '17', 'T')"
5,1,7,0.0038,0.0002,"('2', '3', '4', '6', '8', '9', '11', '12', '13', '16', '17', 'T')"
6,1,8,0.01956,0.0001,"('2', '4', '5', '7', '11', '12', '13', '14', '16', '17', 'T')"
7,1,9,0.00073,0.0112,"('2', '3', '4', '7', '8', '10', '11', '12', '13', '14', '15', '16', '17', 'T')"
8,1,10,0.0,0.44006,"('2', '3', '4', '7', '9', '11', '12', '13', '16', '17', 'T')"
9,1,11,0.01004,0.0001,"('2', '3', '4', '6', '7', '8', '9', '12', '13', '14', '16', '17', 'T')"
10,1,12,0.00135,0.0021,"('2', '3', '4', '7', '8', '9', '11', '13', '16', '17', 'T')"
11,1,13,0.00842,0.0001,"('2', '3', '4', '7', '8', '9', '10', '11', '12', '14', '15', '16', '17', 'T')"
12,1,14,0.00032,0.05319,"('2', '3', '4', '5', '7', '8', '9', '11', '12', '13', '15', '16', '17', 'T')"
13,1,15,0.00055,0.0299,"('2', '3', '5', '7', '9', '11', '12', '13', '14', '17', 'T')"
14,1,16,0.00483,0.0001,"('2', '3', '4', '5', '6', '7', '8', '9', '11', '12', '13', '14', '17', 'T')"
15,1,17,0.00749,0.0001,"('2', '3', '4', '7', '8', '9', '10', '11', '12', '13', '14', '16', 'T')"
16,1,T,0.00163,0.0023,"('2', '3', '4', '7', '8', '11', '12', '13', '15', '16', '17')"
17,2,3,0.00279,0.0001,"('1', '4', '5', '6', '7', '9', '11', '12', '13', '15', '16', '17', 'T')"
18,2,4,0.01219,0.0001,"('1', '3', '5', '6', '7', '8', '9', '11', '12', '13', '14', '16', '17', 'T')"
19,2,5,0.00016,0.11269,"('1', '3', '4', '6', '7', '8', '9', '12', '13', '14', '16', 'T')"
20,2,6,0.00346,0.0002,"('1', '3', '4', '5', '7', '9', '11', '12', '13', '14', '16', '17', 'T')"
21,2,7,0.00258,0.0002,"('1', '3', '4', '5', '6', '9', '11', '12', '13', '16', '17', 'T')"
22,2,8,0.00356,0.0001,"('1', '4', '5', '7', '9', '11', '12', '13', '14', '16', '17', 'T')"
23,2,9,0.00242,0.0003,"('1', '3', '4', '5', '6', '7', '10', '11', '12', '13', '14', '16', '17', 'T')"
24,2,10,0.0,0.46635,"('4', '7', '12', '13', '15', '16', '17', 'T')"
25,2,11,0.00034,0.0496,"('1', '3', '4', '6', '7', '8', '9', '12', '13', '14', '15', '16', '17', 'T')"
26,2,12,0.0014,0.0019,"('1', '3', '4', '5', '6', '7', '8', '9', '11', '13', '15', '16', '17', 'T')"
