,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.00373,0.0226,"('3', '4', '5', '6', '7', '9', '10', '12', '13', '15', '17', 'T')"
1,1,3,0.00325,0.0219,"('2', '5', '10', '11', '12', '16', '17', 'T')"
2,1,4,0.00463,0.0109,"('2', '3', '5', '6', '9', '10', '17', 'T')"
3,1,5,7e-05,0.35056,"('2', '3', '4', '8', '12', '13', '17', 'T')"
4,1,6,0.00033,0.21058,"('2', '3', '4', '7', '9', '10', '16', '17', 'T')"
5,1,7,0.0,0.45955,"('2', '5', '9', '10', '17')"
6,1,8,0.00779,0.0026,"('2', '5', '10', '17', 'T')"
7,1,9,0.00039,0.21948,"('2', '7', '10', '17', 'T')"
8,1,10,0.0,0.45915,"('5', '6', '7', '9', '11', '12', '13', '14', '17')"
9,1,11,0.0,0.46045,"('2', '3', '4', '7', '8', '10', '12', '13', '14')"
10,1,12,0.00245,0.0371,"('2', '3', '5', '9', '16', '17', 'T')"
11,1,13,0.0,0.42906,"('2', '3', '4', '7', '8', '10', '12', '17', 'T')"
12,1,14,0.0,0.46135,"('5', '6', '7', '11', '12', '13')"
13,1,15,0.00013,0.27597,"('2', '3', '7', '9', '14', '16', '17', 'T')"
14,1,16,0.0,0.46445,"('8', '10', '11', '12', '17')"
15,1,17,0.04443,0.0001,"('2', '3', '4', '5', '7', '8', '9', '12', '13', '15', '16', 'T')"
16,1,T,0.00081,0.13529,"('2', '3', '7', '9', '12', '13', '15', '17')"
17,2,3,0.00126,0.09489,"('1', '5', '6', '7', '9', '10', '11', '12', '13', '14', '16', '17', 'T')"
18,2,4,0.00333,0.0193,"('1', '3', '5', '6', '7', '9', '10', '11', '14', '16', '17', 'T')"
19,2,5,0.00039,0.21128,"('1', '3', '4', '7', '9', '10', '12', '13', '17', 'T')"
20,2,6,0.02822,0.0001,"('1', '7', '9', '10', '16', 'T')"
21,2,7,0.04734,0.0001,"('6', '9', '10', '14', '16', '17', 'T')"
22,2,8,0.0,0.45875,"('3', '4', '6', '7', '9', '10', '11', '14', '16', '17', 'T')"
23,2,9,0.00888,0.0012,"('7', '10', 'T')"
24,2,10,0.01086,0.0022,"('4', '6', '7', '9', '12', '14', '16', '17', 'T')"
25,2,11,0.0,0.46935,"('4', '6', '7', '9', '10', '17', 'T')"
26,2,12,0.00027,0.24808,"('1', '3', '5', '6', '7', '9', '10', '11', '16', '17', 'T')"
27,2,13,0.00132,0.08949,"('7', '10', '12', 'T')"
28,2,14,0.0015,0.07879,"('3', '4', '5', '6', '7', '9', '10', '11', '13', '15', '16', '17', 'T')"
29,2,15,0.0009,0.12309,"('7', '9', '10', '14', '16', 'T')"
30,2,16,0.0004,0.20238,"('3', '6', '7', '9', '10', '12', '13', '15', '17', 'T')"
31,2,17,0.00583,0.0068,"('1', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', 'T')"
