,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.00028,0.60974,"('5', '16')"
1,1,3,0.0,0.46975,"('2', '4', '5', '7', '9', '12', '13', '14', '16')"
2,1,4,0.00013,0.38376,"('3', '8', '9', '11', '16', '17', 'T')"
3,1,5,0.0,0.48035,"('2', '3', '4', '6', '7', '8', '10', '11', '12', '13', '15', '16')"
4,1,6,0.00025,0.60104,"('2', '10', '13')"
5,1,7,0.0,0.47995,"('2', '5', '6', '10', '14', '15', '16')"
6,1,8,0.01802,0.0086,"('2', '11', '16', '17', 'T')"
7,1,9,0.0,0.46975,"('4', '5', '11', '12', '13', '14', '15', '16')"
8,1,10,0.0,0.46945,"('3', '6', '8', '15', 'T')"
9,1,11,0.00555,0.07019,"('T',)"
10,1,12,0.0,0.47375,"('5', '6', '9', '11', '14', '15')"
11,1,13,9e-05,0.53605,"('5', 'T')"
12,1,14,0.0,0.46885,"('5', '10', '11', '13', '16', 'T')"
13,1,15,0.0,0.45165,"('4', '8', '9', '10', '16', '17')"
14,1,16,0.00604,0.06269,"('3', '5', '7', '8', '9', '11', '12', '14', '17', 'T')"
15,1,17,0.01467,0.0114,"('3', '8', '10', '11', '16', 'T')"
16,1,T,0.02252,0.0082,"('3', '8', '11', '16', '17')"
17,2,3,0.00486,0.08779,"('6', '7', '10', '11', '12', '15', '17', 'T')"
18,2,4,0.0,0.49245,"('1', '5', '7', '10', '11', '13', '16', '17', 'T')"
19,2,5,0.0006,0.68073,"('3', '7', '9', '12', '13', '15')"
20,2,6,0.00065,0.28707,"('3', '10', '13', '15', 'T')"
21,2,7,0.00084,0.26897,"('3', '10', '12', '13', '15', 'T')"
22,2,8,0.00904,0.0351,"('3', '6', '7', '10', '12', '17', 'T')"
23,2,9,0.0,0.47295,"('4', '5', '6', '7', '10', '13', '16', '17', 'T')"
24,2,10,0.00145,0.21228,"('3', '5', '6', '7', '8', '11', '12', '13', '14', '15', '17', 'T')"
25,2,11,0.0,0.48215,"('3', '4', '5', '8', '9', '12', '15', '17')"
26,2,12,0.00103,0.24208,"('3', '7', '8', '10', '11', '16', '17', 'T')"
27,2,13,0.0,0.46465,"('3', '6', '7', '9', '10', '12', '14', '15', 'T')"
28,2,14,2e-05,0.44516,"('3', '5', '10', '13')"
29,2,15,0.00148,0.21118,"('1', '3', '6', '7', '10', '13')"
30,2,16,2e-05,0.51845,"('1', '5')"
31,2,17,0.00016,0.38706,"('3', '7', '8', '10', '11', '12', '14', '15', 'T')"
32,2,T,0.00066,0.27267,"('3', '7', '10', '11')"
33,3,4,0.03588,0.0004,"('1', '2', '6', '7', '9', '11', '12', '16', '17', 'T')"
34,3,5,0.0,0.48785,"('1', '2', '7', '9', '11', '12', '15', 'T')"
35,3,6,0.01518,0.0134,"('2', '4', '10', '11', '14', '15', 'T')"
36,3,7,0.00297,0.13179,"('2', '4', '9', '10', '11', '12', '13', '15', '16', '17', 'T')"
37,3,8,0.0,0.46835,"('1', '6', '7', '9', '12', '15', '16')"
38,3,9,0.0,0.47475,"('1', '4', '7', '10', '11', '14', '15', '16')"
39,3,10,0.0,0.47325,"('2', '5', '6', '7', '11', '12', '13', '14', '16', '17')"
40,3,11,0.02447,0.0033,"('1', '10', '12', '16', 'T')"
41,3,12,0.01509,0.0112,"('1', '2', '4', '7', '10', '11', '14', '16', '17', 'T')"
42,3,13,0.0,0.45605,"('2', '7', '9', '10', '12', '15', '17')"
43,3,14,0.00021,0.34567,"('1', '2', '5', '10', '11', '13', '16', 'T')"
44,3,15,0.01149,0.0304,"('1', '2', '6', '7', '13', '16', 'T')"
45,3,16,0.01874,0.0056,"('1', '4', '5', '7', '9', '10', '11', '12', '14', '15', '17', 'T')"
