,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.00035,0.33497,"('4', '5', '6', '7', '11', '13', '16', '17', 'T')"
1,1,3,0.00046,0.31837,"('9', '11', '15', '17')"
2,1,4,0.046,0.0001,"('2', '5', '6', '9', '11', '17')"
3,1,5,0.0,0.46615,"('2', '3', '10', '11', '14', '16', '17')"
4,1,6,0.00576,0.06879,"('2', '7', '10', '11', '14', 'T')"
5,1,7,0.00783,0.05059,"('5', '6', '9', '11', '17', 'T')"
6,1,8,0.0001,0.40026,"('4', '5', '6', '7', '9', '11', '12', '13', '14', '16', '17', 'T')"
7,1,9,0.00502,0.07989,"('2', '3', '4', '7', '11', '12', '14', 'T')"
8,1,10,0.0,0.46905,"('3', '8', '11', '13', '15', 'T')"
9,1,11,0.10255,0.0001,"('2', '4', '6', '7', '9', '12', '13', '14', '16', '17', 'T')"
10,1,12,0.0,0.46705,"('2', '3', '4', '5', '7', '9', '10', '11', '13', '17')"
11,1,13,0.04334,0.0003,"('2', '4', '6', '7', '11')"
12,1,14,0.00326,0.11849,"('6', '11', '15', '17')"
13,1,15,0.0,0.45835,"('3', '4', '5', '7', '10', '13', '16', '17')"
14,1,16,0.0013,0.21868,"('2', '4', '8', '11', '14')"
15,1,17,0.00662,0.05239,"('2', '3', '4', '6', '7', '8', '10', '11', '12', '13', '14', 'T')"
16,1,T,0.00058,0.28707,"('2', '4', '6', '7', '9', '11', '12', '13', '14', '17')"
17,2,3,0.00065,0.68283,"('5', '6', '7', '13', '16')"
18,2,4,0.00903,0.0314,"('5', '6', '7', '11', '16', '17', 'T')"
19,2,5,0.00443,0.09579,"('4', '7', '8', '11', '12', '13', '16')"
20,2,6,0.00043,0.31987,"('7', 'T')"
21,2,7,0.01457,0.0154,"('5', '6', '9', '11', '12', '15', '16', '17', 'T')"
22,2,8,0.0,0.47565,"('4', '7', '11', '13', '14', '15', '16', '17')"
23,2,9,0.0,0.47995,"('5', '7', '11', '12', 'T')"
24,2,10,0.00057,0.66973,"('4', '5', '9', '11', '16')"
25,2,11,0.00207,0.16948,"('1', '4', '5', '7', '12', '15', '16', '17', 'T')"
26,2,12,0.00062,0.28897,"('5', '7', '9', '11', '15', '16', '17', 'T')"
27,2,13,0.00281,0.14219,"('1', '4', '5', '6', '7', '16', 'T')"
28,2,14,0.0,0.46825,"('1', '3', '8', '9', '10', '11', '16')"
29,2,15,0.00064,0.28357,"('3', '5', '6', '7', '11', '14')"
30,2,16,0.00671,0.05929,"('1', '4', '5', '7', '8', '11', 'T')"
31,2,17,0.00699,0.05459,"('4', '5', '6', '7', '8', '11', '12', '13', '15', '16', 'T')"
32,2,T,0.00013,0.38266,"('5', '6', '7', '11', '12', '13', '16', '17')"
33,3,4,0.0,0.48565,"('1', '2', '5', '6', '7', '14', '15', '17')"
34,3,5,0.0009,0.71353,"('15', 'T')"
35,3,6,0.00377,0.89751,"('2', '5', '7', 'T')"
36,3,7,0.0,0.47255,"('2', '6', '10', '13', '14', '16', 'T')"
37,3,8,0.0,0.48565,"('2', '4', '9', '10', '13', '15', '17', 'T')"
38,3,9,0.0011,0.24108,"('1', '7', '11', '12', '15', '17', 'T')"
39,3,10,7e-05,0.41456,"('1', '12', '15', '17')"
40,3,11,0.0,0.47725,"('4', '5', '7', '15', '16', '17', 'T')"
41,3,12,0.0,0.48445,"('2', '5', '8', '13', 'T')"
42,3,13,0.00162,0.79032,"('2', '5', '6', '7')"
43,3,14,0.0,0.46845,"('6', 'T')"
44,3,15,0.02178,0.0046,"('1', '6', '7', '10', '11', '14', '17')"
45,3,16,0.0,0.48795,"('15', 'T')"
46,3,17,0.01106,0.0196,"('1', '8', '10', '11', '12', '15', 'T')"
47,3,T,0.0,0.48285,"('4', '5', '7', '10', '13', '14')"
48,4,5,0.00992,0.0283,"('1', '2', '7', '8', '11')"
49,4,6,0.0,0.48195,"('2', '5', '7', '11', '17')"
50,4,7,0.0,0.47565,"('1', '5', '6', '9', '17', 'T')"
51,4,8,0.00368,0.11189,"('1', '2', '5', '9', '11', '16', '17', 'T')"
52,4,9,0.00162,0.21158,"('1', '2', '5', '7', '8', '11', '12', 'T')"
53,4,10,0.00113,0.75062,"('2', '5', '11')"
54,4,11,0.00067,0.29557,"('1', 'T')"
55,4,12,0.0,0.48155,"('1', '3', '9', '10', '11', '14', '16', 'T')"
56,4,13,0.00574,0.06459,"('1',)"
57,4,14,0.0,0.48035,"('1', '3', '6', '7', '8', '9', '10', '12')"
58,4,15,0.0,0.49475,"('1', '5', '13', '16', 'T')"
59,4,16,0.00025,0.36476,"('1', '2', '5', '8', '11')"
60,4,17,0.00596,0.06369,"('1', '2', '5', '7', '8', '11', 'T')"
