,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.00144,0.11629,"('3', '4', '6', '7', '8', '9', '11', '12', '14', '16', '17')"
1,1,3,0.00015,0.33047,"('2', '4', '7', '10', '12', '13', '16', 'T')"
2,1,4,0.03745,0.0001,"('5', '7', '8', '10', '11', '13', '16', '17')"
3,1,5,0.00075,0.18158,"('4', '8', '9', '14', '15', '16')"
4,1,6,0.0,0.47115,"('2', '3', '4', '7', '8', '9', '10', '12', '15', 'T')"
5,1,7,0.00149,0.10889,"('2', '3', '4', '8', '9', '10', '11', '13', '16', '17', 'T')"
6,1,8,0.0424,0.0001,"('2', '4', '5', '10', '12', '16')"
7,1,9,0.0,0.48005,"('2', '4', '5', '7', '12', '13', '16')"
8,1,10,0.00039,0.25317,"('3', '4', '7', '8', '11', '13', '14', '16', '17')"
9,1,11,0.00018,0.30027,"('2', '3', '4', '6', '7', '8', '10', '12', '13', '15', 'T')"
10,1,12,0.0,0.48245,"('2', '3', '4', '7', '8', '9', '11', '13', '16', '17', 'T')"
11,1,13,0.00085,0.16348,"('2', '3', '4', '7', '10', '15', 'T')"
12,1,14,4e-05,0.56364,"('4', '12', '13', '16', 'T')"
13,1,15,9e-05,0.58804,"('4', '7', '8', '9', '16')"
14,1,16,0.01344,0.0003,"('2', '3', '4', '6', '7', '8', '9', '10', '12', '17', 'T')"
15,1,17,0.00066,0.20188,"('2', '3', '4', '7', '8', '9', '10', '11', '12', '13', '16')"
16,1,T,0.0,0.47605,"('2', '5', '8', '13', '14', '15', '16')"
17,2,3,0.00081,0.17378,"('1', '7', '11', '12', '13', '14', '16')"
18,2,4,0.0,0.47405,"('1', '3', '9', '10', '11', '17', 'T')"
19,2,5,0.0,0.49425,"('11', '13')"
20,2,6,0.00079,0.17558,"('1', '9', '11', '12', '15', '16')"
21,2,7,0.00064,0.19938,"('1', '3', '9', '11', '12', '14', '16', '17')"
22,2,8,0.00134,0.12479,"('1', '5', '7', '11', '12', '14', '16', '17')"
23,2,9,0.00135,0.11959,"('1', '7', '11', '12', '16')"
24,2,10,0.00028,0.69533,"('16', 'T')"
25,2,11,0.00567,0.0154,"('3', '6', '7', '8', '9', '10', '12', '14', '15', '17', 'T')"
26,2,12,0.00308,0.0434,"('1', '3', '6', '7', '8', '9', '11', '13', '16', '17')"
27,2,13,0.0,0.43516,"('1', '3', '7', '9', '11', '12', '14', '15')"
28,2,14,0.00037,0.25357,"('3', '5', '6', '7', '8', '9', '10', '11', '16', '17')"
