,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0,0.48785,"('3', '5', '9', '10', '11', '15', '16')"
1,1,3,0.0044,0.10899,"('2', '4', '6', '10', '12', '13', '14', '15', '16', '17')"
2,1,4,0.00294,0.15188,"('3', '6', '7', '8', '10', '11', '14', '15', '16', '17')"
3,1,5,0.0,0.48665,"('3', '4', '7', '10', '12', '16', '17')"
4,1,6,0.0,0.46605,"('2', '3', '4', '7', '11', '13', '15', '17')"
5,1,7,0.0,0.48335,"('2', '3', '4', '5', '9', '12', '13')"
6,1,8,0.02204,0.0068,"('3', '4', '5', '12', '13', '16', '17')"
7,1,9,4e-05,0.52785,"('3', '6', '8', '11', '15', 'T')"
8,1,10,0.00096,0.26417,"('3', '4', '13', '14', '16', '17')"
9,1,11,0.0,0.47915,"('3', '6', '7', '12', '13', '14', '15', '16', 'T')"
10,1,12,3e-05,0.43936,"('2', '3', '8', '9', '11', '13', '14', '15', '16', '17', 'T')"
11,1,13,0.0,0.47445,"('3', '6', '7', '8', '9', '10', '12', '16', '17', 'T')"
12,1,14,0.00154,0.21888,"('3', '4', '5', '10', '12', '16', '17')"
13,1,15,0.00136,0.23028,"('3', '4', '16')"
14,1,16,0.00667,0.06439,"('3', '5', '10', '12', '14', '15', '17')"
15,1,17,0.00556,0.08879,"('2', '3', '4', '7', '8', '9', '10', '11', '12', '13', '14', '16')"
16,1,T,0.0,0.48585,"('2', '4', '5', '8', '10', '13', '14')"
17,2,3,0.0119,0.0284,"('1', '6', '7', '10', '11', '12', '14', '15', '16', '17', 'T')"
18,2,4,0.00033,0.62054,"('10', '12', '13')"
19,2,5,0.0,0.47705,"('3', '6', '8', '9', '10', '11', '12', '14', '15')"
20,2,6,0.00185,0.21008,"('3', '7', '11', '15', '17')"
21,2,7,0.00012,0.41006,"('3', '6', '9', '10', '16', '17', 'T')"
22,2,8,0.0,0.50275,"('3', '6', '7', '10', '14', '15', '16', 'T')"
23,2,9,0.00104,0.26237,"('3', '7', '10', '12', '17')"
24,2,10,0.00156,0.22618,"('3', '9', '11', '14', '17')"
25,2,11,0.00044,0.33377,"('3', '5', '6', '10', '12', '14', '15', '17', 'T')"
26,2,12,0.0005,0.32957,"('3', '9', '11', '16', '17', 'T')"
27,2,13,0.00086,0.27867,"('3', '6', '7', '9', '10', '17', 'T')"
28,2,14,0.00053,0.31627,"('3', '5', '9', '10', '11', '12', '16', '17')"
29,2,15,0.00064,0.29727,"('3', '4', '11', '12', '16')"
30,2,16,0.0,0.48235,"('3', '7', '10', '12', '14')"
31,2,17,0.00778,0.05489,"('3', '7', '9', '10', '11', '12', '14', '16')"
32,2,T,0.00035,0.62064,"('1', '10', '14')"
33,3,4,0.00014,0.38136,"('1', '7', '10', '12', '14', '15', '16')"
34,3,5,0.0,0.48065,"('1', '6', '7', '12', '13', '14', '15', '16', '17')"
35,3,6,0.00841,0.05749,"('1', '2', '11', '16')"
36,3,7,0.0001,0.40546,"('1', '2', '4', '6', '10', '12', '13', '15', '16', '17', 'T')"
37,3,8,0.00012,0.56094,"('2', '6', '7', '10', '14', '15', '16', 'T')"
38,3,9,0.00021,0.57554,"('1', '6', '11', '15', '16', 'T')"
39,3,10,0.00757,0.06139,"('1', '2', '12', '13', '14', '16')"
40,3,11,0.0,0.47135,"('1', '10', '13')"
41,3,12,0.00972,0.0424,"('1', '2', '10', '11', '13', '14', '15', '16', '17', 'T')"
42,3,13,0.00051,0.63724,"('2', '4', '11', '14', '15', '16', 'T')"
43,3,14,0.00135,0.22388,"('1', '2', '10', '12', '16')"
44,3,15,0.00197,0.19418,"('1', '2', '4', '12', '16', 'T')"
45,3,16,0.01102,0.0314,"('1', '2', '10', '12', '14', 'T')"
46,3,17,0.0,0.48965,"('1', '2', '7', '10', '11', '12', '13', '14', '16')"
47,3,T,0.00033,0.34687,"('1', '2', '7', '11', '12', '16')"
48,4,5,0.0,0.47415,"('3', '6', '7', '8', '11', '12', '13', '15', '16')"
49,4,6,0.00105,0.25357,"('1', '3', '7', '11', '15', '17')"
50,4,7,0.00362,0.12969,"('1', '3', '11', '15', '16', '17')"
51,4,8,0.00926,0.0463,"('1', '5', '11', '15', '17')"
52,4,9,0.0,0.47585,"('1', '2', '7', '8', '10', '11', '15', 'T')"
53,4,10,0.0,0.47475,"('1', '2', '5', '7', '8', '15', '16', 'T')"
