,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.00115,0.85921,"('5', '9', '12', '13', '14', '17', 'T')"
1,1,3,0.00018,0.31247,"('4', '7', '8', '9', '11', '12', '14', '15', '16', '17', 'T')"
2,1,4,0.00564,0.0176,"('3', '5', '7', '8', '9', '11', '12', '13', '17')"
3,1,5,0.00039,0.24748,"('4', '8', '13', '14', '16')"
4,1,6,0.00069,0.18038,"('9', '11', '12', '13', '14', '16')"
5,1,7,0.00017,0.32427,"('2', '3', '4', '8', '9', '11', '12', '16', '17', 'T')"
6,1,8,0.02701,0.0002,"('4', '5', '10', '11', '12', '16')"
7,1,9,0.00158,0.10669,"('3', '4', '6', '7', '8', '11', '12', '13', '14', '15', '16', '17', 'T')"
8,1,10,0.0,0.45565,"('2', '3', '5', '7', '13', '15', '17')"
9,1,11,0.0013,0.12139,"('3', '4', '7', '8', '12', '16', '17', 'T')"
10,1,12,0.00578,0.0167,"('3', '4', '6', '7', '8', '9', '11', '16', '17', 'T')"
11,1,13,1e-05,0.50525,"('10', '12', '14', '16', 'T')"
12,1,14,0.001,0.14579,"('3', '5', '6', '7', '8', '9', '11', '15', '17', 'T')"
13,1,15,0.00049,0.74993,"('7', '8', '16')"
14,1,16,0.00996,0.0031,"('5', '7', '8', '9', '11', '12', '17')"
15,1,17,0.00261,0.06189,"('3', '4', '7', '8', '9', '10', '11', '12', '14', '16', 'T')"
16,1,T,6e-05,0.57054,"('2', '10', '13', '15')"
17,2,3,0.0,0.49005,"('4', '8', '9', '10', '11', '12', '13', '14', '15')"
18,2,4,0.00283,0.05369,"('3', '7', '8', '10', '11')"
19,2,5,0.0,0.48205,"('3', '6', '7', '10')"
20,2,6,0.00018,0.31417,"('7', '10', '12', '14')"
21,2,7,0.0046,0.0204,"('4', '9', '10', '12', '16')"
22,2,8,0.00159,0.11079,"('1', '4', '5', '7', '10', '12', '16')"
23,2,9,0.0,0.48885,"('1', '5', '11', '13', '14', '16')"
