,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.11156,0.0444,"('3', '4', '5', '7', '8', '12', '13', '14', '15', '16', '17')"
1,1,3,0.0,0.48215,"('2', '11', '12', '13', 'T')"
2,1,4,0.03763,0.16988,"('2', '3', '7', '13', '15', '17')"
3,1,5,0.0,0.50615,"('2', '11', '12', '13', '14', '15', '16', '17')"
4,1,6,0.0,0.46505,"('2', '8', '15', '16')"
5,1,7,0.0181,0.24338,"('2', '5', '14', '15')"
6,1,8,2e-05,0.47065,"('2', '11', '15')"
7,1,9,0.06401,0.89971,"('2', '5', '7', '10', '12')"
8,1,10,0.0,0.47535,"('5', '7', '8', '11', '12', '13', '14', '15', '17', 'T')"
9,1,11,0.00448,0.63104,"('2', '13', '15')"
10,1,12,0.0,0.49275,"('3', '5', '10', '11', '13', '15', '16', '17', 'T')"
11,1,13,0.0,0.45605,"('3', '4', '7', '8', '15', '16', '17')"
12,1,14,0.0,0.47675,"('2', '7', '10', '11', '16', '17', 'T')"
13,1,15,0.0,0.47175,"('2', '4', '8', '9', '10', '12', '13', '17', 'T')"
14,1,16,0.0,0.49025,"('5', '6', '7', '8', '9', '10', '13', '14', '15', 'T')"
15,1,17,0.06304,0.09649,"('2', '4', '12', '14', '15')"
16,1,T,0.00077,0.54185,"('2', '5', '14', '15')"
17,2,3,0.0,0.49695,"('4', '5', '9', '12', '13', '15', '16', 'T')"
18,2,4,0.00283,0.38946,"('1', '13', '14', '15')"
19,2,5,0.0,0.51455,"('3', '4', '7', '10', '13', '16')"
20,2,6,0.00585,0.63304,"('10', '11', 'T')"
21,2,7,0.0,0.48095,"('13', '14', '15')"
22,2,8,0.0,0.47925,"('1', '13', '14', '15', 'T')"
23,2,9,0.0,0.49475,"('1', '3', '4', '5', '6', '7', '10', '13', '16', '17', 'T')"
24,2,10,0.0,0.48195,"('1', '5', '7', '8', '9', '14', '15')"
25,2,11,0.00213,0.58634,"('T',)"
26,2,12,0.00297,0.36966,"('1', '13', '15')"
27,2,13,0.15545,0.0194,"('1', '3', '4', '5', '7', '12', '14', '15', '16')"
28,2,14,0.00034,0.44936,"('1', '4', '7', '9', '11', '15', '16')"
29,2,15,0.15012,0.0247,"('1', '13', '16')"
30,2,16,0.0,0.50205,"('1', '5', '6', '11', '12', '15', 'T')"
31,2,17,0.0,0.50365,"('4', '5', '12', '14', '15')"
32,2,T,0.01859,0.74483,"('1', '13', '14', '15', '16')"
33,3,4,0.04482,0.13759,"('1', '2', '10', '13', '15')"
34,3,5,0.0,0.48705,"('7', '10', '12', '13', '16', 'T')"
35,3,6,0.00329,0.38136,"('4', '7', '9', '10', '11', '13', '15', '16', 'T')"
36,3,7,0.0,0.50045,"('2', '4', '6', '9', '11', '12', '13', '15')"
37,3,8,0.0,0.47975,"('1', '5', '7', '10', '13', '16')"
38,3,9,0.01764,0.24988,"('2', '6', '15', '16', 'T')"
39,3,10,0.02938,0.19288,"('1', '13', '16', 'T')"
40,3,11,0.0,0.49295,"('4', '5', '6', '7', '8', '9', '15', '16', '17', 'T')"
41,3,12,0.0,0.48715,"('1', '10', '13', '15')"
42,3,13,0.01574,0.27097,"('2', '4', '5', '9', '10', '12', '16', 'T')"
43,3,14,0.0,0.50045,"('1', '10', '13', '15', '16')"
44,3,15,0.0,0.49005,"('1', '2', '4', '5', '7', '9', '12', 'T')"
45,3,16,0.01013,0.30657,"('1', '5', '10', '11', '13')"
46,3,17,0.0,0.48245,"('1', '5', '9', 'T')"
47,3,T,0.0,0.48255,"('10', '11', '12', '13', '15', '16')"
48,4,5,0.0,0.48355,"('1', '2', '6', '9', '12', '15')"
49,4,6,0.01845,0.24118,"('3', '11', '13', '14', '15')"
50,4,7,0.0,0.46885,"('2', '3', '6', '8', '9', '10', '11', '12', '15', 'T')"
51,4,8,0.0,0.48655,"('1', '7', '9', '11', '16', '17')"
52,4,9,0.0,0.48285,"('1', '2', '3', '5', '7', '10', '12', '15', '16', 'T')"
53,4,10,0.0,0.47345,"('1', '3', '5', '12', '13')"
54,4,11,0.0,0.49495,"('3', '7', '12', '15', '16', '17', 'T')"
55,4,12,0.0,0.48555,"('1', '2', '3', '6', '7', '13', '15', '16', '17', 'T')"
56,4,13,0.0,0.48305,"('2', '3', '5', '10', '11', '12', '14', '15')"
