,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0,0.46785,"('4', '5', '6', '7', '11', '13', '14', '16', '17', 'T')"
1,1,3,0.0,0.48615,"('4', '5', '7', '8', '11', '12', '14', '15')"
2,1,4,0.0,0.48935,"('5', '6', '7', '9', '14', '15')"
3,1,5,0.0,0.47125,"('2', '4', '6', '8', '10', '11', '12', '16', 'T')"
4,1,6,0.0,0.47935,"('2', '7', '10', '13', '16')"
5,1,7,0.0,0.49445,"('6', '10', '11', '14', '16')"
6,1,8,0.02256,0.18688,"('10', '11', '12', '14', '16')"
7,1,9,0.0,0.47555,"('2', '4', '5', '7', '10', '11', '16', 'T')"
8,1,10,0.0,0.48705,"('3', '6', '7', '8', '11', '12', '14', '17')"
9,1,11,0.00492,0.34087,"('2', '5', '8', '13', '14', '17', 'T')"
10,1,12,0.0,0.48975,"('3', '4', '6', '7', '8', '9', '11', '17')"
11,1,13,0.04591,0.10839,"('2', '6', '11', '12', '14')"
12,1,14,0.00703,0.30217,"('5', '7', '11', 'T')"
13,1,15,0.03365,0.88331,"('2', '5', '6', '17', 'T')"
14,1,16,1e-05,0.48155,"('2', '6', '11', 'T')"
15,1,17,0.0202,0.20038,"('10', '11', '12', '14', '16', 'T')"
16,1,T,0.0,0.46275,"('2', '4', '11', '13', '14', '15', '16', '17')"
17,2,3,0.00039,0.54415,"('10', '15', 'T')"
18,2,4,0.06396,0.07189,"('7', '11', '12', '14')"
19,2,5,0.0,0.49055,"('4', '7', '12', '13', '14', '16', 'T')"
20,2,6,0.0,0.47205,"('1', '4', '9', '11', '14', '16', 'T')"
21,2,7,0.0,0.49035,"('1', '4', '9', '10', '11', '12', '14', '15', '16')"
22,2,8,0.0,0.47735,"('3', '6', '9', '10', '13', '15', '17', 'T')"
23,2,9,0.0,0.46975,"('1', '3', '4', '6', '7', '8', '10', '11', '14', '15', '17', 'T')"
24,2,10,0.00023,0.50655,"('4', '11', '13', '14', '15', '16')"
25,2,11,0.0,0.48005,"('1', '3', '4', '9', '13', '14', '16', 'T')"
26,2,12,0.0,0.48955,"('1', '4', '6', '7', '9', '10', '13', '14', '15')"
27,2,13,0.00958,0.27667,"('1', '4', '5', '6', '11', '12', '14', '16')"
28,2,14,0.02371,0.17538,"('1', '5', '7', '11')"
29,2,15,0.0,0.47435,"('1', '4', '5', '6', '13', '16', '17')"
30,2,16,0.01948,0.20338,"('5', '6', '11')"
31,2,17,0.0,0.48625,"('4', '7', '8', '9', '10', '11', '12', '13')"
32,2,T,0.00192,0.58224,"('10', '11')"
33,3,4,0.0,0.50125,"('5', '10', '11', '13', '15', '17', 'T')"
34,3,5,0.0,0.49275,"('1', '2', '6', '7', '9', '10', '11', '13', '14', '15', '17', 'T')"
