,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0,0.47735,"('15', 'T')"
1,1,3,0.0,0.48705,"('2', '4', '6', '7', '9', '10', '11', '13', '14', '16', '17', 'T')"
2,1,4,0.0,0.48195,"('3', '5', '12', '14', '15', '17')"
3,1,5,0.0,0.46325,"('2', '10')"
4,1,6,0.0,0.47275,"('2', '10', '12', '15', 'T')"
5,1,7,0.0,0.44356,"('12', '13', '14', '17', 'T')"
6,1,8,0.0,0.45705,"('2', '5', '13', '14')"
7,1,9,0.0,0.46885,"('3', '4', '7', '8', '11', '12', '13', '17', 'T')"
8,1,10,0.0,0.45675,"('2', '7', '8', '9', '11', '13', '15', 'T')"
9,1,11,0.0,0.47795,"('2', '3', '4', '5', '7', '8', '12', '13', '15', '16')"
10,1,12,0.03238,0.15058,"('9', '10', '13', '15', 'T')"
11,1,13,0.09348,0.0415,"('15', 'T')"
12,1,14,0.0,0.47925,"('2', '4', '6', '7', '10', '12', '13', '16')"
13,1,15,0.01183,0.25167,"('13',)"
14,1,16,0.0,0.45645,"('3', '4', '6', '7', '8', '9', '12', '15', '17', 'T')"
15,1,17,0.00229,0.36176,"('7', '11', '12', '15', 'T')"
16,1,T,0.0,0.47095,"('7', '12', '15')"
17,2,3,0.03191,0.14849,"('5', '10', '11', '13')"
18,2,4,0.0,0.49175,"('3', '5', '6', '7', '9', '10', '11', '13')"
19,2,5,0.0008,0.41126,"('3', '7', '10', '14', '16')"
20,2,6,0.0,0.47145,"('7', '9', '10', '11', '13', '14')"
21,2,7,0.00017,0.42486,"('10', 'T')"
22,2,8,0.0,0.47565,"('4', '6', '7', '10', '13', '15')"
23,2,9,0.0,0.48395,"('3', '10', '11', '12', '13', '14', 'T')"
24,2,10,0.10619,0.0371,"('3', '7', '9', '11', '14')"
25,2,11,0.00295,0.37436,"('3', '9', '10', '14')"
26,2,12,0.0,0.48365,"('3', '10', '11', '13', '15')"
27,2,13,0.00201,0.59514,"('1', '15', '16')"
28,2,14,0.00621,0.31987,"('10', '11', '13')"
29,2,15,0.00692,0.67133,"('13',)"
30,2,16,0.0,0.49375,"('1', '5', '8')"
31,2,17,0.0,0.48605,"('3', '5', '6', '7', '8', '9', '11', '14')"
32,2,T,0.0,0.46995,"('8', '14', '16')"
33,3,4,0.0,0.49875,"('5', '6', '7', '9', '11', '12', '13', '15', '16')"
34,3,5,0.00845,0.28477,"('2', '4', '7', '11', '14', '16')"
35,3,6,0.01784,0.21448,"('1', '2', '4', '5', '10', '11', '12', '13', '14', '16', 'T')"
36,3,7,0.0,0.47205,"('2', '4', '5', '9', '10', '13', '14')"
37,3,8,0.0,0.47795,"('2', '5', '6', '10', '12', '15', '16', '17')"
38,3,9,3e-05,0.47305,"('2', '11', '12', '16')"
39,3,10,0.0,0.49625,"('2', '11', '12', '14', '15', '16')"
40,3,11,0.04522,0.10229,"('2', '5', '6', '9', '10', '12', '13', '14', '16', '17')"
41,3,12,0.00188,0.39506,"('1', '2', '9', '11')"
42,3,13,0.0,0.47435,"('2', '5', '7', '12', '14', '17')"
43,3,14,0.0,0.48625,"('1', '2', '9', '10', '11', '16')"
44,3,15,0.0,0.45055,"('7', '9', '10', '13', '16')"
45,3,16,0.00495,0.32417,"('5', '9', '13', '14')"
46,3,17,0.0,0.49175,"('1', '2', '10', '11', '12', '16')"
47,3,T,0.0,0.47635,"('2', '9', '13', '14', '15', '17')"
48,4,5,0.00675,0.30347,"('2', '3', '7', '9', '15', '16')"
49,4,6,0.09512,0.0328,"('1', '2', '3', '5', '9', '12', '13', '15', '17', 'T')"
50,4,7,0.0,0.49665,"('1', '2', '6', '11', '15')"
51,4,8,0.0,0.49865,"('1', '5', '6', '7', '10', '13', '15', 'T')"
52,4,9,0.02957,0.15718,"('2', '3', '5', '6', '10', '11', '12')"
53,4,10,0.0,0.49705,"('1', '2', '5', '6', '8', '11', '12', '14', 'T')"
54,4,11,0.0,0.50025,"('1', '2', '3', '5', '6', '7', '9', '10', '12', '13', '14', '15')"
55,4,12,1e-05,0.48385,"('1', '2', '5', '6', '9', '10', '11')"
56,4,13,0.0,0.49515,"('1', '5', '6', '7', '11', '12', '14', '16')"
57,4,14,0.00112,0.56104,"('7', '12', '15')"
58,4,15,0.0,0.47675,"('1', '6', '10', '12', '16', 'T')"
59,4,16,0.0,0.49155,"('2', '6', '7', '10', '12', '14', '15', '17', 'T')"
60,4,17,0.03902,0.12169,"('1', '5', '6', '7', '9', '10', '11')"
61,4,T,0.0,0.48585,"('1', '5', '6', '12', '13', '14', '15')"
62,5,6,0.0,0.48055,"('1', '2', '4', '9', '10', '15', 'T')"
63,5,7,0.00534,0.29787,"('2', '16', '17', 'T')"
64,5,8,0.0,0.46995,"('1', '10', '13', '15')"
65,5,9,0.0,0.48135,"('1', '3', '12', '13', '16')"
66,5,10,0.00033,0.50225,"('13', '16')"
67,5,11,0.0,0.49235,"('2', '3', '6', '7', '9', '10', '14', '17')"
68,5,12,0.0,0.47565,"('1', '2', '3', '6', '8', '14', '15', '17')"
69,5,13,0.00448,0.63834,"('15',)"
70,5,14,0.0,0.48225,"('2', '3', '7', '10', '11', '12', '13', '15', 'T')"
71,5,15,6e-05,0.49135,"('13',)"
72,5,16,0.0149,0.23368,"('3', '7', '14')"
73,5,17,0.0,0.44716,"('2', '3', '11', '15', 'T')"
74,5,T,0.0,0.44936,"('1', '6', '9', '10', '14', '16')"
75,6,7,0.00355,0.60904,"('12', '13', '15', '16')"
76,6,8,0.0,0.48385,"('10', '11', '12', '13', '15', '16')"
77,6,9,0.0,0.48555,"('3', '4', '7', '8', '10', '11')"
78,6,10,0.0,0.43596,"('1', '4', '17', 'T')"
79,6,11,0.0,0.47785,"('3', '4', '8', '12', '13', '14', '15', '16', '17')"
80,6,12,0.001,0.41496,"('1', '3', '9', '11', '15', 'T')"
81,6,13,0.0,0.46815,"('2', '10', '15', 'T')"
82,6,14,0.0,0.47695,"('1', '11', '12', '15', '17')"
83,6,15,0.05931,0.09039,"('1', '11', '13', '16', 'T')"
84,6,16,0.0,0.46715,"('2', '4', '5', '13', '14', '17', 'T')"
85,6,17,0.0,0.47445,"('1', '4', '5', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', 'T')"
86,6,T,0.0,0.45395,"('1', '2', '3', '4', '5', '8', '11', '12', '16')"
87,7,8,0.0,0.46215,"('5', '9', '11', '14', '16', '17')"
88,7,9,0.00223,0.57434,"('12', '14', '15', '16')"
89,7,10,0.0,0.46885,"('2', '12', '14', '16', '17', 'T')"
90,7,11,0.0,0.46935,"('3', '5', '6', '8', '9', '10', '13', '15', '16')"
91,7,12,0.0,0.48085,"('1', '2', '6', '9')"
92,7,13,0.0,0.46655,"('1', '6', '15', '16')"
93,7,14,0.0,0.49005,"('2', '9', '13', '15', '16')"
94,7,15,0.02367,0.82622,"('1', '6', '9', '13', '16')"
95,7,16,0.00197,0.56964,"('T',)"
96,7,17,0.01233,0.22578,"('10', 'T')"
97,7,T,0.04778,0.10899,"('1', '5', '10', '17')"
98,8,9,0.0,0.48385,"('10', '11', '12', '15')"
99,8,10,0.0,0.47815,"('1', '2', '3', '7', '11', '13', '16', '17')"
100,8,11,0.14555,0.0107,"('9', '10', '13', '14', '15', '16', '17', 'T')"
101,8,12,0.0,0.48155,"('1', '2', '9', '10', '14', '15', '16', '17')"
102,8,13,0.0,0.45355,"('6', '9', '12', '14', '15')"
103,8,14,0.01064,0.27637,"('11', '13')"
104,8,15,0.0,0.46265,"('1', '6', '10', '11', '13', '14', '16', 'T')"
105,8,16,0.00453,0.33877,"('3', '5', '9', '13', '14', '15')"
106,8,17,0.0,0.48215,"('7', '9', '10', '11', '14', '15', 'T')"
107,8,T,0.00054,0.43956,"('7', '11', '13', '15')"
108,9,10,0.00588,0.30637,"('2', '11', '12', '16')"
109,9,11,0.10155,0.0328,"('2', '3', '4', '5', '8', '10', '12', '16')"
110,9,12,0.07996,0.05599,"('1', '2', '11')"
111,9,13,0.0,0.44786,"('5', '10', '14')"
112,9,14,0.0,0.48165,"('3', '5', '7', '8', '11', '12', '15', '16', '17', 'T')"
113,9,15,0.0,0.45425,"('1', '2', '3', '7', '8', '10', '11', '13', '14')"
114,9,16,0.0,0.48235,"('3', '5', '10', '15')"
115,9,17,0.0,0.48695,"('2', '3', '4', '7', '11', '14', '15', '16', 'T')"
116,9,T,0.0,0.47575,"('1', '2', '3', '4', '5', '8', '10', '12', '13', '15', '17')"
117,10,11,0.1405,0.0106,"('2', '9', '12', '14', '16', '17')"
118,10,12,0.0,0.47345,"('1', '2', '9', '11', '14', 'T')"
119,10,13,0.00682,0.66123,"('2',)"
120,10,14,0.0,0.50215,"('2', '11', '16', 'T')"
121,10,15,0.0,0.45565,"('2', '5', '7', '12', '14', '16')"
122,10,16,0.0,0.47945,"('1', '3', '4', '11', '12', '13', '14', '15', '17', 'T')"
123,10,17,1e-05,0.47225,"('7', '9', '11')"
124,10,T,0.0,0.48445,"('3', '4', '5', '7', '8', '11', '14', '16', '17')"
125,11,12,0.00885,0.29447,"('1', '2', '3', '9', '10', 'T')"
126,11,13,0.0,0.48335,"('1', '2', '5', '7', '17')"
127,11,14,0.00207,0.39516,"('2', '3', '5', '8', '9', '10', '13')"
128,11,15,0.0,0.49125,"('1', '3', '5', '6', '7', '12', '17')"
129,11,16,0.0,0.48995,"('1', '2', '3', '5', '7', '8', '10', '14', '17', 'T')"
130,11,17,0.18931,0.0071,"('1', '2', '3', '4', '5', '7', '8', '9', '10', '12')"
131,11,T,0.0,0.46925,"('1', '2', '3', '4', '8', '9', '13', '14', '16')"
132,12,13,0.0,0.46665,"('2', '6', '7', '8', '10', '15', '16')"
133,12,14,0.00112,0.57684,"('1', '4', '7', '15')"
134,12,15,0.0,0.47455,"('1', '3', '5', '7', '10', '11', '13', '14', '16', '17', 'T')"
135,12,16,0.0419,0.88901,"('1', '2', '7', '10', '17', 'T')"
136,12,17,0.0,0.49675,"('1', '2', '4', '7', '9', '10', '11', 'T')"
137,12,T,0.0,0.48235,"('7', '9', '10', '15')"
138,13,14,0.0,0.46725,"('2', '3', '5', '7', '9', '15')"
139,13,15,0.38554,0.0001,"('1', 'T')"
140,13,16,0.0,0.45115,"('1', '2', '3', '5', '8', '14', '15', 'T')"
141,13,17,0.0,0.42906,"('2', '3', '5', '9', '11')"
142,13,T,0.0012,0.40256,"('1', '7', '15')"
143,14,15,0.00091,0.53785,"('2',)"
144,14,16,0.00013,0.45615,"('2', '3', '5', '8', '13')"
145,14,17,0.0,0.48625,"('2', '4', '5', '7', '8', '10', '12', '15', 'T')"
