,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.00388,0.76182,"('3', '6', '7', '8', '13', '14')"
1,1,3,0.00116,0.33127,"('4', '5', '6', '7', '13', '14', '17', 'T')"
2,1,4,0.00069,0.37906,"('3', '7', '10', 'T')"
3,1,5,0.0,0.47065,"('2', '6', '7', '8', '12', '13', '14', '17', 'T')"
4,1,6,0.0,0.46655,"('7', '8', '10', '12', '14')"
5,1,7,0.0551,0.0056,"('3', '4', '10', '12', '14', 'T')"
6,1,8,0.00061,0.37386,"('5', '7', '11', '14', '16', '17', 'T')"
7,1,9,0.0,0.47885,"('3', '7', '11', '14', '16')"
8,1,10,0.0,0.47055,"('2', '5', '6', '8', '12', '13', '15')"
9,1,11,0.0,0.47545,"('3', '4', '5', '7', '8', '10', '12', '13', '14', '15', '16', '17')"
10,1,12,0.0,0.47895,"('2', '4', '7', '8', '9', '17')"
11,1,13,0.0002,0.40736,"('7', '10', '12', 'T')"
12,1,14,0.0,0.47625,"('5', '7', '10', '16', 'T')"
13,1,15,0.0,0.45395,"('4', '5', '6', '7', '8', '10', '12', '13', 'T')"
14,1,16,0.0,0.49185,"('3', '4', '7', '10', '11', '12', '13', '15', 'T')"
15,1,17,0.00011,0.43456,"('7', '12', '16', 'T')"
16,1,T,0.01314,0.09209,"('3', '4', '5', '7', '11', '16', '17')"
17,2,3,0.0,0.48605,"('1', '4', '7', '8', '9', '10', '11', '13', '14', '16', '17')"
18,2,4,0.0,0.48535,"('3', '9', '10', '14', '15', '16', 'T')"
19,2,5,0.00626,0.18238,"('1', '11', '15', 'T')"
20,2,6,0.00042,0.58214,"('1', '5', '10', '12', '14', '15', '16')"
21,2,7,0.0,0.48755,"('1', '3', '5', '10', '12', '14', '15')"
22,2,8,0.00222,0.69693,"('6', '7', '9', '13', '15')"
23,2,9,0.01883,0.05569,"('10', '12', '15')"
24,2,10,0.0,0.48865,"('4', '7', '11', '12', '13', '15')"
25,2,11,0.0,0.47515,"('5', '12', '15')"
26,2,12,0.0,0.49095,"('1', '3', '4', '10', '11', '13', '15', '16', '17', 'T')"
27,2,13,0.0,0.47175,"('1', '3', '5', '6', '9', '10', '14', '15', '16', 'T')"
28,2,14,0.00047,0.59454,"('9', '12', 'T')"
29,2,15,0.07277,0.0029,"('5', '9', '11', '17', 'T')"
30,2,16,0.0,0.50055,"('1', '4', '6', '10', '14', '15', '17')"
31,2,17,0.00042,0.40436,"('1', '9', '10', '11', '12', '15', 'T')"
32,2,T,0.00227,0.27477,"('3', '5', '9', '11', '12', '15', '16', '17')"
33,3,4,0.03746,0.0159,"('1', '5', '6', '7', '10', '12', 'T')"
34,3,5,0.00473,0.21318,"('1', '2', '4', '11', '12', '14', '15', 'T')"
35,3,6,0.00556,0.18938,"('1', '10', '16')"
36,3,7,0.00045,0.39006,"('1', '4', '10', '12', '13', '14', 'T')"
37,3,8,0.0,0.48185,"('1', '2', '4', '6', '7', '9', '10', '12', '15', '17', 'T')"
38,3,9,0.00017,0.53505,"('13', '14', '16', 'T')"
39,3,10,0.0,0.47275,"('5', '13', '14', '15', '16', 'T')"
40,3,11,0.0,0.47635,"('1', '6', '8', '12', '15', '17', 'T')"
41,3,12,0.00091,0.35186,"('1', '4', '5', '13', '15', '17', 'T')"
42,3,13,0.00025,0.39776,"('1', '5', '7', '10', '12', 'T')"
43,3,14,0.0051,0.19678,"('1', '5', '7', '13', 'T')"
44,3,15,0.00734,0.15488,"('1', '2', '4', '5', '11', '12', '13', '14', '17', 'T')"
45,3,16,0.00525,0.78892,"('5', '6', '12', '13', 'T')"
46,3,17,0.01378,0.09109,"('1', '5', '12', '13', '14', '15', 'T')"
47,3,T,0.0495,0.0123,"('1', '4', '5', '6', '11', '12', '13', '15', '16', '17')"
48,4,5,0.0004,0.40266,"('1', '2', '3', '10', '11', 'T')"
49,4,6,0.0,0.49065,"('3', '9', '11', '12', '13', '16', 'T')"
50,4,7,0.00677,0.17278,"('1', '2', '3', '10')"
51,4,8,4e-05,0.51965,"('2', '3', '6', '7', '10', '13')"
52,4,9,0.00068,0.36756,"('2', '3', '7', '10', '12', '15')"
53,4,10,0.00504,0.20298,"('3', '7', '9', '12')"
54,4,11,0.00208,0.68553,"('7', '10')"
55,4,12,0.0,0.48855,"('1', '2', '3', '6', '7', '14', '15', '17')"
56,4,13,0.00171,0.66803,"('2', '3', '5', '6', '8', '9', '11', '16', 'T')"
57,4,14,0.0,0.47365,"('1', '7', '9', '10', '11', '15')"
58,4,15,0.0,0.46765,"('1', '2', '6', '9', '10', '11', '17')"
59,4,16,0.0,0.48925,"('3', '5', '6', '7', '9', '10', 'T')"
60,4,17,0.0,0.48765,"('2', '5', '7', '8', '9', '10', '11', '13', '14', '15', 'T')"
61,4,T,0.0,0.46985,"('1', '2', '3', '7', '9', '10', '11', '12', '16')"
62,5,6,0.00719,0.84142,"('1', '2', '8', '10', '11', '12', '14', '15')"
63,5,7,0.00391,0.76172,"('11', 'T')"
64,5,8,0.00857,0.15108,"('1', '11', '16', 'T')"
65,5,9,0.0,0.46905,"('1', '2', '11', '15')"
66,5,10,0.00045,0.58494,"('7', '16')"
67,5,11,0.0366,0.0187,"('1', '2', '12', '15', 'T')"
68,5,12,1e-05,0.46825,"('1', '2', '3', '9', '11', '14', '15', '17', 'T')"
69,5,13,0.0,0.46135,"('1', '2', '3', '6', '7', '12', '14', '15')"
70,5,14,0.00864,0.14049,"('2', '3', '7', '8', '11', '13', '15')"
71,5,15,0.0001,0.42366,"('1', '2', '11', 'T')"
72,5,16,6e-05,0.52425,"('2', '3', '9', '11', '12')"
73,5,17,0.0,0.48045,"('1', '2', '9', '13', '14', '16')"
74,5,T,0.0,0.46715,"('2', '3', '4', '8', '11', '12', '13', '15')"
75,6,7,0.0,0.47225,"('3', '9', '13', '15')"
76,6,8,0.01379,0.93341,"('1', '5', '10', '16', 'T')"
77,6,9,0.0,0.47025,"('1', '2', '3', '7', '10', '17')"
78,6,10,0.01405,0.92821,"('1', '2', '4', '5', '7', '8', '9', '12', '13', '14')"
79,6,11,0.00013,0.42236,"('1', '3', '15', '16', 'T')"
80,6,12,0.00086,0.60464,"('1', '2', '5', '8', '9', '10', '14', '15', '17', 'T')"
81,6,13,0.0,0.45165,"('7', '12', '14')"
82,6,14,0.00189,0.67483,"('1', '5', '10', '16')"
83,6,15,0.0,0.44106,"('3', '4', '8', '9', '12', '14', '16', 'T')"
84,6,16,0.0,0.48745,"('1', '2', '8', '10', '11', '14', '15', 'T')"
85,6,17,0.0,0.46615,"('1', '3', '4', '10', '11')"
86,6,T,0.0,0.44976,"('5', '7', '10', '11', '12', '13', '14', '17')"
87,7,8,0.00171,0.67253,"('5', '11', '16', 'T')"
88,7,9,0.00032,0.39856,"('1', '2', '10', '12', '14')"
89,7,10,0.01398,0.09049,"('1', '4', '9', '12', '13', '14')"
90,7,11,0.00893,0.87181,"('5', '16', 'T')"
91,7,12,3e-05,0.46185,"('1', '2', '3', '4', '9', '10', '13', '14', '17')"
92,7,13,0.00812,0.15158,"('1', '10')"
93,7,14,0.00102,0.32047,"('1', '3', '10', '13')"
94,7,15,0.0,0.45205,"('1', '5', '11', '13', '16', 'T')"
95,7,16,1e-05,0.50815,"('5', '8', '11', 'T')"
96,7,17,0.0,0.47135,"('2', '4', '6', '9', '11', '13', '14', '16')"
97,7,T,0.00197,0.67603,"('11',)"
98,8,9,0.0,0.47705,"('2', '6', '7', '15', 'T')"
99,8,10,0.0,0.46905,"('6', '12', '16', '17')"
100,8,11,0.00025,0.39346,"('1', '5', '16', 'T')"
101,8,12,0.0,0.47165,"('2', '3', '5', '6', '7', '9', '10', '11', '13', '17')"
102,8,13,0.00247,0.70033,"('16', 'T')"
103,8,14,0.00104,0.31837,"('1', '5', '16')"
104,8,15,0.0,0.44966,"('2', '3', '6', '7', '9', '13', '14')"
105,8,16,0.07913,0.0012,"('6', '7', '9', '13')"
106,8,17,0.05868,0.0054,"('1', '5', '12', '16', 'T')"
107,8,T,0.0,0.47415,"('1', '3', '5', '11', '16', '17')"
108,9,10,0.00724,0.15598,"('2', '7', '12', '17')"
109,9,11,0.0,0.45275,"('4', '6', '7', '10', '13', '14')"
110,9,12,0.01578,0.08059,"('2', '5', '7', '10', '15', '17')"
111,9,13,0.00016,0.51035,"('2', '4', '6', '11', '15', '16', 'T')"
112,9,14,3e-05,0.48115,"('2', '12', 'T')"
113,9,15,0.01446,0.08769,"('1', '2', '12')"
114,9,16,0.00755,0.84752,"('2', '5', '6', '7', '12')"
115,9,17,0.00995,0.12439,"('1', '2', '10', '12', '15')"
116,9,T,0.0,0.46225,"('3', '11', '13', '16')"
117,10,11,4e-05,0.50955,"('1', '5', '6', '15', '16', 'T')"
118,10,12,0.00102,0.33147,"('1', '7', '9', '17')"
119,10,13,0.03059,0.0321,"('1', '7', '12')"
120,10,14,0.0,0.46835,"('1', '2', '3', '6', '15', '16')"
121,10,15,0.0,0.44846,"('1', '2', '3', '5', '6', '8', '11', '14', '17', 'T')"
122,10,16,0.0,0.49705,"('1', '4', '8', 'T')"
123,10,17,0.01439,0.08939,"('1', '7', '9', '12', '16', 'T')"
124,10,T,0.0,0.46515,"('1', '3', '5', '6', '13', '16')"
125,11,12,0.00236,0.27617,"('1', '5', '13', '15', '16', '17', 'T')"
126,11,13,0.00973,0.89321,"('T',)"
127,11,14,0.0,0.45475,"('1', '4', '6', '8', '9', '10', '13', '17')"
128,11,15,0.03,0.0387,"('1', '2', '5', '12', '16', 'T')"
129,11,16,0.0,0.48575,"('5', '8', '10', '12', '15', 'T')"
130,11,17,0.0,0.48945,"('1', '2', '3', '5', '6', '10', '12', '14', '15', '16', 'T')"
131,11,T,0.04369,0.0174,"('1', '2', '3', '5', '12', '15', '16')"
132,12,13,0.02213,0.05219,"('1', '3', '7', '10', '17')"
133,12,14,0.00245,0.70163,"('T',)"
134,12,15,0.0,0.45715,"('1', '2', '3', '4', '5', '13', '14', '16', '17')"
135,12,16,0.00337,0.74523,"('3', '5', '7', '9', '13', 'T')"
136,12,17,0.19146,0.0002,"('1', '2', '3', '9', '10', '11', 'T')"
137,12,T,0.01044,0.12129,"('2', '3', '11', '17')"
138,13,14,9e-05,0.49365,"('12', 'T')"
139,13,15,0.0,0.41296,"('2', '4', '6', '9', '11', '16')"
140,13,16,0.00882,0.86771,"('2', '4', '6', '8', '11', '14', 'T')"
141,13,17,0.0,0.46615,"('3', '7', '12', '14', 'T')"
142,13,T,0.005,0.79442,"('11', '16')"
143,14,15,0.0,0.43106,"('3', '5', '6', '9', '13', '17', 'T')"
144,14,16,0.0,0.49195,"('2', '5', '8', '9', '11')"
145,14,17,0.0,0.46405,"('1', '2', '3', '8', '9', '13', '16', 'T')"
146,14,T,0.00553,0.81022,"('12', '16')"
147,15,16,0.0,0.47615,"('5', '6', '7', '8', '9', '10', 'T')"
148,15,17,0.00708,0.15308,"('1', '2', '3', '9', '10', '11', '12', '16', 'T')"
149,15,T,0.0,0.43596,"('1', '3', '7', '11', '13', '16', '17')"
150,16,17,0.0,0.48625,"('1', '2', '4', '7', '9', '14', '15', 'T')"
151,16,T,0.0,0.48615,"('8', '9', '11', '13', '14', '15', '17')"
152,17,T,0.0116,0.10329,"('1', '2', '3', '10', '11', '12', '16')"
