,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0006,0.40546,"('4', '7', '10', '13', 'T')"
1,1,3,0.0,0.49025,"('2', '10', '13', '17')"
2,1,4,0.0491,0.0439,"('5', '7', '11', '13', '14', '16')"
3,1,5,0.00748,0.22698,"('4', '8', '16', '17')"
4,1,6,6e-05,0.49435,"('4', '15', 'T')"
5,1,7,0.0,0.48915,"('6', '8', '10', '11', '13', '15', '16', '17')"
6,1,8,0.0,0.48645,"('4', '5', '10', '11', '15', '16', '17', 'T')"
7,1,9,0.00538,0.71173,"('5', '8', '13', '16', '17', 'T')"
8,1,10,0.00257,0.32387,"('2', '12', '14', '16', '17')"
9,1,11,0.0,0.49235,"('2', '3', '4', '7', '12', '15', '16', '17')"
10,1,12,0.0,0.48115,"('4', '5', '7', '10', '11', '13', '14', '16', 'T')"
11,1,13,0.0,0.44406,"('2', '6', '7', '11', '15', '16', 'T')"
12,1,14,0.00045,0.39136,"('2', '4', '5', '9', '10', '16', '17')"
13,1,15,0.00214,0.61434,"('T',)"
14,1,16,0.0,0.49625,"('2', '4', '5', '11', '13')"
15,1,17,0.13758,0.0048,"('5', '7', '10', '11', '12', '13', '14')"
16,1,T,0.00487,0.69813,"('4', '5', '6', '10', '14', '16', '17')"
17,2,3,0.00244,0.34817,"('1', '4', '6', '7', '11', '15', '16', 'T')"
18,2,4,0.0002,0.43346,"('1', '3', '7', '13', '16')"
19,2,5,0.00336,0.66873,"('6', '7', '9', '10', '11', '13', '15', 'T')"
20,2,6,0.02955,0.08619,"('1', '7', '13')"
21,2,7,9e-05,0.45835,"('6', '13', '15', 'T')"
22,2,8,0.00561,0.72023,"('5', '12')"
23,2,9,0.00014,0.45585,"('4', '7', '10', '13', '15')"
24,2,10,0.0,0.47975,"('1', '6', '7', '9', '13', '15', 'T')"
25,2,11,0.0,0.48245,"('4', '7', '9', '10', '12', '14', '15', '16')"
26,2,12,0.01477,0.83902,"('5', '8', '9', '14', '16', '17', 'T')"
27,2,13,0.00015,0.42906,"('4', '6', '10', '15')"
28,2,14,0.00283,0.64514,"('5', '9', '12', '16', '17')"
29,2,15,0.00757,0.22928,"('7', '13', 'T')"
30,2,16,0.0,0.49755,"('6', '9', '15')"
31,2,17,0.00264,0.63694,"('1', '12')"
32,2,T,0.0,0.48155,"('1', '3', '7', '13', '15')"
33,3,4,0.04629,0.0473,"('1', '2', '5', '7', '8', '9', '11', '12', '13', '14', '16', 'T')"
34,3,5,0.0,0.48845,"('2', '6', '7', '8', '9', '10', '13', '14', '15', '16', '17')"
35,3,6,0.0,0.48655,"('2', '4', '7', '8', '12', '13', '14', '16')"
36,3,7,0.0,0.48555,"('2', '4', '6', '10', '11', '15')"
37,3,8,0.01614,0.15448,"('4', '5', '11', '12', '16', 'T')"
38,3,9,0.0,0.49075,"('2', '4', '5', '7', '11', '13', '14', '16')"
39,3,10,0.00086,0.57814,"('4', '11', '16', 'T')"
40,3,11,0.01379,0.17128,"('4', '7', '16', 'T')"
41,3,12,0.03066,0.08559,"('4', '6', '7', '11', '13', '16', 'T')"
42,3,13,0.00188,0.34907,"('2', '4', '6', '11', '12', '14', '16', 'T')"
43,3,14,0.0,0.47585,"('1', '2', '6', '8', '9', '10', '13', '15', '16', '17', 'T')"
44,3,15,0.0,0.46275,"('1', '2', '4', '7', '9', '10', '13', '14', 'T')"
45,3,16,0.01619,0.15258,"('2', '4', '5', '11', '12')"
46,3,17,0.00141,0.59774,"('1', '10')"
47,3,T,0.00289,0.31547,"('2', '11', '12', '15', '16')"
48,4,5,0.02828,0.09199,"('1', '3', '8', '9', '14', '16')"
49,4,6,0.0,0.47225,"('10', '12', '13', '15', '17', 'T')"
50,4,7,0.0,0.47905,"('2', '3', '6', '9', '12', '13', '14', '15', '16', 'T')"
51,4,8,0.00032,0.43216,"('1', '3', '5', '11')"
52,4,9,0.00476,0.28657,"('1', '11', '14')"
53,4,10,0.01282,0.81442,"('3', '5', '11', '16', 'T')"
54,4,11,0.0122,0.19158,"('1', '3', '5', '7', '9', '13', '16', 'T')"
55,4,12,0.0,0.48045,"('2', '3', '5', '8', '11', '13', '17', 'T')"
56,4,13,0.00013,0.44176,"('1', '2', '3', '11', '12', '14')"
57,4,14,0.04363,0.05949,"('1', '5', '9', '12', '13', '16')"
58,4,15,0.0,0.45955,"('1', '2', '6', '7', '8', '9', '12')"
59,4,16,0.0,0.49145,"('2', '3', '5', '11', '13', '14', 'T')"
