,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.21987,0.0148,"('4', '7', '13', '17')"
1,1,3,0.0,0.48675,"('4', '6', '8', '10', '11', '12', '13')"
2,1,4,0.01724,0.25167,"('2', '7', '16')"
3,1,5,0.0,0.48425,"('2', '6', '8', '9', '12', '14', '16', '17')"
4,1,6,0.0,0.45915,"('9', '10', '13', '15', '17', 'T')"
5,1,7,0.03432,0.17028,"('2', '4', '11', '13', '16')"
6,1,8,0.01795,0.24108,"('2', '3', '4', '7', '13', '17', 'T')"
7,1,9,0.01058,0.68643,"('2', '4', '6', '13', '16', 'T')"
8,1,10,0.0,0.48525,"('2', '6', '8', '11', '13', '16', 'T')"
9,1,11,0.00015,0.47735,"('2', '3', '7', '10', '16')"
10,1,12,0.0,0.46525,"('4', '7', '9', '10', '14', '15', '16', 'T')"
11,1,13,0.01561,0.25647,"('2', '16')"
12,1,14,0.0,0.45915,"('11', '17')"
13,1,15,0.0,0.47585,"('9', '10', 'T')"
14,1,16,0.0,0.48495,"('4', '7', '10', '12', '17')"
15,1,17,0.0,0.51165,"('2', '6', '7', '8', '10', '11', '13')"
16,1,T,0.0,0.45505,"('2', '4', '7', '10', '12', '13', '16')"
17,2,3,0.0,0.46995,"('1', '11', '13', '16', 'T')"
18,2,4,0.0118,0.29447,"('1', '16')"
19,2,5,0.0,0.50265,"('1', '8', '9', '10', '12', '13', '14', '17')"
20,2,6,0.0,0.48965,"('1', '3', '7', '10', '12', '13', '16', '17')"
21,2,7,6e-05,0.45725,"('1', '4', '13', 'T')"
22,2,8,0.0,0.50085,"('1', '7', '13', 'T')"
23,2,9,0.00218,0.57054,"('1',)"
24,2,10,0.0,0.49045,"('1', '12', '13', '16', 'T')"
25,2,11,0.0,0.48645,"('1', '6', '7', '10', '15', '16', '17', 'T')"
26,2,12,0.00057,0.42606,"('1', '3', '4', '6', '11', '13', 'T')"
27,2,13,0.09848,0.05709,"('1', '16', 'T')"
28,2,14,0.0,0.47035,"('7', '10', '11', '12', '16', '17', 'T')"
29,2,15,0.0,0.45695,"('1', '16')"
30,2,16,0.0,0.49345,"('4', '6', '8', '11', '12', '13', '14')"
31,2,17,0.0106,0.30227,"('1', '6', '7', '8', '13', 'T')"
32,2,T,0.0,0.44646,"('1', '6', '7', '8', '9', '11', '12', '13', '14', '15', '17')"
33,3,4,0.0,0.48125,"('2', '6', '11', '13', '14', '16', 'T')"
34,3,5,0.0,0.45785,"('2', '6', '10', '11', '12', 'T')"
35,3,6,0.0,0.48145,"('12', '13', '17')"
36,3,7,0.0,0.47745,"('6', '9', '13', '15')"
37,3,8,0.00143,0.42386,"('7', '11', '12', '13', 'T')"
38,3,9,0.0,0.48345,"('2', '8', '11', '12', '13')"
39,3,10,0.0,0.48475,"('1', '2', '9', '11', 'T')"
40,3,11,0.05377,0.11579,"('1', '10', '12', 'T')"
41,3,12,0.10635,0.05449,"('2', '11', '13')"
42,3,13,0.06191,0.10459,"('1', '2', '11', '12', 'T')"
43,3,14,0.0,0.48385,"('2', '4', '7', '8', '9', '10', '12', '13', '15')"
44,3,15,0.0,0.47885,"('1', '2', '4', '5', '6', '7', '9', '10', '11', '13', '16', '17', 'T')"
45,3,16,0.0,0.50365,"('12', 'T')"
46,3,17,0.0,0.49015,"('1', '4', '8', '11', '13', '14', '15', '16', 'T')"
47,3,T,0.0,0.46755,"('1', '8', '12', '13', '16')"
48,4,5,0.00134,0.42286,"('1', '2', '7', '8', '10', '12', '14', '16')"
49,4,6,0.0,0.49175,"('1', '5', '7', '11', '14', '16', 'T')"
50,4,7,0.06235,0.10729,"('1', '2', '5', '10', '16')"
51,4,8,0.0,0.48995,"('1', '2', '5', '13', '16')"
52,4,9,0.0,0.48155,"('1', '3', '5', '6', '7', '8', '11', '12', '13', '16', '17', 'T')"
53,4,10,0.0199,0.23328,"('2', '7', '9', '11', '12', '16')"
54,4,11,0.0,0.48765,"('1', '2', '3', '5', '7', '10', '13', '14', '15', 'T')"
55,4,12,0.0,0.46715,"('2', '6', '8', '9', '13', '14', '16')"
56,4,13,0.0,0.45585,"('2', '3', '5', '7', '11', '12', '15')"
57,4,14,0.0,0.47165,"('2', '3', '5', '7', '9', '10', '11', '15', '16')"
58,4,15,0.0,0.44916,"('1', '2', '3', '5', '6', '7', '10', '14', '17')"
59,4,16,0.12308,0.0356,"('1', '2', '7', '10')"
60,4,17,0.0,0.50155,"('5', '8', '9', '13', '14', 'T')"
61,4,T,0.0,0.47255,"('7', '10', '12')"
62,5,6,0.0,0.49525,"('2', '8', '9', '11', '16')"
63,5,7,0.0,0.47545,"('1', '4', '9', '15', '16')"
64,5,8,0.07753,0.08079,"('1', '4', '7', '9', '13', '15', 'T')"
65,5,9,0.15021,0.0251,"('7', '10', '15')"
66,5,10,0.0,0.45935,"('6', '7', '9', '13', '17', 'T')"
67,5,11,0.0,0.49875,"('1', '2', '6', '8', '9', '12', '13', '14', '15', 'T')"
68,5,12,0.0,0.46875,"('2', '3', '8', '10', '13', '14', '17')"
69,5,13,0.0,0.47915,"('1', '6', '8', '9', '11', '17')"
70,5,14,0.01227,0.27147,"('9', '11', '12', '15', '16', 'T')"
71,5,15,0.0,0.47545,"('1', '3', '7', '8', '9', '10', '11', '13', '14', '17', 'T')"
72,5,16,0.0,0.46705,"('3', '4', '7', '8', '11', '12', '13', '14', '15', '17')"
73,5,17,0.0,0.49345,"('3', '4', '7', '8', '9', '11', '12', '14', '15', '16')"
74,5,T,0.0,0.48485,"('1', '2', '3', '7', '8', '9', '10', '13', '15', '17')"
75,6,7,0.00653,0.63614,"('1', '9', '10', '16')"
76,6,8,0.0,0.48235,"('1', '5', '7', '9', '11', '12', '16')"
77,6,9,0.02782,0.79912,"('5', '7', '10', '11')"
78,6,10,0.02278,0.77882,"('9', '11', '16')"
79,6,11,0.02909,0.80472,"('1', '3', '7', '9', '10', '15', '16')"
80,6,12,0.14087,0.0371,"('7', '10', '15')"
81,6,13,0.0,0.44796,"('1', '3', '12')"
82,6,14,0.0,0.47555,"('1', '12', '13', '15', 'T')"
83,6,15,0.0,0.45715,"('5', '7', '8', '9', '10', '13')"
84,6,16,0.0,0.47195,"('1', '2', '3', '4', '7', '8', '9', '10', '11', '12', '13', '14', 'T')"
85,6,17,0.07484,0.08289,"('1', '2', '10', '12', '16', 'T')"
86,6,T,0.0,0.45665,"('2', '4', '7', '10', '12', '16')"
87,7,8,0.0,0.46375,"('1', '2', '4', '5', '9', '10', '16', 'T')"
88,7,9,0.01412,0.26937,"('1', '5', '10')"
89,7,10,0.0,0.47745,"('1', '4', '9', '12', '13', '14', '15', 'T')"
90,7,11,0.0,0.50035,"('3', '4', '5', '6', '8', '9', '15', '17')"
91,7,12,0.0,0.46795,"('1', '2', '3', '6', '10', '11', '13', '14', '15', 'T')"
92,7,13,0.0,0.46835,"('1', '2', '3', '4', '15', '16', '17')"
93,7,14,0.0,0.47145,"('1', '3', '5', '6', '9', '10', '12', '15', '16')"
94,7,15,0.0,0.46335,"('2', '6', '8', '9', '10', '11', '12', 'T')"
95,7,16,0.00154,0.39226,"('1', '2', '4', '9', '14', '17')"
96,7,17,0.0,0.49915,"('2', '8', '9', '10', '13', '16')"
97,7,T,0.0,0.45605,"('4', '9', '10', '12')"
98,8,9,0.0,0.49315,"('2', '3', '5', '10', '12', '13', '15', '16')"
