,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.06612,0.05229,"('7', '13')"
1,1,3,0.00207,0.36966,"('2', '7', '11', '13', 'T')"
2,1,4,0.0,0.47685,"('2', '7', '11', '16', 'T')"
3,1,5,2e-05,0.45835,"('10', '15')"
4,1,6,0.0,0.45675,"('2', '3', '4', '11', '14', '15', '16', '17')"
5,1,7,0.22381,0.0013,"('2', '16')"
6,1,8,2e-05,0.48005,"('2', '7', '16')"
7,1,9,0.0,0.44896,"('2', '3', '4', '5', '6', '7', '10', '12', '14', 'T')"
8,1,10,0.0,0.46595,"('2', '3', '6', '7', '8', '9', '11', '12', '13', '14', '16')"
9,1,11,0.0,0.48525,"('3', '7', '10', '15', '16')"
10,1,12,0.0,0.45435,"('3', '5', '8', '9', '13', '15', '17')"
11,1,13,0.01211,0.22558,"('2', '3', '7', '16', 'T')"
12,1,14,0.0,0.44426,"('5', '7', '8', '11', '12', '13', '15', '16', '17')"
13,1,15,0.02301,0.85931,"('3', '4', '6', '7', '16')"
14,1,16,0.0,0.47445,"('2', '3', '4', '7', '10', '11', '17')"
15,1,17,0.00222,0.36906,"('2', '7', '13', '16')"
16,1,T,0.0,0.44596,"('4', '10', '11', '12', '16')"
17,2,3,9e-05,0.46185,"('1', '11', '12', '13', 'T')"
18,2,4,0.01013,0.24418,"('1', '5', '7', '12', '13', '16')"
19,2,5,0.0,0.47435,"('1', '3', '7', '9', '11', '12', '13', '15', '16', 'T')"
20,2,6,0.0,0.47265,"('1', '3', '5', '11', '12', '13', '14', '15', '17', 'T')"
21,2,7,0.01146,0.23078,"('1', '4', '9', '11', '12', '13', '16', '17', 'T')"
22,2,8,0.00112,0.40246,"('1', '3', '4', '5', '7', '12', '13', '15', '16', '17', 'T')"
23,2,9,0.0,0.48015,"('5', '6', '7', '12', '15', '17', 'T')"
24,2,10,0.0,0.47985,"('4', '6', '7', '9', '13', '14', '17', 'T')"
25,2,11,0.0,0.49485,"('3', '5', '6', '10', '12', '15', 'T')"
