,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.01076,0.0348,"('3', '4', '7', '8', '13', '16')"
1,1,3,0.00089,0.25387,"('2', '13', '16')"
2,1,4,0.00384,0.11479,"('2', '5', '7', '8', '9', '11', '13', '16', '17', 'T')"
3,1,5,0.0,0.44826,"('2', '3', '4', '6', '7', '10', '12', '13', '14', '15', '16', 'T')"
4,1,6,0.00019,0.56654,"('7', '13')"
5,1,7,0.02758,0.0041,"('2', '3', '4', '5', '8', '9', '13', '16', 'T')"
6,1,8,0.01444,0.0216,"('2', '3', '4', '5', '7', '9', '13', '16', '17', 'T')"
7,1,9,0.00014,0.38056,"('7',)"
8,1,10,0.00137,0.75282,"('4', '7', '11', '12', '16', 'T')"
9,1,11,0.0,0.44226,"('3', '4', '5', '7', '9', '10', '12', '13', '15', '16', '17')"
10,1,12,0.00387,0.90011,"('7', '10', '13', '14', '15', '16')"
11,1,13,0.00637,0.07269,"('2', '7', '16', 'T')"
12,1,14,0.0,0.45605,"('2', '3', '9', '11', '12', '17')"
13,1,15,0.0,0.43136,"('7', '9', 'T')"
14,1,16,0.00291,0.14649,"('2', '3', '4', '7', '13', '17', 'T')"
15,1,17,0.0,0.47305,"('2', '3', '4', '6', '7', '8', '10', '13', '16')"
16,1,T,0.0001,0.37016,"('3', '4', '7', '8', '11', '13', '15', '17')"
17,2,3,0.00388,0.11419,"('1', '7', '10', '12', '13', '15', '16')"
18,2,4,0.00201,0.19258,"('1', '5', '7', '8', '12', '13', '14', '15', '16', '17')"
19,2,5,1e-05,0.43506,"('1', '3', '4', '7', '8', '10', '12', '13', '15', '16')"
20,2,6,0.00117,0.23648,"('1', '10', '12', '16')"
21,2,7,0.01184,0.028,"('1', '3', '4', '5', '8', '9', '10', '12', '13', '16', '17')"
22,2,8,0.00889,0.042,"('1', '3', '4', '5', '7', '12', '13', '14', '15', '16', '17')"
23,2,9,0.0,0.47695,"('1', '12', '13', '15', '16')"
24,2,10,0.00059,0.28817,"('1', '3', '7', '13', '14', '15', '16', '17')"
25,2,11,0.00091,0.70733,"('1', '13', '14', '16')"
26,2,12,0.00205,0.18338,"('3', '4', '5', '6', '7', '13', '16', 'T')"
27,2,13,0.00043,0.29837,"('1', '7', '15', '16', 'T')"
28,2,14,0.0002,0.37046,"('1', '4', '7', '8', '9', '10', '12', '15', '16', '17')"
29,2,15,0.0057,0.07629,"('1', '3', '5', '7', '8', '10', '11', '13', '14', '16', 'T')"
30,2,16,0.00986,0.0332,"('1', '3', '4', '6', '7', '12', '13', '14', '15', '17')"
31,2,17,0.00011,0.39796,"('1', '3', '4', '6', '7', '8', '10', '12', '13', '14', '15', '16')"
32,2,T,0.00013,0.55314,"('11',)"
33,3,4,0.00099,0.71823,"('14', 'T')"
34,3,5,0.0,0.46715,"('1', '2', '7', '8', '11', '14', '15', '16', '17', 'T')"
35,3,6,0.00033,0.62344,"('1', '7', '9', '10', '13', '15')"
36,3,7,0.0,0.48335,"('1', '2', '5', '9', '10', '12', '13', '17', 'T')"
37,3,8,1e-05,0.46255,"('1', '2', '5', '9', '10', '12', '13', '15', '17', 'T')"
38,3,9,0.00148,0.21938,"('1', '2', '7', '10', '13')"
39,3,10,0.00254,0.15488,"('2', '9', '13', '15', '17')"
40,3,11,0.00028,0.34567,"('1', '9', '10', '12', '15', '16', 'T')"
41,3,12,0.00102,0.26087,"('2', '5', '6', '7', '8', '10', '11', '13', 'T')"
42,3,13,0.0,0.47845,"('2', '9', '12', '14', '16', '17')"
43,3,14,0.0018,0.79142,"('10', '12', '13')"
44,3,15,0.00028,0.34427,"('2', '10', '13', 'T')"
45,3,16,0.00075,0.28577,"('1', '2', '10', '12', '13', '15', '17')"
46,3,17,0.00335,0.12599,"('1', '2', '6', '7', '8', '9', '10', '12', '13', '15', '16', 'T')"
47,3,T,0.00024,0.35716,"('1', '2', '7', '10', '11', '12', '13', '15', '17')"
48,4,5,0.02923,0.0032,"('1', '2', '7', '8', '9', '11', '12', '13', '14', '15', '16', '17')"
49,4,6,0.00029,0.60914,"('1', '3', '5', '7', '8', '9', '14', '15')"
50,4,7,0.0,0.47615,"('1', '2', '5', '10', '16', '17')"
51,4,8,0.02143,0.0064,"('1', '2', '5', '9', '12', '13', '14', '15', '17', 'T')"
52,4,9,0.00283,0.15258,"('1', '5', '7', '8', '10', '11', '14', '16')"
53,4,10,0.0001,0.54955,"('1', '12', '16')"
54,4,11,0.00391,0.11609,"('1', '5', '9', '12', '15', '16', 'T')"
55,4,12,0.00173,0.20098,"('2', '5', '6', '7', '8', '11', '13', '16', 'T')"
56,4,13,0.0,0.44786,"('2', '3', '6', '9', '10', '12', '14', '16')"
57,4,14,0.00422,0.10749,"('1', '2', '5', '8', '9', '15', '16', '17')"
58,4,15,0.0,0.46295,"('2', '5', '11', '12', '13', '16', '17')"
59,4,16,0.00186,0.19878,"('1', '2', '5', '11', '12', '14', '17')"
60,4,17,0.02996,0.0015,"('1', '2', '5', '7', '8', '11', '14', '16', 'T')"
61,4,T,0.0,0.46875,"('1', '5', '7', '8', '11', '12', '13', '15', '17')"
62,5,6,0.00058,0.65863,"('3', '4', '7', '8', '9', '13', '15')"
63,5,7,0.01557,0.0162,"('1', '2', '4', '8', '9', '10', '11', '13', 'T')"
64,5,8,0.0407,0.0016,"('1', '2', '4', '7', '9', '12', '13', '15', 'T')"
65,5,9,0.00021,0.36586,"('4', '7', '8', '10', '11', '13', '14')"
66,5,10,0.0,0.45135,"('1', '2', '8', '11', '12', '13', '14', '17', 'T')"
67,5,11,0.00179,0.18208,"('4', '7', '9', '12', '15', '16', 'T')"
68,5,12,0.00058,0.29217,"('2', '3', '4', '6', '7', '8', '11', '13', 'T')"
69,5,13,0.0,0.44166,"('1', '4', '10', '12', '14', '16', '17', 'T')"
