,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0274,0.89211,"('9', '11', '13')"
1,1,3,0.0,0.48485,"('11', '12', '13')"
2,1,4,0.01702,0.17038,"('11', '13', 'T')"
3,1,5,0.00056,0.55274,"('11', 'T')"
4,1,6,0.0,0.44426,"('2', '3', '5', '7', '13', '15', '16', 'T')"
5,1,7,0.01671,0.82802,"('2', '5', '6', '10')"
6,1,8,0.0,0.50465,"('3', '6', '7', '9', '10', '11', '12', '14', '17', 'T')"
7,1,9,0.00775,0.25407,"('11', '12', '13', '17', 'T')"
8,1,10,1e-05,0.47695,"('2', '6', '7')"
9,1,11,0.03719,0.08579,"('3', '4', '9', '12')"
10,1,12,0.03496,0.09469,"('3', '5', '9', '11', '14', 'T')"
11,1,13,0.00092,0.39496,"('4', '9', '11')"
12,1,14,0.00012,0.43826,"('4', '8', '9', '11', '12', 'T')"
13,1,15,0.0,0.45425,"('3', '6', '9', '11', '13', 'T')"
14,1,16,0.0,0.48035,"('3', '5', '6', '10', '12', '13', '17')"
15,1,17,0.0,0.49125,"('3', '5', '8', '9', '12', '13')"
16,1,T,0.02481,0.13109,"('3', '4', '9', '11', '12', '13', '14', '17')"
17,2,3,0.0,0.48775,"('1', '7', '9', '10', '14', 'T')"
18,2,4,0.00062,0.42076,"('5', '6', '11', '16', 'T')"
19,2,5,0.04739,0.06499,"('7', '10', '16')"
20,2,6,0.0178,0.16328,"('4', '5', '7', '8', '10', '16')"
21,2,7,0.00275,0.34987,"('5', '6')"
22,2,8,0.00206,0.36356,"('5', '6', '11', '16')"
23,2,9,0.04816,0.9542,"('1', '3', '7', '13')"
24,2,10,0.0,0.48595,"('1', '3', '4', '8', '11', '12', '13', '14', '15', '16', '17')"
25,2,11,0.0,0.50475,"('1', '3', '4', '8', '9', '12', '13')"
26,2,12,0.0,0.47375,"('3', '5', '6', '7', '8', '11', '13', '14', '15', '16', '17', 'T')"
27,2,13,0.0121,0.79062,"('5', '6', '12', '16')"
28,2,14,0.0,0.44966,"('1', '5', '6', '9', '11', '13', '15', '17', 'T')"
29,2,15,0.0,0.45985,"('5', '6', '7', '16', '17')"
30,2,16,0.01982,0.14979,"('4', '5', '8', '15', 'T')"
31,2,17,0.00038,0.43586,"('4', '5', '8', '12', '15', 'T')"
32,2,T,0.0,0.46795,"('3', '4', '5', '7', '8', '10', '13', '17')"
33,3,4,0.0,0.49075,"('1', '11', '13', '14', '16', '17', 'T')"
34,3,5,0.00211,0.62714,"('11', 'T')"
35,3,6,0.02776,0.89301,"('12', '13', 'T')"
36,3,7,9e-05,0.52665,"('5', '6')"
37,3,8,0.0,0.49635,"('1', '2', '10', '15', '16', '17')"
38,3,9,0.00449,0.31297,"('11', '12', '13', '17', 'T')"
39,3,10,0.0,0.49335,"('1', '2', 'T')"
