,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0,0.48555,"('8', '11', '13', '14', '16', '17')"
1,1,3,0.0,0.48245,"('5', '7', '9', '10', '12', '13', '15', '16')"
2,1,4,0.00629,0.27307,"('5', '8', '9', '16')"
3,1,5,0.04126,0.09509,"('2', '4', '7', '16')"
4,1,6,0.0,0.45145,"('2', '3', '7', '9', '11', '13', '14', '16', '17')"
5,1,7,0.0,0.47475,"('8', '9', '13', '14', '15', '16', '17')"
6,1,8,0.01003,0.25007,"('2', '4', '5', '6', '7', '13', '16', '17')"
7,1,9,0.00011,0.45315,"('5', '10', '16', 'T')"
8,1,10,0.0,0.44806,"('2', '5', '6', '7', '9', '13', '17', 'T')"
9,1,11,0.0,0.48425,"('3', '10', '14', 'T')"
10,1,12,0.0,0.48215,"('2', '4', '5', '10', '13', '16')"
11,1,13,0.0,0.47075,"('2', '4', '5', '9', '12', '16')"
12,1,14,0.01999,0.83222,"('5', '6', '8', '9', '10', '13', '15', 'T')"
13,1,15,0.0,0.45065,"('5', '7', '11', '12', '17', 'T')"
14,1,16,0.0104,0.24158,"('2', '4', '5', '10', '11', '15')"
15,1,17,0.00329,0.34277,"('2', '5', '8', '9', '10', '11', '13', '15', '16', 'T')"
16,1,T,0.0,0.45825,"('4', '5', '7', '10', '16')"
17,2,3,0.0085,0.73023,"('5', '14', '16')"
18,2,4,0.0,0.49815,"('1', '3', '5', '7', '8', '9', '10', '12', '13', '15')"
19,2,5,0.00023,0.45565,"('1', '6', '16', 'T')"
20,2,6,0.02957,0.13759,"('5', '8', '12', '14', '16', 'T')"
21,2,7,0.0,0.48405,"('1', '5', '6', '9', '10', '17', 'T')"
22,2,8,0.00122,0.40566,"('5', '6', '11', '17')"
23,2,9,0.0,0.49425,"('1', '3', '4', '5', '11', '12', '13', '15', '16')"
24,2,10,0.01589,0.79962,"('5', '6', '11', '14', '15', '16')"
25,2,11,0.0,0.50395,"('5', '14', '16', '17', 'T')"
26,2,12,0.0,0.49165,"('1', '6', '13', '15', '16')"
27,2,13,0.00821,0.72623,"('1', '4', '5', '6', '9', '11', '12', '14', '15', '16', 'T')"
28,2,14,0.00808,0.27247,"('5', '7', '11', '12', '16', '17')"
29,2,15,0.0,0.49605,"('4', '11', '12', '17')"
30,2,16,0.00179,0.38676,"('1', '6', '11', '14', '15', 'T')"
31,2,17,0.00651,0.28837,"('1', '5', '8', '9', '11', '12', '14', '16', 'T')"
32,2,T,0.0,0.49475,"('3', '5', '6', '8', '9', '11', '14', '15', '17')"
33,3,4,0.01626,0.19538,"('5', '8', '11', '16', 'T')"
34,3,5,0.0,0.48625,"('1', '4', '7', '10', '14', '16', 'T')"
35,3,6,0.02473,0.15348,"('5', '7', '8', '12', '13', 'T')"
36,3,7,0.00616,0.30207,"('4', '5', '6', '8', '9', '10', '11', '12', '14', '16', 'T')"
37,3,8,0.03738,0.10299,"('1', '4', '6', '7', '11', 'T')"
38,3,9,0.00154,0.59104,"('1', '10', '14', '16')"
39,3,10,0.0,0.45565,"('2', '9', '16')"
40,3,11,0.00789,0.27407,"('4', '7', '8', '13', '14', '16', '17', 'T')"
41,3,12,0.0,0.47295,"('10', '11', '13', '14', '15', '16', 'T')"
42,3,13,0.0,0.47545,"('2', '4', '5', '8', '9', '10', '11', '14', '16')"
43,3,14,0.00142,0.57144,"('1', '6', '8', '10', '13', 'T')"
44,3,15,0.0,0.46375,"('5', '6', '11', '13', '16')"
