,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0,0.49005,"('5', '7', '8', '9', '14', '16')"
1,1,3,0.0,0.50275,"('2', '7', '10', '11', '14', '16', 'T')"
2,1,4,0.13843,0.9796,"('14',)"
3,1,5,0.0,0.49535,"('2', '4', '6', '9', '10', '12', '13', '16')"
4,1,6,3e-05,0.49075,"('3', '5', '14')"
5,1,7,0.0,0.47465,"('3', '12', '14', '17')"
6,1,8,0.02248,0.22828,"('2', '3', '4', '6', '10', '13', 'T')"
7,1,9,0.0,0.47755,"('2', '3', '8', '10', '15', '16')"
8,1,10,0.0,0.48215,"('2', '4', '5', '6', '11')"
9,1,11,0.00105,0.42516,"('3', '14', 'T')"
10,1,12,0.01716,0.74073,"('4', '5', '6', '13', '17')"
11,1,13,0.01687,0.73063,"('3', '6', '8', '9', '10', '11', '14', '16', '17', 'T')"
12,1,14,0.11822,0.0393,"('4', 'T')"
13,1,15,0.0,0.47145,"('2', '3', '4', '6', '7', '9', '10', '11', '12', '13', '16')"
14,1,16,0.0,0.48025,"('3', '7', '8', '14', '17')"
15,1,17,0.0,0.49065,"('7', '11', '14', '16')"
16,1,T,0.0,0.49995,"('3', '4', '5', '7', '11', '13', '16')"
17,2,3,0.15171,0.0246,"('T',)"
18,2,4,0.0,0.47745,"('1', '3', '6', '10', '13', '14', '15', '16', 'T')"
19,2,5,0.0,0.51845,"('1', '4', '6', '10', '11', '12', '13', '14', '15', '16')"
20,2,6,0.0,0.46825,"('3', '7', '10', '11', '14', '16')"
21,2,7,0.0,0.46105,"('3', '4', '5', '9', '11', '13', '14', '15', '16', '17')"
22,2,8,0.00032,0.51645,"('3', '10', '13', '14', '15', 'T')"
23,2,9,0.0,0.49495,"('3', '5', '11', '14', 'T')"
24,2,10,0.02138,0.23468,"('3', '13', 'T')"
25,2,11,0.0,0.50375,"('1', '3', '10', '16')"
26,2,12,0.00122,0.55294,"('1', '3', '9', '10', '13', '14', '15', 'T')"
27,2,13,0.0,0.46915,"('5', '7', '9', '11', '15', 'T')"
28,2,14,0.0,0.48105,"('1', '3', '10', '13', 'T')"
29,2,15,0.00243,0.39566,"('3', '4', '5', '9', '14', '17', 'T')"
30,2,16,0.0006,0.52715,"('10', '11', '13', '15', 'T')"
31,2,17,0.0,0.48185,"('3', '11', '14')"
32,2,T,0.03801,0.14319,"('3', '5', '10', '11')"
33,3,4,0.0,0.49305,"('2', '7', '11', '15')"
34,3,5,0.0,0.49435,"('1', '8', '13', '16')"
35,3,6,0.0321,0.81802,"('2', '5', '7', '14', 'T')"
36,3,7,0.00793,0.32927,"('1', '2', '4', '11', '13', '17', 'T')"
37,3,8,0.0,0.50725,"('2', '7', '11', 'T')"
38,3,9,0.0,0.49355,"('1', '5', '10', '11', '12', '13', '17', 'T')"
39,3,10,0.0,0.50215,"('2', '7', '11', '14', '17', 'T')"
40,3,11,0.02788,0.19848,"('T',)"
41,3,12,0.0,0.47945,"('5', '10', '13', '14', '15', '17', 'T')"
42,3,13,0.06747,0.91321,"('1', '10', 'T')"
43,3,14,0.0,0.48715,"('4', '5', '6', '7', '8', '10')"
44,3,15,0.0,0.48165,"('4', '8', '9', '14', '16', '17')"
45,3,16,0.0,0.48565,"('4', '7', '9', '10', '11', '12', '14', '15')"
