,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0,0.46015,"('3', '7', '9', '10', 'T')"
1,1,3,0.00696,0.30987,"('2', '5', '7', '12', '16')"
2,1,4,0.0,0.49335,"('2', '5', '6', '9', '13', '17', 'T')"
3,1,5,0.0,0.48955,"('2', '3', '7', '10', '17', 'T')"
4,1,6,0.01137,0.73493,"('2', '5', '10', '12', '13', '15')"
5,1,7,0.0,0.46765,"('4', '8', '10', '11', '13', '17', 'T')"
6,1,8,0.01896,0.16978,"('2', '5', '9', '10', '14', '15', '16', '17')"
7,1,9,0.0,0.47365,"('2', '5', '7', '8', '10', '11', '13', '14', '16', '17', 'T')"
8,1,10,0.00465,0.29377,"('2', '3', '5', '7', '14', '15', '16', '17', 'T')"
9,1,11,0.0,0.46495,"('4', '6', '7', '9', '16', 'T')"
10,1,12,0.0,0.47115,"('2', '5', '7', '9', '11', '15', '16', '17')"
11,1,13,0.00905,0.69573,"('2', '8', '9', '10', '12', '15', '16', 'T')"
12,1,14,0.0,0.48975,"('2', '3', '4', '8', '11', '12', '16', '17', 'T')"
13,1,15,0.01154,0.22058,"('9', '12')"
14,1,16,0.0033,0.33137,"('2', '6', '8', '9', '12', '17', 'T')"
15,1,17,0.0042,0.34197,"('2', '3', '5', '8', '9', '10', '12', '13', '15', '16')"
16,1,T,0.0,0.45005,"('2', '4', '5', '8', '12', '17')"
17,2,3,0.08391,0.0379,"('7', '13')"
18,2,4,0.0,0.47115,"('1', '3', '5', '9', '10', '13', '14', 'T')"
19,2,5,0.0,0.44356,"('1', '3', '4', '7', '9', '10', '11', '12', '13', '16', 'T')"
20,2,6,0.0,0.43186,"('1', '7', '8', '9', '10', '13', '16', '17', 'T')"
21,2,7,0.00393,0.30497,"('3', '5', '10', '11', '14', 'T')"
22,2,8,0.0,0.43496,"('5', '6', '7', '11', '13', '15')"
23,2,9,0.0,0.47495,"('3', '5', '11', '14')"
24,2,10,0.0,0.45175,"('1', '3', '5', '7', '11', '13', '14')"
25,2,11,0.00781,0.25407,"('3', '5', '7', '10', '13', '14', '16', 'T')"
26,2,12,0.0,0.46605,"('1', '4', '7', '9', '13', '15')"
27,2,13,0.0,0.41606,"('3', '5', '6', '7', '10', '12', 'T')"
28,2,14,0.00246,0.32057,"('1', '3', '4', '7', '11', '12', '13', '16')"
29,2,15,0.0,0.41706,"('3', '4', '5', '7', '8', '10', '11', '12', '13', '14', '16')"
30,2,16,0.0,0.44606,"('1', '5', '8', '9', '15', 'T')"
31,2,17,0.0,0.44126,"('4', '6', '7', '9', '10', '12', '13', '15', '16', 'T')"
32,2,T,0.0,0.46985,"('1', '3', '5', '7', '10', '11', '13', '14', '16')"
33,3,4,0.0,0.50655,"('1', '2', '5', '7', '10', '11', '14', '15')"
34,3,5,0.0036,0.33747,"('7', '10', '13')"
35,3,6,0.0,0.46275,"('2', '4', '5', '7', '11', '16')"
36,3,7,0.09497,0.0218,"('2', '5', 'T')"
37,3,8,0.0,0.46255,"('2', '6', '9', '10', '11', '15', 'T')"
38,3,9,0.0,0.50095,"('2', '4', '5', '7', '10', '12', '13', '15')"
39,3,10,0.0,0.48785,"('2', '5', '7', '13', '15')"
40,3,11,0.0,0.49225,"('1', '7', '10', '13')"
41,3,12,0.00316,0.34537,"('1', '2', '7', '11', '14', '15')"
42,3,13,0.00597,0.24958,"('2', '5', '6', '7')"
43,3,14,0.0,0.46945,"('1', '2', '5', '6', '7', '11', '13', '17', 'T')"
44,3,15,0.0,0.44026,"('4', '6', '7', '8', '11', '12', '13', 'T')"
45,3,16,0.0,0.46265,"('4', '5', '13', '15', 'T')"
46,3,17,0.0,0.47605,"('1', '5', '7', '9', '10', '11', '14', '15', '16', 'T')"
47,3,T,0.02258,0.16278,"('7', '13')"
48,4,5,0.0,0.48265,"('6', '7', '8', '9', '12', '13', 'T')"
49,4,6,0.0,0.47475,"('2', '7', '9', '14')"
50,4,7,0.09543,0.0263,"('3', '9', '10', '11', '14', 'T')"
51,4,8,0.0,0.48975,"('1', '2', '3', '5', '7', '9', '11', '16', '17', 'T')"
52,4,9,0.00027,0.44596,"('7', '10', '14', '16', 'T')"
53,4,10,0.01848,0.18998,"('5', '7', '14', 'T')"
54,4,11,0.0001,0.46465,"('7', '10', '13', '14', '16', 'T')"
55,4,12,0.0,0.48725,"('7', '13')"
56,4,13,0.0,0.43106,"('2', '3', '5', '6', '11', '15')"
57,4,14,0.16093,0.011,"('2', '7', '9', '10', '11', '12')"
58,4,15,0.0,0.45555,"('5', '6', '7', '8', '12', '16', 'T')"
59,4,16,0.0,0.47605,"('3', '5', '7', '9', '13', '15', 'T')"
60,4,17,0.0,0.48825,"('3', '8', '9', '11', '14', '15', 'T')"
61,4,T,0.00083,0.56844,"('7', '10')"
62,5,6,0.00049,0.53945,"('1', '7', '10', '13', '15')"
63,5,7,0.08379,0.0308,"('10', 'T')"
64,5,8,0.0,0.49215,"('3', '6', '7', '17')"
65,5,9,0.0,0.48845,"('2', '3', '4', '6', '7', '8', '10', '11', '12', '13', '16', '17')"
66,5,10,0.10215,0.0302,"('7', '13')"
67,5,11,0.0,0.48335,"('1', '7', '10', 'T')"
68,5,12,0.00318,0.63554,"('15', '16')"
69,5,13,0.0,0.44766,"('1', '4', '6', '7', '9', '11', '12', '15', '16', 'T')"
70,5,14,0.0,0.47105,"('4', '13', '15', 'T')"
71,5,15,0.00665,0.69503,"('7', '10', '16', 'T')"
72,5,16,0.0,0.48585,"('2', '7', '10', '15')"
73,5,17,0.0,0.47345,"('1', '3', '7', '9', '10', '11', '13', '16')"
74,5,T,0.0,0.49415,"('7', '10', '13')"
75,6,7,0.0,0.44806,"('5', '10', '12', '13', 'T')"
76,6,8,0.0,0.48205,"('1', '2', '5', '7', '9', '10', '13', '14', '15', '17', 'T')"
77,6,9,0.0,0.46625,"('1', '7', '11', '12', '14', '16', 'T')"
78,6,10,0.0,0.42666,"('2', '7', '12', '13')"
79,6,11,0.00374,0.32257,"('2', '14', '16', 'T')"
80,6,12,0.00278,0.60614,"('1', '13', '15')"
81,6,13,8e-05,0.39356,"('1',)"
82,6,14,0.02068,0.15708,"('2', '11', '16')"
83,6,15,0.01596,0.80552,"('1', '12', '13')"
84,6,16,0.01172,0.21278,"('5', '13', '15')"
85,6,17,0.0,0.44976,"('2', '5', '9', '10', '12', '13', '14', '15', 'T')"
86,6,T,0.0,0.43826,"('4', '8', '9', '11', '12', '16', '17')"
