,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.00288,0.77812,"('5', '9', '16', 'T')"
1,1,3,0.00026,0.38666,"('5', '9', '10', '11', '13', '16', 'T')"
2,1,4,0.0,0.48545,"('2', '3', '6', '7', '11', '13', '15')"
3,1,5,0.00736,0.11749,"('6', '7', '9', '11', '13', '16', 'T')"
4,1,6,0.0,0.47295,"('3', '4', '5', '8', '14', '16')"
5,1,7,0.0,0.48605,"('2', '5', '9', '13', '16', 'T')"
6,1,8,0.00652,0.12469,"('4', '5', '9', '11', '13', '14', '16', 'T')"
7,1,9,0.00841,0.09919,"('5', '7', '11', '13', '16', 'T')"
8,1,10,9e-05,0.42416,"('3', '5', '9', '11', '13', '14', '16', 'T')"
9,1,11,0.00064,0.33797,"('T',)"
10,1,12,0.0006,0.62064,"('2', '4', '15', 'T')"
11,1,13,0.0,0.47625,"('6', '9', '10', '11', '16', 'T')"
12,1,14,0.0,0.47335,"('3', '5', '6', '7', '9', '11', '13', '15', 'T')"
13,1,15,0.0,0.46645,"('5', '6', '8', '10', '11', '13', '14', '16', 'T')"
14,1,16,0.02123,0.0234,"('T',)"
15,1,17,0.0,0.47195,"('5', '7', '8', '9', '10', '11', '12', '13', '16', 'T')"
16,1,T,0.00172,0.27027,"('3', '5', '9', '10', '11', '13', '16')"
17,2,3,0.0,0.47225,"('1', '8', '9', '10', '11', '12', '14', '15', '17')"
18,2,4,0.00565,0.14009,"('7', '8', '10', '13', '14', '15', '17')"
19,2,5,0.00109,0.66113,"('1', '6', '9', '12', '16')"
20,2,6,0.00119,0.67073,"('4', '10', '11', '13', '14', '15')"
21,2,7,0.0,0.47685,"('1', '3', '4', '12', '13', '14', '15', '16')"
22,2,8,0.03028,0.0109,"('4', '13', '14', '17')"
23,2,9,0.00458,0.83502,"('1', '5', '7', '12', '15', '16', 'T')"
24,2,10,0.0,0.46825,"('3', '4', '5', '9', '13', '14', '15', 'T')"
25,2,11,0.0,0.46385,"('3', '5', '10', '12', '17')"
26,2,12,0.00316,0.79192,"('5', '9', '10', '16', 'T')"
27,2,13,0.0001,0.39946,"('3', '4', '5', '14', '16', '17')"
28,2,14,0.00524,0.14249,"('4', '8', '10', '13', '17')"
29,2,15,0.0,0.45545,"('1', '8', '13', '14', '17', 'T')"
30,2,16,0.00233,0.75372,"('1', 'T')"
31,2,17,0.01085,0.07039,"('4', '7', '8', '10', '11', '13', '14')"
32,2,T,0.0,0.46455,"('1', '9', '10', '12', '16')"
33,3,4,0.0,0.48415,"('2', '5', '7', '9', '10', '11', '13', '16')"
34,3,5,0.0,0.46615,"('2', '4', '6', '10', '11', '14')"
35,3,6,0.00404,0.17008,"('5', '10', 'T')"
36,3,7,0.0,0.48135,"('2', '4', '8', '9', '12', '13', '14', '15', '17')"
37,3,8,0.0,0.47535,"('1', '4', '5', '6', '10', '11', '13', '14')"
38,3,9,0.004,0.17928,"('1', '7', '10', '11', '12', '15', 'T')"
39,3,10,0.02305,0.0249,"('1', '11', '12', '14', 'T')"
40,3,11,0.00529,0.14199,"('T',)"
41,3,12,0.01582,0.0406,"('T',)"
42,3,13,0.0,0.46815,"('1', '2', '5', '7', '10', '11', '12', '14', '16', 'T')"
43,3,14,0.0,0.46405,"('2', '4', '8', '9', '10', '11', '13', '15', '17')"
44,3,15,0.0,0.44766,"('2', '6', '7', '11', '13', '14', '16')"
45,3,16,0.00012,0.42046,"('1', '10', '11', '12', 'T')"
46,3,17,0.0,0.48195,"('1', '2', '5', '6', '10', '11', '13', 'T')"
47,3,T,0.04673,0.0038,"('1', '10', '11', '12', '16')"
48,4,5,0.0,0.48205,"('1', '2', '7', '9', '11', '13', '15', '16', 'T')"
49,4,6,0.00658,0.88131,"('2', '10', '11', '12', '13', '14', '15', 'T')"
50,4,7,0.03125,0.0071,"('2', '5', '8', '9', '10', '12', '14', '16', '17', 'T')"
51,4,8,0.02792,0.0105,"('1', '2', '7', '12', '13', '14')"
52,4,9,0.00019,0.40826,"('1', '7', 'T')"
53,4,10,0.0,0.47615,"('1', '3', '5', '12', '13', '14', '15', '16', '17', 'T')"
54,4,11,0.0,0.48035,"('1', '3', '5', '6', '7', '9', '13', '14', '15', '16')"
55,4,12,0.00418,0.17688,"('3', '5', '7', '8', '9', '10', '11', '14', '16', '17', 'T')"
56,4,13,0.0,0.47015,"('1', '5', '9', '12', '14')"
57,4,14,0.01892,0.0314,"('2', '7', '8', '10', 'T')"
58,4,15,0.0,0.47135,"('1', '3', '7', '8', '9', '12', '13', '16')"
59,4,16,0.00011,0.54835,"('2', '8', '9', '13', '17')"
60,4,17,0.00205,0.26197,"('2', '7', '11', '12', '13', '14')"
61,4,T,0.0,0.49175,"('3', '7', '8', '9', '10', '11', '12', '13', '14', '16')"
62,5,6,0.0537,0.0033,"('1', '7')"
63,5,7,0.00129,0.28587,"('1', '4', '6', '9', '12', '16')"
64,5,8,0.0,0.47715,"('2', '4', '10', '11', '12', '13', '14', '15', '17')"
65,5,9,0.00023,0.38536,"('1', '3', '4', '6', '7', '13', '15', '16', 'T')"
66,5,10,0.00029,0.54605,"('2', '11', '14', 'T')"
67,5,11,2e-05,0.50195,"('T',)"
68,5,12,0.00011,0.40736,"('3', '4', '6', '7', '9', '16', 'T')"
69,5,13,0.00271,0.20838,"('1', '7', '12', '14', '16')"
70,5,14,0.00184,0.72563,"('1', '6', '9', '12', '15')"
71,5,15,0.00019,0.37166,"('1', '9', '13', '16')"
72,5,16,0.0,0.48135,"('2', '3', '4', '6', '9', '13', '14', '15', '17', 'T')"
73,5,17,0.0,0.47445,"('1', '2', '11', '13', '14')"
74,5,T,0.00236,0.74593,"('2', '10', '11', '14', '16')"
75,6,7,0.00175,0.26377,"('1', '5', '8', '9', '13', 'T')"
76,6,8,0.01142,0.06829,"('1', '5', '7', '13', '14')"
77,6,9,0.0,0.46595,"('1', '4', '10', '11', '15', '16', 'T')"
