,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,4e-05,0.56894,"('13', '16', 'T')"
1,1,3,0.0004,0.71973,"('2', '15')"
2,1,4,0.00476,0.0211,"('3', '5', '7', '8', '9', '10', '11', '12', '13', '16', '17', 'T')"
3,1,5,0.00088,0.16808,"('2', '4', '8', '9', '10', '11', '13', '14', '15', '16')"
4,1,6,0.0001,0.35786,"('7', '11', '13', '16')"
5,1,7,0.00015,0.33837,"('4', '8', '9', '10', '11', '12', '13', '14', '16', '17', 'T')"
6,1,8,0.01689,0.0004,"('4', '5', '10', '11', '12', '13', '14', '16', '17')"
7,1,9,1e-05,0.44096,"('2', '3', '4', '5', '7', '8', '10', '11', '12', '13', '15', '16', '17', 'T')"
8,1,10,0.00233,0.07339,"('4', '7', '11', '12', '13', '14', '16', 'T')"
9,1,11,0.00455,0.0273,"('4', '5', '6', '8', '9', '10', '12', '16', '17', 'T')"
10,1,12,0.0,0.47295,"('6', '8', '9', '10', '13', '16', '17', 'T')"
11,1,13,0.00028,0.27327,"('4', '5', '7', '12', '14', '16')"
12,1,14,0.0001,0.35556,"('5', '7', '8', '10', '13', '16', '17')"
13,1,15,0.0,0.47015,"('9', '10', '13', '16')"
14,1,16,0.02112,0.0002,"('4', '5', '10', '11', '12', '17', 'T')"
15,1,17,0.00101,0.16388,"('2', '4', '7', '8', '9', '10', '11', '12', '13', '14', '16', 'T')"
16,1,T,0.0,0.48155,"('10', '11', '16')"
17,2,3,0.0,0.48195,"('4', '9', '10', '12', '14', '16', '17')"
18,2,4,0.00109,0.15268,"('3', '7', '8', '9', '10', '11', '14', '15', '17', 'T')"
19,2,5,0.00016,0.32457,"('1', '3', '8', '9', '11', '14', '15', '16')"
20,2,6,3e-05,0.42176,"('1', '3', '7', '9', '11', '17', 'T')"
21,2,7,0.0,0.48665,"('1', '6', '8', '11', 'T')"
22,2,8,0.00134,0.12709,"('1', '4', '5', '9', '11', '14', '17')"
23,2,9,0.00278,0.06119,"('3', '4', '5', '7', '11', '12', '14', '15', '17', 'T')"
24,2,10,0.0,0.47465,"('1', '4', '7', '8', '9', '13')"
25,2,11,0.00016,0.32267,"('4', '9', '10', '12', '17', 'T')"
26,2,12,0.0,0.48215,"('1', '6', '9', '10', '14', '17', 'T')"
27,2,13,0.0,0.47045,"('4', '11', '16', '17', 'T')"
28,2,14,0.00069,0.20798,"('5', '9', '10', '17')"
29,2,15,0.0,0.46335,"('1', '3', '5', '6', '7', '9', '10', '11', '14', 'T')"
30,2,16,1e-05,0.53035,"('1', '13', 'T')"
31,2,17,0.00402,0.0323,"('4', '7', '8', '9', '10', '11', '12', '14', '16', 'T')"
32,2,T,4e-05,0.40316,"('3', '9', '10', '11', '17')"
33,3,4,0.00813,0.0065,"('1', '2', '7', '9', '10', '11', '12', '13', '15', '16', 'T')"
34,3,5,0.00062,0.21018,"('1', '2', '9', '10', '13', '15', '16')"
35,3,6,0.00209,0.08159,"('7', '11', '13', '16', 'T')"
36,3,7,6e-05,0.39426,"('4', '9', '10', '12', '13', '16', 'T')"
37,3,8,0.0,0.48015,"('10', '13', '15', '16')"
38,3,9,0.00533,0.0231,"('2', '4', '5', '7', '10', '12', '13', '15', '16', 'T')"
39,3,10,0.008,0.0088,"('1', '4', '7', '9', '11', '12', '13', '14', '16', 'T')"
40,3,11,0.00029,0.28577,"('T',)"
41,3,12,0.0024,0.06879,"('4', '7', '9', '10', '11', '16', 'T')"
