,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.00017,0.31377,"('3', '4', '5', '9', '11', '12', '13', '14', '16', '17', 'T')"
1,1,3,0.00133,0.10649,"('2', '5', '7', '8', '9', '11', '12', '13', '15', '16', '17', 'T')"
2,1,4,0.00305,0.0379,"('2', '5', '6', '7', '8', '9', '11', '12', '13', '16', 'T')"
3,1,5,0.00157,0.08399,"('3', '4', '7', '8', '9', '10', '13', '15', '16', 'T')"
4,1,6,0.0,0.44776,"('2', '3', '4', '5', '7', '11', '13', '14', '15', '16', '17', 'T')"
5,1,7,0.00037,0.23588,"('2', '3', '4', '5', '6', '8', '9', '11', '12', '13', '15', '16', '17', 'T')"
6,1,8,0.01237,0.0008,"('3', '4', '5', '7', '9', '11', '12', '13', '14', '16', '17', 'T')"
7,1,9,0.00326,0.0332,"('2', '3', '4', '5', '7', '8', '11', '12', '13', '16', '17', 'T')"
8,1,10,0.0007,0.81942,"('7', '13', '16')"
9,1,11,0.00204,0.06849,"('T',)"
10,1,12,0.00034,0.23888,"('2', '3', '7', '8', '9', '11', '13', '16', '17', 'T')"
11,1,13,0.01662,0.0013,"('2', '4', '9', '12', '14', '15', 'T')"
12,1,14,2e-05,0.40576,"('2', '8', '9', '12', 'T')"
13,1,15,6e-05,0.34337,"('2', '3', '4', '5', '6', '7', '8', '9', '11', '13', '16', '17', 'T')"
14,1,16,0.00408,0.0249,"('2', '3', '4', '5', '6', '7', '8', '9', '11', '12', '15', 'T')"
15,1,17,0.00372,0.0256,"('2', '3', '5', '7', '8', '9', '10', '11', '12', '13', '16', 'T')"
16,1,T,0.01231,0.0005,"('2', '3', '5', '6', '7', '8', '9', '11', '12', '13', '14', '15', '16', '17')"
17,2,3,0.00143,0.09769,"('1', '6', '7', '9', '10', '12', '14', '15', '16', '17', 'T')"
18,2,4,0.00631,0.0043,"('1', '5', '6', '7', '9', '10', '11', '12', '14', '15', '16', '17', 'T')"
19,2,5,0.0001,0.60184,"('6', '12', '13', '14')"
20,2,6,0.00192,0.07489,"('3', '4', '7', '11', '14', '15', '16', '17', 'T')"
21,2,7,0.0,0.47985,"('1', '3', '4', '6', '9', '12', '15', '17')"
22,2,8,0.0,0.48545,"('1', '4', '6', '7', '9', '10', '11', '12', '13', '14', '15', '16', 'T')"
23,2,9,0.00024,0.29457,"('3', '4', '7', '10', '11', '12', '16', '17', 'T')"
24,2,10,0.00087,0.15418,"('4', '5', '12', '15', '17', 'T')"
25,2,11,0.00015,0.31957,"('3', '4', '6', '7', '9', '12', '15', '16', '17', 'T')"
26,2,12,0.00063,0.18688,"('3', '4', '9', '10', '11', '16', '17', 'T')"
27,2,13,0.00035,0.24408,"('4', '9', '12', '14', '15', '17', 'T')"
28,2,14,8e-05,0.35736,"('3', '4', '6', '8', '9', '12', '17', 'T')"
29,2,15,0.00024,0.26557,"('1', '3', '4', '6', '7', '10', '11', '16', '17', 'T')"
30,2,16,0.00216,0.06609,"('3', '4', '5', '6', '7', '11', '12', '15', '17', 'T')"
31,2,17,0.00695,0.0043,"('3', '4', '9', '10', '11', '12', '15', '16', 'T')"
32,2,T,0.00076,0.16988,"('1', '3', '4', '6', '7', '10', '11', '12', '14', '15', '16', '17')"
33,3,4,0.0,0.48305,"('7', '8', '10', '13', '14', 'T')"
34,3,5,0.0,0.46455,"('1', '7', '8', '9', '10', '13', '15', '16', '17', 'T')"
35,3,6,0.00026,0.26937,"('1', '2', '7', '15', '16', 'T')"
36,3,7,0.00164,0.08669,"('1', '5', '6', '9', '11', '12', '15', '16', '17', 'T')"
37,3,8,6e-05,0.38456,"('1', '5', '7', '9', '12', '14', '15', '16', '17', 'T')"
38,3,9,0.00189,0.07469,"('1', '2', '7', '11', '12', '15', '16', '17', 'T')"
39,3,10,0.0,0.47495,"('1', '2', '4', '5', '9', '15')"
40,3,11,2e-05,0.43176,"('T',)"
41,3,12,0.00417,0.0229,"('1', '2', '7', '9', '11', '15', '16', '17', 'T')"
42,3,13,5e-05,0.57744,"('7', '11', '16', 'T')"
43,3,14,0.00011,0.33157,"('2', '8', '9', '12', '15', '16', '17', 'T')"
44,3,15,0.0065,0.0103,"('1', '2', '5', '6', '7', '9', '12', '13', '16', '17', 'T')"
45,3,16,0.00383,0.0275,"('1', '2', '7', '11', '12', '15', 'T')"
46,3,17,0.00535,0.0087,"('1', '2', '7', '9', '10', '11', '12', '15', '16', 'T')"
47,3,T,0.01006,0.0011,"('1', '2', '7', '11', '12', '13', '14', '15', '16', '17')"
48,4,5,0.00121,0.11509,"('1', '2', '7', '8', '9', '10', '15', '16')"
49,4,6,0.00955,0.0036,"('1', '2', '5', '7', '15', '16', 'T')"
50,4,7,0.00104,0.12779,"('1', '2', '5', '6', '9', '11', '15', 'T')"
51,4,8,0.00698,0.0049,"('1', '2', '5', '6', '7', '9', '10', '12', '14', '16', '17', 'T')"
52,4,9,0.00319,0.0296,"('1', '2', '5', '6', '7', '8', '10', '11', '12', '17')"
53,4,10,0.00011,0.33227,"('1', '2', '5', '6', '8', '9', '15', '17')"
54,4,11,0.00023,0.28317,"('1', '2', '5', '6', '7', '9', '12', '15', '16', '17', 'T')"
55,4,12,0.0,0.47695,"('3', '6', '7', '8', '10', '13', '14', '17')"
56,4,13,0.00093,0.15128,"('1',)"
57,4,14,0.0,0.45255,"('2', '9', 'T')"
58,4,15,0.00057,0.18848,"('1', '2', '3', '5', '6', '7', '9', '10', '11', '16', 'T')"
59,4,16,0.00011,0.33897,"('1', '2', '3', '5', '6', '7', '8', '11', '12', '15', 'T')"
60,4,17,1e-05,0.45075,"('1', '2', '5', '6', '7', '8', '9', '10', '11', '12', '15', 'T')"
61,4,T,0.0,0.47815,"('3', '5', '8', '9', '11', '13', '17')"
62,5,6,0.0,0.44906,"('2', '4', '8', '14', '15', 'T')"
63,5,7,0.0,0.45245,"('1', '3', '4', '8', '9', '10', '11', '15', '16', 'T')"
64,5,8,0.00857,0.0045,"('1', '4', '7', '9', '10', '14', '15', '16', '17', 'T')"
65,5,9,0.0,0.48075,"('1', '2', '6', '8', '10', '11', 'T')"
66,5,10,0.00155,0.09089,"('1', '4', '8', '15', '17', 'T')"
67,5,11,1e-05,0.51105,"('2', '12')"
68,5,12,0.00024,0.68203,"('2', '11')"
69,5,13,0.00017,0.64704,"('3', '7', '8', '10', '11', '16')"
70,5,14,0.0,0.47625,"('1', '7', '10', '13', '15', '16')"
71,5,15,0.00136,0.10069,"('1', '3', '4', '7', '8', '10', '13', '16', '17', 'T')"
72,5,16,0.00045,0.20398,"('1', '2', '3', '4', '7', '8', '10', '11', '12', '15', 'T')"
73,5,17,0.0,0.47395,"('3', '7', '8', '10', '11', '12', '13', '16', 'T')"
74,5,T,0.0,0.46085,"('1', '3', '7', '8', '10', '11', '15', '16', '17')"
75,6,7,0.00831,0.0054,"('1', '2', '3', '4', '9', '11', '15', '16', 'T')"
76,6,8,0.0,0.45615,"('4', '5', '7', '10', '12', '14')"
77,6,9,1e-05,0.49885,"('10',)"
78,6,10,0.00013,0.61674,"('1', '7', '16')"
79,6,11,0.00049,0.20758,"('T',)"
80,6,12,0.0,0.44896,"('2', '5', '10', '14', 'T')"
81,6,13,0.0,0.42166,"('1', '2', '4', '14', '15', 'T')"
82,6,14,7e-05,0.32907,"('2', '3', '4', '8', '15', '16', 'T')"
83,6,15,0.00469,0.0307,"('1', '2', '3', '4', '5', '7', '11', '16', '17', 'T')"
84,6,16,0.0039,0.0295,"('1', '2', '3', '4', '5', '7', '11', '12', '15', 'T')"
85,6,17,0.0003,0.25747,"('2', '3', '4', '7', '10', '11', '12', '15', '16', 'T')"
86,6,T,0.00895,0.0047,"('2', '3', '4', '7', '11', '14', '15', '16', '17')"
87,7,8,0.00027,0.26297,"('1', '3', '4', '5', '9', '11', '12', '14', '15', '17', 'T')"
88,7,9,0.02032,0.0001,"('1', '2', '3', '4', '6', '8', '11', '12', '15', '17', 'T')"
89,7,10,0.0002,0.67163,"('6',)"
90,7,11,0.00097,0.14309,"('T',)"
91,7,12,3e-05,0.40336,"('1', '3', '9', '11', '17', 'T')"
92,7,13,0.00087,0.84762,"('1', '3', '5', '11', '16')"
93,7,14,0.00074,0.82562,"('5', '11', '13', '15', '16')"
94,7,15,0.00675,0.0126,"('1', '3', '5', '6', '9', '11', '16', '17', 'T')"
95,7,16,0.0,0.46965,"('2', '3', '5', '6', '9', '11', '12', '15', 'T')"
96,7,17,0.00139,0.10749,"('1', '2', '3', '9', '10', '11', '12', '15', 'T')"
97,7,T,0.01127,0.0008,"('1', '3', '5', '6', '9', '11', '12', '15', '17')"
98,8,9,0.01169,0.001,"('1', '3', '4', '5', '7', '11', '12', '14', '17', 'T')"
99,8,10,0.00022,0.27677,"('1', '5', '9', '14', '17', 'T')"
100,8,11,4e-05,0.38926,"('1', '5', '7', '9', '12', '14', '16', '17', 'T')"
101,8,12,0.00126,0.11599,"('1', '5', '9', '11', '14', '16', '17', 'T')"
102,8,13,3e-05,0.53305,"('1', '5', '7', '10', '11', '16')"
103,8,14,0.00983,0.0048,"('T',)"
104,8,15,0.0,0.44276,"('1', '4', '5', '7', '9', '10', '12', '13', '14', '17')"
105,8,16,0.00052,0.20428,"('1', '2', '3', '4', '5', '6', '7', '9', '11', '12', '14', '17', 'T')"
106,8,17,0.0172,0.0001,"('1', '2', '5', '7', '9', '10', '11', '12', '14', 'T')"
107,8,T,0.00514,0.0142,"('1', '3', '5', '7', '9', '11', '14', '16', '17')"
108,9,10,0.0,0.44796,"('2', '5', '7', '12', '17')"
109,9,11,0.00128,0.10759,"('7', '12', 'T')"
110,9,12,0.01311,0.0007,"('1', '2', '3', '7', '8', '10', '11', '16', '17', 'T')"
111,9,13,0.00024,0.28087,"('1', 'T')"
112,9,14,0.0,0.43886,"('2', '3', '7', '8', '12', 'T')"
113,9,15,0.0,0.45375,"('1', '7', '10', '12', '17', 'T')"
114,9,16,0.0,0.47205,"('2', '3', '6', '7', '11', '13', '14', '15', 'T')"
115,9,17,0.00275,0.0403,"('2', '3', '7', '8', '10', '11', '12', 'T')"
116,9,T,0.0,0.48615,"('2', '3', '6', '8', '10', '11', '16', '17')"
117,10,11,0.0,0.46185,"('3', '7', '8', '9', '12', '13', '16')"
118,10,12,1e-05,0.39586,"('2', '9', '11', '17')"
119,10,13,8e-05,0.57884,"('1',)"
120,10,14,1e-05,0.48785,"('1', '5', '7', '13', '15', '16', '17')"
121,10,15,0.00046,0.17858,"('1', '2', '3', '5', '7', '17', 'T')"
122,10,16,2e-05,0.51765,"('1',)"
123,10,17,0.02489,0.0002,"('2', '4', '5', '8', '9', '11', '12', '15', 'T')"
124,10,T,0.0,0.45985,"('2', '3', '5', '6', '7', '9', '11', '12', '15', '17')"
125,11,12,0.01014,0.0022,"('7', '9', '16', '17', 'T')"
126,11,13,0.00069,0.81772,"('7', '16', 'T')"
127,11,14,0.0,0.46265,"('2', '3', '4', '5', '6', '9', '10', '13', '15', '16', 'T')"
128,11,15,0.00018,0.28247,"('T',)"
129,11,16,0.00482,0.0191,"('T',)"
130,11,17,0.00375,0.0243,"('T',)"
131,11,T,0.03525,0.0001,"('3', '6', '7', '9', '12', '15', '16', '17')"
132,12,13,6e-05,0.36236,"('1', 'T')"
133,12,14,1e-05,0.42916,"('2', '3', '8', '9', '11', '17', 'T')"
134,12,15,0.0,0.43146,"('5',)"
135,12,16,0.00245,0.05509,"('1', '2', '3', '7', '9', '11', 'T')"
136,12,17,0.01327,0.0004,"('1', '2', '3', '7', '9', '10', '11', 'T')"
137,12,T,0.00058,0.19498,"('1', '2', '3', '7', '9', '11', '14', '16', '17')"
138,13,14,0.0004,0.21538,"('1', 'T')"
139,13,15,0.00132,0.09979,"('1', 'T')"
140,13,16,1e-05,0.49365,"('1', '3', '5', '7', '11')"
141,13,17,1e-05,0.43186,"('1', 'T')"
142,13,T,0.0007,0.17188,"('1',)"
143,14,15,0.0,0.44966,"('7', '13', '16')"
144,14,16,8e-05,0.58304,"('1', '5', '7', '11', '13', '15')"
145,14,17,0.0,0.47435,"('1', '2', '4', '5', '6', '8', '10', '15', 'T')"
146,14,T,0.00192,0.07379,"('2', '3', '8', '11', '17')"
147,15,16,0.00119,0.11559,"('1', '2', '3', '5', '6', '7', '11', '12', 'T')"
148,15,17,0.00157,0.09349,"('1', '2', '3', '7', '10', '11', 'T')"
149,15,T,0.00515,0.0216,"('1', '3', '5', '6', '7', '11', '16', '17')"
150,16,17,0.0,0.48005,"('1', '2', '3', '6', '7', '8', '10', '11', '12', '15')"
151,16,T,0.00315,0.0375,"('1', '2', '3', '7', '11', '12', '15')"
152,17,T,0.02452,0.0001,"('1', '2', '3', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16')"
