,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0,0.46585,"('3', '4', '5', '9', '10', '12', '14', '17')"
1,1,3,0.0,0.47785,"('2', '4', '8', '9', '14', '16', '17', 'T')"
2,1,4,0.00191,0.29387,"('5', '11', '12', '13', '16', 'T')"
3,1,5,0.00192,0.28887,"('T',)"
4,1,6,0.0,0.44866,"('2', '7', '9', '10', '12', '13', '16', 'T')"
5,1,7,0.00292,0.26367,"('3', '6', '10', '11', '12', '13', '15', '17', 'T')"
6,1,8,0.06589,0.0082,"('2', '3', '5', '11', '12', '13', '16', '17', 'T')"
7,1,9,0.0,0.48185,"('2', '5', '6', '7', '8', '11', '12', '17', 'T')"
8,1,10,1e-05,0.48195,"('5', '6', '8', '13', '15')"
9,1,11,0.00012,0.43726,"('4', '5', '7', '8', '9', '12', '14', '17', 'T')"
10,1,12,0.015,0.09209,"('13', 'T')"
11,1,13,0.07299,0.0103,"('T',)"
12,1,14,0.0,0.44646,"('4', '7', '9', '10', '12', '16', '17', 'T')"
13,1,15,0.0,0.45195,"('2', '5', '8', '9', '10', '11', '12', '16')"
14,1,16,0.0,0.49175,"('2', '3', '4', '7', '8', '12', '13', '14', 'T')"
15,1,17,0.02076,0.06049,"('3', '5', '7', '8', '9', '11', '12', '13', '14', '16', 'T')"
16,1,T,0.06095,0.0076,"('12', '13')"
17,2,3,0.0,0.47955,"('7', '8', '9', '10', '11', '12', '15')"
18,2,4,0.0,0.47775,"('7', '8', '9', '14')"
19,2,5,0.0,0.45715,"('4', '10', '13', '14', '15', '16', 'T')"
20,2,6,0.00023,0.39216,"('1', '7', '9', '11', '12', '16')"
21,2,7,6e-05,0.44316,"('3', '6', '9', '10', '11', '15', '16', '17', 'T')"
22,2,8,0.0274,0.0443,"('1', '3', '9', '10', '11', '16', '17')"
23,2,9,0.00942,0.14279,"('1', '3', '6', '7', '8', '10', '11', '12', '15')"
24,2,10,0.00013,0.41986,"('3', '7', '9', '11', '16')"
25,2,11,0.00707,0.18188,"('1', '7', '8', '9', '10', '12', '16', 'T')"
26,2,12,0.0,0.47695,"('3', '5', '7', '9', '10', '11', '16')"
27,2,13,0.0,0.43826,"('1', '5', '14', 'T')"
28,2,14,0.00058,0.57204,"('5', '6', '7', '8', '10', '13')"
29,2,15,0.0,0.45475,"('7', '9', '10', '14', 'T')"
30,2,16,0.00423,0.23388,"('1', '3', '4', '8', '10', '12', '14')"
31,2,17,0.0,0.47725,"('1', '3', '5', '7', '8', '9', '10', '11', '13', '14', '16', 'T')"
32,2,T,0.0,0.46225,"('3', '7', '8', '11', '12', '15')"
33,3,4,0.00154,0.32677,"('1', '5', '10', '11', '12', '13', '16', 'T')"
34,3,5,0.0,0.45075,"('6', '7', '12', '13', '14', '16', 'T')"
35,3,6,0.0,0.46215,"('1', '2', '4', '7', '8', '9', '11', '13', '14', '16')"
36,3,7,0.0,0.48475,"('1', '10', 'T')"
37,3,8,0.0179,0.07849,"('1', '2', '10', '13', 'T')"
38,3,9,0.00279,0.27787,"('1', '2', '6', '7', '8', '10', '11', '12', '13', '15', '17')"
39,3,10,0.02679,0.0452,"('7', '9', '12', '13', '16', '17')"
40,3,11,0.0,0.48385,"('5', '7', '10', '13', '14', '17', 'T')"
41,3,12,0.00031,0.41036,"('1', '10', '13', 'T')"
42,3,13,0.0,0.47165,"('4', '8', '10', '12', '16', '17', 'T')"
43,3,14,0.0,0.47385,"('1', '2', '4', '5', '7', '10', '11', '12', '13', '17')"
44,3,15,0.0,0.46405,"('2', '5', '10', '11', '13', '14', '16')"
45,3,16,0.00086,0.36496,"('1', '2', '10', '13')"
46,3,17,0.02827,0.0396,"('1', '10', 'T')"
47,3,T,0.0,0.47515,"('1', '2', '4', '6', '8', '9', '11', '12', '13', '14', '15', '16', '17')"
48,4,5,0.02876,0.0415,"('T',)"
49,4,6,0.00474,0.22298,"('1', '5', '9', '11', '12', '16', 'T')"
50,4,7,0.0,0.47675,"('1', '2', '6', '9', '11', '13', '15', '17')"
51,4,8,0.0,0.48545,"('2', '5', '7', '9', '10', '11', '13', '15', '16', '17', 'T')"
52,4,9,0.0,0.48155,"('2', '7', '10', '13', '14')"
53,4,10,0.00014,0.52455,"('1', '5')"
54,4,11,0.01074,0.12989,"('5', '7', '12', '13', '16', 'T')"
55,4,12,0.00236,0.28637,"('1', '5', '11', '13', '16', 'T')"
56,4,13,0.00319,0.25177,"('1', '5', '12', '16', 'T')"
