,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.0,0.46875,"('7', '9', '10', '11', '15', '17')"
1,1,3,0.04488,0.77832,"('2', '5', '6', '10', '16')"
2,1,4,0.0,0.54085,"('2', '5', '6', '7', '10', '16', 'T')"
3,1,5,0.01421,0.28477,"('2', '6', '10', '11', '13', 'T')"
4,1,6,0.2329,0.0385,"('2', '3', '4', '7', '12', '14', '15', '16')"
5,1,7,0.0,0.44076,"('9', '10', '13', '14', '15', '16')"
6,1,8,0.0,0.47225,"('5', '6', '7', '9', '10', '14', '16')"
7,1,9,2e-05,0.45195,"('3', '7', '16')"
8,1,10,0.00421,0.35016,"('2', '7', '9', '13', '14', '15', '16', '17')"
9,1,11,0.0,0.51365,"('2', '3', '4', '7', '10', '12', '14', '15', '16', '17')"
10,1,12,0.0,0.49185,"('3', '9', '10', '11', '14', '15', '16', 'T')"
11,1,13,0.00702,0.33647,"('2', '6', '11', 'T')"
12,1,14,0.0,0.50305,"('3', '7', '10', '11', '13', 'T')"
13,1,15,0.00305,0.53355,"('3', '10')"
14,1,16,0.0003,0.53365,"('5', '6', '10', '13', '14')"
15,1,17,0.0,0.49505,"('2', '5', '13', 'T')"
16,1,T,0.0,0.46825,"('2', '5', '6', '7', '11', '13')"
17,2,3,0.0,0.51825,"('1', '12', '13', '14', '15', '16', '17', 'T')"
18,2,4,0.00225,0.57224,"('1', '7', '12', '13', '16', 'T')"
19,2,5,0.0,0.47295,"('1', '3', '7', '8', '10', '16')"
20,2,6,0.0,0.50255,"('1', '15', '17', 'T')"
21,2,7,0.0,0.45795,"('3', '10', '11', '17')"
22,2,8,0.0,0.51355,"('7', '9', '12', '13')"
23,2,9,0.0,0.49185,"('5', '7', '11', '12', '13', '16')"
24,2,10,0.0,0.48825,"('4', '6', '7', '8', '13', '14', '16', '17', 'T')"
25,2,11,0.0,0.48725,"('1', '3', '6', '7', '9', '12', '13', '14', '15', '17', 'T')"
26,2,12,0.0254,0.29447,"('1', '4', '6', '14', '17')"
27,2,13,0.01982,0.28907,"('1', '7', '11', '16', 'T')"
28,2,14,0.00286,0.57384,"('5', '10', '13', '17')"
29,2,15,0.01033,0.63734,"('5', '10', '17')"
30,2,16,0.01083,0.34267,"('10', '14', '15')"
31,2,17,0.20212,0.9527,"('6', '9', '14', '15')"
32,2,T,0.08959,0.14399,"('7', '10', '13', '16')"
33,3,4,0.0,0.50855,"('2', '5', '6', '7', '8', '9', '10', '12', '13', '14', 'T')"
34,3,5,0.0,0.46955,"('10', '11', '17', 'T')"
35,3,6,0.0,0.50235,"('1', '7', '10', '16')"
36,3,7,0.0,0.54265,"('4', '8', '13', '14', '15', '16', '17')"
37,3,8,0.0,0.50805,"('1', '2', '4', '6', '11', '12', '13', '14', '16', '17')"
38,3,9,0.0,0.50255,"('2', '5', '11', '12', '17', 'T')"
39,3,10,0.0,0.49025,"('2', '7', '14', '15', '16', '17')"
40,3,11,0.0,0.49195,"('2', '14', '15')"
41,3,12,0.00439,0.42576,"('2', '9', '11', '15')"
42,3,13,0.0,0.50975,"('5', '6', '7', '11', '14', '15', '16', '17')"
43,3,14,0.0653,0.17028,"('7', '11', '13', '15', '17')"
44,3,15,0.04479,0.24038,"('12', '13', '17')"
45,3,16,0.0,0.48865,"('12', '14', 'T')"
46,3,17,0.001,0.44866,"('10',)"
47,3,T,0.0,0.51225,"('1', '6', '8', '9', '11', '12', '15')"
48,4,5,0.0,0.52075,"('2', '6', '10', '11', '12', '13', '15', '17')"
49,4,6,0.06424,0.82662,"('1', '2', '7', '10', '15', '17', 'T')"
50,4,7,0.0,0.51895,"('2', '3', '5', '6', '13')"
51,4,8,0.0,0.48895,"('1', '3', '6', '7', '10', '12', '13', '14', '16', '17')"
52,4,9,0.0,0.52025,"('1', '5', '6', 'T')"
53,4,10,0.0,0.50145,"('2', '3', '6', '14', '15', '17')"
54,4,11,0.03532,0.26667,"('2', '6')"
55,4,12,0.0,0.48365,"('1', '2', '3', '5', '7', '9', '10', '15', '16')"
56,4,13,0.0,0.53835,"('1', '2', '3', '5', '6', '7', '16', '17')"
57,4,14,0.0,0.51335,"('1', '5', '6', '9', '17', 'T')"
58,4,15,0.0,0.48765,"('1', '2', '13')"
59,4,16,0.0,0.49375,"('1', '5', '7', '8', '9', '17')"
60,4,17,0.0,0.49945,"('3', '6', '7', '9', '11', '14', '15')"
61,4,T,0.0,0.52685,"('1', '2', '3', '6', '7', '10', '11', '13', '16')"
62,5,6,0.0,0.41726,"('1', '2', '7', '8', '10', '13', '16', 'T')"
63,5,7,0.0331,0.26607,"('2', '6', '9', '10', '12', '13', '14', 'T')"
64,5,8,0.0078,0.38066,"('1', '7', '11', '13', '15')"
65,5,9,0.0,0.48865,"('1', '10', '11', '13', '14', '15', 'T')"
66,5,10,0.01395,0.33477,"('2', '17')"
67,5,11,0.0,0.48145,"('2', '3', '8', '10', '12', '13', '15', '16', 'T')"
