,pair_0,pair_1,min_dcor,p-value,condition
0,1,2,0.00178,0.0002,"('3', '4', '6', '7', '8', '9', '11', '12', '13', '14', '15', '16', '17', 'T')"
1,1,3,0.00114,0.0003,"('2', '4', '7', '8', '9', '11', '12', '13', '14', '15', '16', '17', 'T')"
2,1,4,0.00389,0.0001,"('2', '3', '5', '7', '8', '9', '11', '12', '13', '14', '16', '17', 'T')"
3,1,5,0.00029,0.0307,"('2', '4', '7', '8', '11', '13', '14', '16', '17', 'T')"
4,1,6,0.0001,0.11229,"('2', '4', '7', '8', '9', '11', '13', '14', '16', '17', 'T')"
5,1,7,0.00152,0.0006,"('2', '3', '4', '6', '8', '9', '11', '12', '13', '14', '15', '16', '17', 'T')"
6,1,8,0.01746,0.0001,"('2', '4', '5', '7', '9', '11', '12', '13', '14', '16', '17', 'T')"
7,1,9,0.00208,0.0001,"('2', '3', '4', '6', '7', '8', '11', '12', '13', '14', '15', '16', '17', 'T')"
8,1,10,0.0,0.45765,"('2', '3', '8', '12', '14', '15', '17', 'T')"
9,1,11,0.00447,0.0001,"('2', '3', '4', '7', '8', '9', '10', '12', '13', '14', '16', '17', 'T')"
10,1,12,0.00067,0.0049,"('2', '3', '5', '7', '8', '9', '11', '14', '16', '17', 'T')"
11,1,13,0.00159,0.0006,"('2', '7', '8', '9', '11', '12', '14', '15', '17', 'T')"
12,1,14,0.00076,0.0054,"('2', '3', '4', '5', '7', '8', '9', '11', '12', '13', '15', '16', '17', 'T')"
13,1,15,0.0,0.44366,"('5', '6', '7', '8', '9', '10', '11', '12', '14', '16')"
14,1,16,0.00162,0.0005,"('2', '3', '4', '5', '6', '7', '8', '9', '11', '12', '13', '14', '15', '17', 'T')"
15,1,17,0.01314,0.0001,"('2', '3', '4', '7', '8', '9', '10', '11', '12', '13', '14', '16', 'T')"
16,1,T,0.0022,0.0001,"('2', '3', '4', '7', '8', '9', '11', '12', '13', '14', '15', '16', '17')"
17,2,3,0.00103,0.0004,"('1', '4', '7', '9', '11', '12', '14', '15', '16', '17', 'T')"
18,2,4,0.00518,0.0001,"('1', '3', '5', '6', '7', '8', '9', '11', '12', '13', '14', '15', '16', '17', 'T')"
19,2,5,1e-05,0.32117,"('1', '3', '4', '7', '8', '9', '13', '14', '15', '16', '17', 'T')"
20,2,6,0.0111,0.0001,"('7',)"
21,2,7,0.04607,0.0001,"('1', '3', '6', '9', '14', '15', '16', '17', 'T')"
22,2,8,0.00389,0.0001,"('1', '4', '5', '6', '7', '9', '11', '12', '13', '14', '16', '17', 'T')"
23,2,9,0.008,0.0001,"('7', 'T')"
24,2,10,0.00046,0.0113,"('7', '9', '17', 'T')"
25,2,11,0.00027,0.034,"('1', '3', '4', '6', '7', '9', '10', '12', '14', '16', '17', 'T')"
26,2,12,0.00027,0.0309,"('1', '3', '7', '9', '11', '15', '16', '17', 'T')"
27,2,13,0.0,0.46195,"('3', '5', '6', '7', '9', '14', '15', '16', '17')"
28,2,14,0.00221,0.0002,"('1', '4', '5', '7', '9', '11', '15', '16', '17', 'T')"
29,2,15,0.00485,0.0001,"('3', '7', '9', '14', '16', 'T')"
30,2,16,0.00072,0.0023,"('1', '3', '4', '5', '6', '7', '9', '11', '12', '14', '15', '17', 'T')"
31,2,17,0.01638,0.0001,"('1', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', 'T')"
32,2,T,0.00277,0.0001,"('1', '3', '6', '7', '9', '11', '12', '13', '14', '15', '16', '17')"
33,3,4,0.00583,0.0001,"('1', '2', '5', '7', '9', '11', '12', '14', '15', '16', '17', 'T')"
34,3,5,1e-05,0.35936,"('1', '2', '4', '7', '8', '11', '12', '14', '15', '16', 'T')"
35,3,6,0.0,0.46085,"('1', '2', '4', '5', '7', '9', '10', '11', '13', '15', '17')"
36,3,7,0.00027,0.0333,"('1', '2', '4', '9', '11', '12', '14', '15', '16', '17', 'T')"
37,3,8,0.0001,0.11389,"('1', '2', '4', '5', '7', '11', '12', '14', '15', '16', '17', 'T')"
38,3,9,0.00015,0.06789,"('1', '2', '4', '7', '11', '12', '14', '15', '16', '17', 'T')"
39,3,10,0.0,0.44416,"('2', '7', '11', '15', '16', '17', 'T')"
40,3,11,0.00741,0.0001,"('T',)"
41,3,12,0.00118,0.0004,"('1', '2', '4', '7', '9', '10', '11', '15', '16', '17', 'T')"
42,3,13,0.0,0.45935,"('1', '2', '6', '8', '12', '14', 'T')"
43,3,14,0.00016,0.06909,"('1', '2', '4', '5', '7', '9', '11', '12', '15', '16', '17', 'T')"
44,3,15,0.00261,0.0002,"('1', '2', '7', '9', '10', '11', '12', '14', '16', 'T')"
45,3,16,0.00038,0.0156,"('1', '2', '4', '7', '9', '11', '12', '14', '15', '17', 'T')"
46,3,17,0.0025,0.0001,"('1', '2', '4', '7', '8', '9', '10', '11', '12', '14', '15', '16', 'T')"
47,3,T,0.01795,0.0001,"('1', '2', '4', '7', '9', '11', '12', '13', '15', '16', '17')"
48,4,5,0.00236,0.0001,"('1', '2', '3', '7', '8', '11', '14', '16', 'T')"
49,4,6,0.00158,0.0005,"('1', '2', '3', '5', '7', '9', '11', '16', '17', 'T')"
